lat,lng,ele
35.6688913908,-83.0728781273,752.999450684
35.6689693889,-83.0730570274,755.126403809
35.6690293909,-83.0732353274,758.615905762
35.6690901889,-83.0733695275,763.557373047
35.6691520899,-83.0734373275,766.213439941
35.6691505889,-83.0735257275,769.04095459
35.6691587899,-83.0735701275,770.18560791
35.6691754909,-83.0736478276,772.225891113
35.6691739899,-83.0737362276,773.80456543
35.6690903899,-83.0738776276,775.217102051
35.6689520908,-83.0740618277,775.593505859
35.6688785908,-83.0741373277,775.190307617
35.6688053908,-83.0742017277,775.288818359
35.6687768898,-83.0742893277,776.52130127
35.6687122898,-83.0743760277,778.031982422
35.6686485887,-83.0744075277,778.610290527
35.6685834897,-83.0745273278,780.28717041
35.6685373897,-83.0745814278,780.783752441
35.6684637907,-83.0746678278,781.611633301
35.6684438897,-83.0747778278,783.446838379
