lat,lng,ele
35.6068359494,-83.7448842208,557.333068848
35.6067731503,-83.7448615207,557.702819824
35.6067067513,-83.7448506207,558.070251465
35.6066400493,-83.7448422207,559.01763916
35.6065753503,-83.7448498207,559.765319824
35.6065132503,-83.7448710207,560.356079102
35.6064414503,-83.7449045207,561.274536133
35.6063675503,-83.7449322207,562.009460449
35.6062860502,-83.7449236207,562.828613281
35.6062059512,-83.7449046207,563.481933594
35.6061524502,-83.7448934207,564.225341797
35.6060981502,-83.7448899207,565.345031738
35.6060210502,-83.7449503207,568.522949219
35.6059422502,-83.7450060207,570.090637207
35.6058821502,-83.7449698207,570.97277832
35.6058269511,-83.7449248207,571.655151367
35.6057440501,-83.7448843207,572.548706055
35.6056573491,-83.7448527207,573.221496582
35.6055780491,-83.7448271207,573.702758789
35.6054960501,-83.7448141207,574.164550781
35.6054268511,-83.7448223207,574.802062988
35.6053601501,-83.7448426207,574.01953125
35.60530135,-83.7448803207,575.461181641
35.605247949,-83.7449258207,576.345397949
35.605186249,-83.7449580207,577.522521973
35.605127749,-83.7449600207,578.536499023
35.605069251,-83.7449540207,579.874572754
35.604978451,-83.7449457207,581.361633301
35.60488955,-83.7449258207,582.311157227
35.6048258499,-83.7448985206,583.031494141
35.6047661499,-83.7448633206,583.758483887
35.6047117499,-83.7448204206,584.59979248
35.6046681509,-83.7447697206,585.654602051
35.6046301489,-83.7447146206,586.915710449
35.6045891499,-83.7446617206,587.89465332
35.6045281509,-83.7446035205,589.137329102
35.6044655509,-83.7445471205,589.860412598
35.6044020499,-83.7444906205,590.193054199
35.6043397499,-83.7444327205,590.08203125
35.6042894509,-83.7443645205,590.303649902
35.6042554498,-83.7442767204,591.039733887
35.6042304498,-83.7441858204,591.627868652
35.6042101508,-83.7441008204,592.463989258
35.6041930498,-83.7440151203,593.239013672
35.6041731488,-83.7439300203,594.116333008
35.6041464498,-83.7438452203,595.130493164
35.6041157498,-83.7437618203,595.711730957
35.6040841498,-83.7436787202,596.407836914
35.6040546488,-83.7435949202,597.206481934
35.6040345498,-83.7435277202,598.12310791
35.6040126508,-83.7434610202,599.118469238
35.6039733508,-83.7433748201,600.276794434
35.6039261488,-83.7432926201,601.341308594
35.6038740488,-83.7432135201,602.354370117
35.6038167508,-83.7431362201,603.231018066
35.6037542498,-83.74306302,604.22052002
35.6036869498,-83.74299432,605.579406738
35.6036152498,-83.74293012,607.308654785
35.6035393508,-83.74287102,608.789794922
35.6034747497,-83.74283092,610.568664551
35.6034078497,-83.7427948199,611.940307617
35.6033437497,-83.7427539199,613.454956055
35.6032710497,-83.7426931199,615.053771973
35.6032024497,-83.7426277199,616.657958984
35.6031396487,-83.7425606199,617.971679688
35.6030795487,-83.7424909198,619.254516602
35.6030177497,-83.7424228198,620.645446777
35.6029564507,-83.7423649198,622.048461914
35.6028925506,-83.7423099198,623.436584473
35.6028295506,-83.7422539197,624.360900879
35.6027706496,-83.7421936197,625.155639648
35.6027025496,-83.7421212197,626.479919434
35.6026385486,-83.7420451197,626.88079834
35.6025957486,-83.7419559196,626.192993164
35.6025890486,-83.7419003196,626.709716797
35.6025802496,-83.7418450196,626.781311035
35.6025290496,-83.7417855196,627.419799805
35.6024571496,-83.7417510196,628.902832031
35.6023849496,-83.7417169196,630.368652344
35.6023197495,-83.7416778195,631.239379883
35.6022540505,-83.7416396195,632.661315918
35.6021892485,-83.7415999195,634.504943848
35.6021101495,-83.7415489195,636.095947266
35.6020324495,-83.7414958195,638.20690918
35.6019586495,-83.7414375195,639.684814453
35.6018974485,-83.7413791194,641.087524414
35.6018396495,-83.7413173194,642.182006836
35.6017825495,-83.7412549194,643.575256348
35.6017194484,-83.7411880194,644.853942871
35.6016571494,-83.7411203193,646.936340332
35.6015979504,-83.7410499193,649.125366211
35.6015426504,-83.7409696193,651.437438965
35.6014843494,-83.7408916193,652.61328125
35.6014141504,-83.7408333192,653.258850098
35.6013427494,-83.7407764192,654.055419922
35.6012817494,-83.7407022192,656.92590332
35.6012199484,-83.7406287192,658.927062988
35.6011400483,-83.7405709192,659.807312012
35.6010603503,-83.7405129191,660.933349609
35.6010084493,-83.7404497191,663.461975098
35.6009550493,-83.7403879191,666.234375
35.6008938503,-83.7403485191,667.483093262
35.6008266493,-83.7403201191,667.790283203
35.6007589493,-83.740292919,668.515808105
35.6006819493,-83.740259819,669.896362305
35.6006043503,-83.740228419,671.140808105
35.6005267482,-83.740196719,672.54486084
35.6004558492,-83.740165419,674.018066406
35.6003839492,-83.740136719,675.299804688
35.6002927502,-83.740118319,677.000671387
35.6001997502,-83.740113519,677.321411133
35.6001067502,-83.740108819,678.618041992
35.6000154481,-83.7400910189,680.327636719
35.5999337491,-83.7400417189,683.550476074
35.5998457481,-83.7400190189,684.214904785
35.5997997491,-83.7400616189,683.479187012
35.5997629481,-83.7400934189,684.238586426
35.5997214491,-83.7401586189,684.654541016
35.5996789491,-83.740223019,685.584655762
35.59961175,-83.740255919,687.336608887
