lat,lng,ele
35.6189063457,-83.9238719738,362.478973389
35.6188091457,-83.9237911738,362.170288086
35.6187411457,-83.9236231737,362.205841064
35.6186624457,-83.9235209737,363.354919434
35.6186010447,-83.9234524737,362.806152344
35.6185142456,-83.9233168736,362.654418945
35.6186356457,-83.9231446736,363.772277832
35.6186295457,-83.9230230735,364.608612061
35.6185506457,-83.9229318735,369.301574707
35.6186163447,-83.9228238735,370.587158203
35.6185904447,-83.9227787735,372.476074219
35.6184903467,-83.9228192735,375.912231445
35.6184063466,-83.9229376735,377.96875
35.6183239446,-83.9229898735,382.47769165
35.6182316456,-83.9230747735,387.468994141
35.6182338446,-83.9229865735,388.95489502
35.6182024466,-83.9227977735,394.125579834
35.6181823446,-83.9225100734,400.114135742
35.6181678456,-83.9223660733,402.291870117
35.6182706456,-83.9222152733,404.267242432
35.6183453447,-83.9221075733,406.235137939
35.6184481457,-83.9219567732,409.0625
35.6185541457,-83.9216736731,413.249023438
35.6186657457,-83.9215342731,416.586334229
35.6187491458,-83.9214379731,419.040863037
35.6188162458,-83.921274873,421.911193848
35.6189299458,-83.921047173,426.461730957
35.6190054458,-83.920906473,429.845458984
35.6190345459,-83.9208191729,431.49798584
35.6189943469,-83.9206190729,432.928283691
35.6189350458,-83.9204623728,434.63949585
35.6190574459,-83.9202460728,428.72454834
35.6191504459,-83.9201279727,426.781555176
35.6191989449,-83.9199862727,422.255126953
35.6192728459,-83.9199116727,422.129333496
35.619359647,-83.9196830726,417.671325684
35.619393046,-83.9194193725,411.352996826
35.619415645,-83.9192324725,407.019073486
35.619490846,-83.9191027725,407.161956787
35.619485645,-83.9189479724,404.045623779
35.619452846,-83.9188143724,400.921325684
35.619356747,-83.9186894723,394.897674561
35.619315146,-83.9185444723,393.69052124
35.619282345,-83.9184107722,393.120910645
35.619271046,-83.9181344722,394.676513672
35.619176547,-83.9179433721,391.345153809
35.619070846,-83.9178401721,388.610931396
35.618993246,-83.917693872,385.162414551
35.618944346,-83.9174823719,382.141571045
35.618939846,-83.9172945719,380.691711426
35.618987546,-83.9171858719,380.7109375
35.618998946,-83.9170869718,377.51651001
35.618965345,-83.9169863718,374.195220947
35.618806447,-83.9168481718,377.42980957
35.6186838459,-83.9167002717,377.645568848
35.6186142459,-83.9165983717,380.021911621
35.6185427459,-83.9165736717,379.177825928
35.6184291459,-83.9164260716,381.241455078
35.6183071459,-83.9162560715,381.734771729
35.6182115459,-83.9161090715,381.283996582
35.6181615469,-83.9159417714,381.699829102
35.6181212469,-83.9157415714,379.586791992
35.6181335459,-83.9156095714,378.948303223
35.6181178449,-83.9155096713,376.43762207
35.6181293449,-83.9154107713,375.465942383
35.6181240459,-83.9152560712,372.214080811
35.6181624469,-83.9151580712,373.628570557
35.6181299449,-83.9150133712,368.651000977
35.6181674459,-83.9145842711,366.656005859
35.6181285459,-83.914329071,364.589202881
35.6180779459,-83.9141836709,361.800079346
35.6179267459,-83.9141009709,358.881530762
35.6178303459,-83.9139870709,358.49911499
35.6177517459,-83.9138848708,358.580383301
35.6177192469,-83.9137401708,359.12020874
35.6176583459,-83.9136496707,358.96383667
35.6176167449,-83.9135046707,359.846191406
35.6175031458,-83.9133570707,359.25479126
35.6173985458,-83.9132097706,359.305419922
35.6173220448,-83.9130193705,360.277893066
35.6172439458,-83.9128951705,360.053466797
35.6171573458,-83.9127484705,360.637451172
35.6170707458,-83.9126018704,360.900634766
35.6169654458,-83.9124876704,360.605957031
35.6169407468,-83.9123874703,361.728668213
35.6168719457,-83.9122523703,363.699188232
35.6167403467,-83.9121040702,363.394165039
35.6166251457,-83.9120226702,361.24887085
35.6165096447,-83.9119522702,360.967437744
35.6163245467,-83.9117799701,361.130187988
35.6162184466,-83.9116988701,361.127319336
35.6160761456,-83.9116164701,360.842041016
35.6159795456,-83.91151357,362.1222229
35.6158823446,-83.91143277,362.488800049
35.6157931446,-83.91139647,361.847229004
35.6156871455,-83.9113042699,362.118835449
35.6155820455,-83.9111790699,364.41293335
35.6155108455,-83.9111433699,363.647674561
35.6153958465,-83.9110509699,363.421813965
35.6152544455,-83.9109354698,363.093322754
35.6151390454,-83.9108649698,362.883087158
35.6150251464,-83.9107284697,364.888763428
35.6149192454,-83.9106362697,364.400360107
35.6148482454,-83.9105895697,363.752441406
35.6147966464,-83.9104883697,365.975006104
35.6146912444,-83.9103741696,366.867797852
35.6146035454,-83.9102716696,369.821289062
35.6145794454,-83.9101493695,372.530853271
35.6145914464,-83.9100283695,374.45904541
35.6145941454,-83.9099181695,374.115600586
35.6146325454,-83.9098201694,374.599121094
35.6147088444,-83.9096463694,374.40020752
35.6148288454,-83.9095292694,376.61706543
35.6149321465,-83.9093564693,375.739837646
35.6151835455,-83.9090233692,377.301391602
35.6152963456,-83.9088287692,376.335754395
35.6154182466,-83.9086345691,374.099334717
35.6154749456,-83.9085262691,373.429199219
35.6155997466,-83.908210669,370.844604492
35.6155524466,-83.907932969,369.010314941
35.6154420456,-83.9076530689,366.279968262
35.6153205446,-83.9074610688,368.223907471
35.6151536466,-83.9072783687,367.978179932
35.6150946456,-83.9071106687,368.188873291
35.6150501446,-83.9070869687,367.451538086
35.6149344446,-83.9070276687,367.805175781
35.6148202455,-83.9069020686,368.171722412
35.6146976445,-83.9067541686,368.472717285
35.6145747455,-83.9066172685,369.233581543
35.6144776455,-83.9065364685,369.532897949
35.6143253445,-83.9064978685,368.72744751
35.6141555464,-83.9064365684,368.294067383
35.6140485444,-83.9063884684,368.624450684
35.6138952454,-83.9063939684,367.327575684
35.6137794463,-83.9063346684,368.542633057
35.6136358453,-83.9063073684,368.597930908
35.6134742463,-83.9062794683,368.821258545
35.6133121453,-83.9062735683,369.130645752
35.6131850442,-83.9063130683,368.246582031
35.6130499452,-83.9063081683,368.826965332
35.6129408462,-83.9063483683,368.891662598
35.6127877461,-83.9063428683,369.387542725
35.6127146441,-83.9063843683,369.024017334
35.6126076451,-83.9063363683,370.224121094
35.6125086451,-83.9063327683,370.709197998
35.6124193441,-83.9062964683,371.76864624
35.612328045,-83.9063482683,371.849243164
35.612192346,-83.9063654683,372.456085205
35.612146046,-83.9064189683,372.53338623
35.612062845,-83.9065042683,372.036590576
35.6118989449,-83.9065755683,371.826507568
35.6117990439,-83.9066050683,371.61428833
35.6117005459,-83.9065794683,371.656829834
35.6115471459,-83.9065848683,371.067840576
35.6114780449,-83.9064609683,371.265228271
35.6113745459,-83.9062696682,371.041900635
35.6114137449,-83.9061385682,372.243743896
35.6114302439,-83.9058301681,372.420471191
35.6113897449,-83.905641068,371.320892334
35.6114215459,-83.905443468,370.956359863
35.6115057449,-83.9053140679,371.738983154
35.6116112449,-83.9050529679,374.091644287
35.611685945,-83.9049453678,376.207458496
35.611742345,-83.9048480678,377.595825195
35.611780245,-83.9047721678,378.655883789
35.611756645,-83.9046277678,377.726104736
35.611796245,-83.9044857677,381.509674072
35.611863745,-83.9043005677,385.489532471
35.6119472461,-83.9042042676,386.111419678
35.6120065451,-83.9039856676,387.971801758
35.6120301451,-83.9037547675,390.635528564
35.6120158451,-83.9035997675,393.214660645
35.6120569441,-83.9033914674,395.798156738
35.6120826451,-83.9030723673,398.912384033
35.6120339441,-83.9028498673,401.144714355
35.6119651461,-83.9027149672,401.805969238
35.6119426451,-83.9025264672,402.782348633
35.6119291441,-83.9023383671,399.134490967
35.6119434461,-83.902118167,402.23526001
35.6119384451,-83.901952467,403.88973999
35.6118475461,-83.901982267,409.341125488
35.6117996441,-83.902101967,409.212341309
35.6116984451,-83.902186567,412.875640869
35.6116073451,-83.902227367,412.844543457
35.6115459441,-83.902158967,413.39932251
35.611485544,-83.902046367,415.917449951
35.611405546,-83.901999367,414.679107666
35.611334344,-83.901963667,413.636444092
35.611219145,-83.9018822669,413.065032959
35.611023946,-83.9017537669,412.688293457
35.6108459459,-83.9016590668,413.853485107
35.6106963449,-83.9015101668,414.062896729
35.6105530449,-83.9014718668,412.130126953
35.6104102448,-83.9014115667,412.349975586
35.6102863448,-83.9013187667,415.426330566
35.6101184448,-83.9011802667,419.42678833
35.6099939458,-83.9011095666,421.179321289
35.6098888458,-83.9009843666,425.344543457
35.6098562458,-83.9008396665,429.46673584
35.6097982448,-83.9006279665,430.540100098
35.6097935448,-83.9004511664,431.918121338
35.6098435438,-83.9002432664,434.403137207
35.6098383458,-83.9000885663,433.333770752
35.6098221448,-83.9000107663,435.818847656
35.6097509448,-83.8999750663,439.410827637
35.6096415437,-83.9000262663,440.173553467
35.6095241457,-83.9000330663,440.823608398
35.6094161457,-83.9000291663,439.143341064
35.6092826437,-83.8999581662,439.017456055
35.6091393446,-83.8999198662,437.97467041
35.6090313446,-83.8999159662,436.878356934
35.6088430446,-83.8998760662,436.612213135
35.6087728456,-83.8997962662,433.12713623
35.6087052446,-83.8996061661,430.461395264
35.6086727446,-83.8994615661,428.726348877
35.6086936436,-83.899340866,428.47277832
35.6086703436,-83.899185566,423.443328857
35.6087016436,-83.8990100659,418.714385986
35.6087583446,-83.8989017659,419.802825928
35.6087426446,-83.8988018659,416.775024414
35.6086084446,-83.8987638659,420.58493042
35.6084645435,-83.8987476658,424.807342529
35.6082858435,-83.8986860658,430.328826904
35.6081772435,-83.8987041658,429.582244873
35.6080509455,-83.8987106658,429.450439453
35.6079428444,-83.8987067658,427.585235596
35.6077916444,-83.8986240658,425.06854248
35.6076970444,-83.8984329657,428.06451416
35.6076366444,-83.8983203657,429.206176758
35.6076390434,-83.8982211656,431.732543945
