lat,lng,ele
35.6838257695,-83.6395191945,548.917358398
35.6838456705,-83.6395174945,549.251098633
35.6838869705,-83.6394857945,549.629943848
35.6839281705,-83.6394538945,549.794067383
35.6839860705,-83.6394114945,550.412414551
35.6840444705,-83.6393696945,551.041870117
35.6841021716,-83.6393270945,551.572692871
35.6841751706,-83.6392681945,552.328125
35.6842489706,-83.6392103945,553.47442627
35.6843328716,-83.6391601944,555.022338867
35.6844135706,-83.6391052944,556.242126465
35.6844588696,-83.6390531944,556.994445801
35.6844989707,-83.6389968944,557.79901123
35.6845432697,-83.6389438944,558.663208008
35.6846102717,-83.6388886944,560.00793457
35.6846808707,-83.6388378944,561.335266113
35.6847535697,-83.6387842944,562.208007812
35.6848273697,-83.6387322943,562.670227051
35.6849073708,-83.6386759943,563.08996582
35.6849919698,-83.6386271943,563.14855957
35.6850592708,-83.6386050943,563.725219727
35.6851279708,-83.6385874943,564.274047852
35.6852013708,-83.6385704943,564.410888672
35.6852730708,-83.6385480943,564.448181152
35.6853429709,-83.6385075943,565.131774902
35.6854054699,-83.6384563943,566.069580078
35.6854616719,-83.6383981943,566.338378906
35.6855120709,-83.6383349943,565.20916748
35.6855502699,-83.6382756943,564.916137695
35.6855835709,-83.6382135942,566.02935791
35.6856152709,-83.6381505942,566.219482422
35.6856464699,-83.6380788942,565.775268555
35.6856814709,-83.6380091942,565.155029297
35.685738072,-83.6379475942,565.115844727
35.685805771,-83.6378981942,565.142272949
35.685874272,-83.6378497942,565.436889648
35.685928771,-83.6378067941,565.381164551
35.68598427,-83.6377649941,565.41607666
35.686047472,-83.6377216941,565.365112305
35.686112372,-83.6376808941,565.587768555
35.6861771711,-83.6376421941,565.649841309
35.6862433721,-83.6376061941,565.958557129
35.6863128711,-83.6375769941,566.145141602
35.6863869711,-83.6375579941,566.608825684
35.6864627711,-83.6375472941,567.255126953
35.6865390701,-83.6375402941,567.583435059
35.6866291702,-83.6375362941,568.092163086
35.6867193712,-83.6375351941,568.626953125
35.6868185712,-83.6375322941,569.118164062
35.6869177702,-83.6375305941,569.921081543
35.6869969722,-83.6375365941,570.72833252
35.6870756712,-83.6375474941,571.40612793
35.6871547713,-83.6375528941,571.715698242
35.6872330713,-83.6375409941,572.215148926
35.6872971713,-83.6375122941,572.70135498
35.6873568703,-83.6374752941,573.092834473
35.6874155723,-83.6374365941,573.513061523
35.6874837703,-83.6373883941,574.000793457
35.6875528714,-83.6373416941,574.20526123
35.6876134704,-83.6373137941,574.83203125
35.6876758714,-83.6372900941,575.430908203
35.6877349714,-83.6372592941,575.859802246
35.6877987724,-83.6372104941,576.184570312
35.6878545714,-83.6371526941,576.535644531
35.6878927704,-83.637078094,576.832641602
35.6879201714,-83.636998494,577.159973145
35.6879586705,-83.636924094,576.652099609
35.6880247705,-83.636870694,575.915588379
35.6881038715,-83.636838594,575.513427734
35.6881863715,-83.636815894,575.170959473
35.6882680715,-83.636790694,574.664489746
35.6883344705,-83.636766294,574.05682373
35.6884011726,-83.636743094,573.46661377
35.6884679726,-83.636719894,572.663085938
35.6885544716,-83.636690394,572.629760742
35.6886404716,-83.636659294,572.211303711
35.6887110716,-83.636630194,572.501403809
35.6887806716,-83.636599094,572.581970215
35.6888498727,-83.636566794,573.005859375
35.6889387707,-83.6365232939,573.874633789
35.6890266707,-83.6364780939,574.434692383
35.6891141727,-83.6364318939,575.241210938
35.6891784707,-83.6363978939,575.694702148
35.6892424717,-83.6363633939,576.242431641
35.6893057718,-83.6363276939,576.557434082
35.6893743708,-83.6362858939,576.789733887
35.6894427708,-83.6362437939,576.749694824
35.6895103718,-83.6362066939,577.071594238
35.6895784718,-83.6361702939,577.693603516
35.6896435718,-83.6361288939,578.144104004
35.6896938728,-83.6360797939,578.454467773
35.6897409709,-83.6360273939,578.596252441
35.6897998719,-83.6359903938,578.55670166
35.6898989719,-83.6359936939,579.63269043
35.6899529719,-83.6359683938,579.514831543
35.6899994709,-83.6359306938,579.451599121
35.6900390729,-83.6358684938,579.810241699
35.6900669719,-83.6357997938,579.851928711
35.6901028719,-83.6357351938,580.405273438
35.690159972,-83.6356849938,581.421630859
35.690227072,-83.6356487938,581.870056152
35.690297472,-83.6356195938,582.280761719
35.690367472,-83.6355892938,583.089355469
35.690430571,-83.6355661938,583.719299316
35.690494272,-83.6355444938,584.243164062
35.690549572,-83.6355068937,584.589599609
35.6905960731,-83.6354420937,584.598022461
35.6906427711,-83.6353662937,585.332275391
35.6906906731,-83.6352882937,585.998596191
35.6907452721,-83.6352149937,586.860595703
35.6908213731,-83.6351600937,588.238220215
35.6909075721,-83.6351218937,589.358581543
35.6909916722,-83.6350794936,590.05291748
35.6910511732,-83.6350392936,590.584350586
35.6911091722,-83.6349969936,591.021606445
35.6911656712,-83.6349525936,591.406799316
35.6912253712,-83.6349008936,591.688720703
35.6912831732,-83.6348469936,591.982666016
35.6913404712,-83.6347925936,592.293823242
35.6913917723,-83.6347451936,592.59979248
35.6914416733,-83.6346964936,593.022827148
35.6914959723,-83.6346308935,593.916931152
35.6915526713,-83.6345675935,594.640441895
35.6916147723,-83.6345227935,594.901306152
35.6916806723,-83.6344833935,595.651855469
35.6917489723,-83.6344420935,596.550476074
35.6918184734,-83.6344029935,597.252685547
35.6918905724,-83.6343687935,597.590759277
35.6919523734,-83.6343430935,598.140014648
35.6920154724,-83.6343210935,598.642150879
35.6920810724,-83.6343087935,599.00994873
35.6921539724,-83.6343146935,599.556518555
35.6922250714,-83.6343326935,599.998474121
35.6922965735,-83.6343489935,600.141296387
35.6923500725,-83.6343604935,600.223205566
35.6924043715,-83.6343635935,600.08984375
35.6924561725,-83.6343411935,599.849853516
35.6925046715,-83.6343116935,599.130737305
35.6925754725,-83.6342750935,598.305480957
35.6926459715,-83.6342377935,598.065246582
35.6927144725,-83.6341969935,598.315307617
35.6927777726,-83.6341540935,598.664733887
35.6928390726,-83.6341083935,599.016906738
35.6928977716,-83.6340593935,599.411132812
35.6929653726,-83.6339881934,599.991210938
35.6930360736,-83.6339202934,600.796630859
35.6930946716,-83.6338886934,601.181762695
35.6931570727,-83.6338649934,601.621276855
35.6932180727,-83.6338378934,601.836303711
35.6932928727,-83.6337931934,601.940002441
35.6933643717,-83.6337432934,601.794494629
35.6934278737,-83.6336887934,601.792297363
35.6934877727,-83.6336302934,601.714904785
35.6935483737,-83.6335725934,602.120849609
35.6936033738,-83.6335245934,602.33215332
35.6936586718,-83.6334767933,602.651062012
35.6937112728,-83.6334311933,603.019470215
35.6937636728,-83.6333852933,603.31842041
35.6938149718,-83.6333382933,603.594848633
35.6938685738,-83.6332860933,604.27923584
35.6939208728,-83.6332324933,604.346984863
35.6939717728,-83.6331776933,604.38861084
35.6940350739,-83.6331036933,604.432861328
35.6940960729,-83.6330276932,604.756164551
35.6941569729,-83.6329516932,605.078979492
35.6942138729,-83.6328846932,605.688537598
35.6942707729,-83.6328175932,605.84173584
35.6943236739,-83.6327472932,606.290039062
35.6943581739,-83.6326894932,606.483886719
35.694390273,-83.6326303931,606.774719238
35.694426574,-83.6325737931,607.272583008
35.694483474,-83.6325053931,607.63482666
35.694547374,-83.6324435931,607.85534668
35.694619873,-83.6323922931,608.067810059
35.694683473,-83.6323665931,609.297973633
35.694747172,-83.6323411931,610.233886719
35.6948164741,-83.6322930931,610.692138672
35.6948777731,-83.632235093,611.13659668
35.6949336731,-83.632171793,611.2734375
35.6949866731,-83.632105993,611.170593262
35.6950428731,-83.632025193,611.053100586
35.6950936731,-83.631940893,611.129760742
35.6951453721,-83.631857093,611.065856934
35.6951891722,-83.6317919929,611.114990234
35.6952337732,-83.6317272929,611.24420166
35.6952783722,-83.6316627929,611.120361328
35.6953222732,-83.6315976929,610.984313965
35.6953678732,-83.6315248929,610.982910156
35.6954129732,-83.6314517929,611.280822754
35.6954621732,-83.6313813928,611.474182129
35.6955086742,-83.6313253928,612.090087891
35.6955581733,-83.6312718928,612.770996094
35.6956098733,-83.6312204928,613.82623291
35.6956714733,-83.6311668928,614.763000488
35.6957364733,-83.6311175928,615.51953125
35.6958023743,-83.6310693928,616.541442871
35.6958666723,-83.6310189928,617.37487793
35.6959362743,-83.6309675927,618.01361084
35.6960048734,-83.6309149927,619.11315918
35.6960596744,-83.6308484927,619.492736816
35.6960823744,-83.6307838927,619.49041748
35.6960966734,-83.6307166927,619.186767578
35.6961181724,-83.6306515927,619.044128418
35.6961585734,-83.6305822926,618.752868652
35.6962111724,-83.6305219926,618.342407227
35.6962569734,-83.6304960926,618.102722168
35.6963024734,-83.6304697926,617.962768555
35.6963507745,-83.6304149926,617.396240234
35.6963861735,-83.6303509926,616.886230469
35.6964398735,-83.6302893926,617.096862793
35.6964982735,-83.6302321926,617.506591797
35.6965611725,-83.6301799925,617.747619629
35.6966254735,-83.6301373925,618.013122559
35.6966933745,-83.6301004925,618.507446289
35.6967619736,-83.6300649925,618.953857422
35.6968309736,-83.6300286925,619.163879395
35.6969005726,-83.6299937925,619.225097656
35.6969714726,-83.6299613925,619.251220703
35.6970346746,-83.6299364925,619.641113281
35.6970985746,-83.6299135925,619.697631836
35.6971623736,-83.6298902925,619.585632324
35.6972540737,-83.6298564925,619.973266602
35.6973441737,-83.6298188925,620.574707031
35.6974260737,-83.6297714925,621.104736328
35.6975084737,-83.6297248925,621.804016113
35.6975961747,-83.6296980925,622.599731445
35.6976810738,-83.6296642925,622.998596191
35.6977286738,-83.6296232925,623.077758789
35.6977730738,-83.6295788924,623.024780273
35.6978274738,-83.6295344924,622.957641602
35.6978742728,-83.6294827924,622.93347168
35.6978933748,-83.6294186924,622.844604492
35.6978989738,-83.6293517924,622.885620117
35.6979056738,-83.6292848924,623.057434082
35.6979204738,-83.6292106923,623.453796387
35.6979369728,-83.6291368923,623.875854492
35.6979529738,-83.6290629923,624.367736816
35.6979662748,-83.6289885923,624.342590332
35.6979757738,-83.6288892923,624.216674805
35.6979885739,-83.6287903922,623.748474121
35.6980047739,-83.6287226922,623.96484375
35.6980257729,-83.6286562922,624.126464844
35.6980559739,-83.6285936922,624.561462402
35.6980949739,-83.6285430922,625.172790527
35.6981391749,-83.6284969921,625.67565918
35.6981935729,-83.6284499921,626.062133789
35.6982511739,-83.6284068921,626.387023926
35.6983044729,-83.6283587921,626.758178711
35.6983522739,-83.6283091921,627.209655762
35.698387974,-83.6282509921,627.803283691
35.698386875,-83.6281665921,628.533203125
35.698364674,-83.628084492,629.052246094
35.698333674,-83.628015292,629.749145508
35.698295475,-83.627949692,630.352966309
35.6982461739,-83.627877192,631.098632812
35.6981995749,-83.6278028919,631.50579834
35.6981609729,-83.6277162919,632.001953125
35.6981403739,-83.6276240919,632.356628418
35.6981441739,-83.6275569919,632.793884277
35.6981612729,-83.6274921919,633.149414062
35.698192575,-83.6274392918,633.963623047
35.698235474,-83.6273951918,634.830505371
35.698321073,-83.6273746918,636.553344727
35.698407574,-83.6273566918,638.053649902
35.698457475,-83.6273062918,638.577148438
35.698500073,-83.6272491918,639.659362793
35.698538274,-83.6271920918,640.897705078
35.698573573,-83.6271330918,641.668029785
35.6986119741,-83.6270760918,642.588806152
35.6986653741,-83.6270105917,643.530334473
35.6987233751,-83.6269491917,644.778686523
35.6987872751,-83.6268939917,646.082702637
35.6988484741,-83.6268546917,647.189941406
35.6989133741,-83.6268217917,648.534790039
35.6989787731,-83.6267897917,649.86114502
35.6990483752,-83.6267546917,651.028015137
35.6991184732,-83.6267205917,652.447998047
35.6991883752,-83.6266860917,653.562744141
35.6992488742,-83.6266543917,654.429077148
35.6993092742,-83.6266224917,655.464355469
35.6993706742,-83.6265926917,656.59161377
35.6994466732,-83.6265586917,657.80871582
35.6995252733,-83.6265314917,658.922790527
35.6996064733,-83.6265221917,660.026123047
35.6996878753,-83.6265146917,661.06463623
35.6997427743,-83.6265016917,661.235168457
35.6997966743,-83.6264850917,661.183776855
