lat,lng,ele
35.6715551886,-83.0944678338,935.640869141
35.6715217895,-83.0944669338,935.558654785
35.6714663895,-83.0944654338,935.424316406
35.6714109885,-83.0944639338,935.234313965
35.6713230905,-83.0944771338,935.05847168
35.6712351905,-83.0944903338,934.174316406
35.6712211885,-83.0944938338,933.944335938
35.6712077885,-83.0945001338,933.687927246
35.6711954895,-83.0945090338,933.383178711
35.6711844895,-83.0945202338,933.092346191
35.6711751885,-83.0945334338,932.81072998
35.6711676895,-83.0945483338,932.550964355
35.6711621895,-83.0945645338,932.330871582
35.6711589895,-83.0945816338,932.151062012
35.6711580895,-83.0945991338,931.990905762
35.6711595895,-83.0946165338,931.783447266
35.6711631895,-83.0946335338,931.519287109
35.6711691895,-83.0946495338,931.182739258
35.6711770885,-83.0946640338,930.900390625
35.6711868905,-83.0946768339,930.695922852
35.6712330895,-83.0947281339,929.633422852
35.6712791895,-83.0947794339,928.608703613
35.6712976895,-83.0948038339,928.501586914
35.6713125885,-83.0948317339,928.264770508
35.6713232895,-83.0948624339,927.927307129
35.6713295895,-83.0948947339,927.609863281
35.6713313905,-83.0949280339,927.280395508
35.6713305895,-83.094973434,926.997131348
35.6713328895,-83.095017934,926.820068359
35.6713410895,-83.095061334,926.77734375
35.6713551895,-83.095102434,926.705627441
35.6713744905,-83.095140034,926.437866211
35.6713988885,-83.095173134,926.075744629
35.6714272885,-83.095201034,925.647888184
35.6714874895,-83.095250434,924.222839355
35.6715529895,-83.0952770341,923.541870117
35.6716183905,-83.0953036341,922.729492188
35.6716838905,-83.0953302341,921.91003418
35.6717263906,-83.0953506341,921.494140625
35.6717471886,-83.0953631341,921.397705078
35.6717658896,-83.0953798341,921.016845703
35.6717820886,-83.0954000341,920.496704102
35.6717952896,-83.0954234341,920.003662109
35.6718049906,-83.0954490341,919.657653809
35.6718110906,-83.0954763341,919.305114746
35.6718133886,-83.0955046341,919.072753906
35.6718117886,-83.0955328341,918.914489746
35.6718062906,-83.0955604342,918.691101074
35.6717970886,-83.0955863342,918.597045898
35.6717844896,-83.0956101342,918.572387695
35.6717525905,-83.0956602342,918.617919922
35.6717206885,-83.0957103342,918.624328613
35.6717126885,-83.0957254342,918.532043457
35.6717068905,-83.0957420342,918.371582031
35.6717034895,-83.0957596342,918.185852051
35.6717026895,-83.0957775342,918.048706055
35.6717042905,-83.0957955342,917.77130127
35.6717084905,-83.0958127342,917.545166016
35.6717148905,-83.0958289342,917.398132324
35.6717235885,-83.0958435342,917.231201172
35.6717340885,-83.0958560342,917.11114502
35.6717462885,-83.0958662342,916.924377441
35.6717994895,-83.0959028343,915.89642334
35.6718150896,-83.0959158343,915.75994873
35.6718285896,-83.0959318343,915.485778809
35.6718397896,-83.0959504343,915.066650391
35.6718482896,-83.0959710343,914.654968262
35.6718537896,-83.0959932343,914.685180664
35.6718561886,-83.0960161343,914.202270508
35.6718553896,-83.0960392343,913.460266113
35.6718514896,-83.0960618343,912.855102539
35.6718444896,-83.0960832343,913.373962402
35.6718345895,-83.0961029343,913.911376953
35.6718221895,-83.0961203343,914.235046387
35.6718075885,-83.0961349343,914.231323242
35.6717910895,-83.0961462343,914.072753906
35.6717733905,-83.0961540343,913.830627441
35.6717213895,-83.0961709343,912.992553711
35.6716692895,-83.0961878343,912.364074707
35.6716372885,-83.0962086343,911.997192383
35.6716148885,-83.0962322343,911.846130371
35.6715762895,-83.0962669343,911.39074707
35.6715338895,-83.0962941344,911.285949707
35.6714885905,-83.0963129344,911.107910156
35.6714101894,-83.0963375344,910.78314209
35.6713306894,-83.0963709344,911.05065918
35.6712563894,-83.0964191344,911.648132324
35.6711892894,-83.0964811344,912.034118652
35.6711308894,-83.0965553344,912.248291016
35.6711194904,-83.0965726344,912.094116211
35.6710975894,-83.0966003344,911.796142578
35.6710723894,-83.0966233344,911.355773926
35.6710443904,-83.0966410344,910.474243164
35.6710145894,-83.0966528344,908.572143555
35.6709834893,-83.0966586344,908.053588867
35.6709519893,-83.0966583344,909.359741211
35.6709210883,-83.0966515344,910.442260742
35.6708913883,-83.0966388344,910.925598145
35.6708288893,-83.0966047344,910.913757324
35.6707662893,-83.0965706344,910.333129883
35.6707037883,-83.0965365344,909.171386719
35.6706395893,-83.0965091344,908.069335938
35.6705724893,-83.0964952344,907.598022461
35.6705045903,-83.0964951343,906.98626709
35.6704374902,-83.0965088343,906.228942871
35.6703732902,-83.0965360344,906.052612305
35.6703135882,-83.0965758344,905.854919434
35.6702738902,-83.0966203344,905.577697754
35.6702410892,-83.0966725344,904.897277832
35.6702159892,-83.0967309344,903.84173584
35.6701995892,-83.0967937344,902.427246094
35.6701920902,-83.0968589344,901.099731445
35.6701938892,-83.0969248345,900.583068848
35.6702050892,-83.0969894345,900.020935059
35.6702249902,-83.0970505345,899.47479248
35.6702594902,-83.0971346345,898.780151367
35.6702836892,-83.0972069345,897.539245605
35.6702982892,-83.0972830346,896.602783203
35.6703031892,-83.0973609346,895.711242676
35.6702979892,-83.0974389346,895.653869629
35.6702829892,-83.0975148346,895.52545166
35.6702584892,-83.0975870347,894.677185059
35.6702250882,-83.0976536347,893.530090332
35.6701767881,-83.0977351347,892.865600586
35.6701284901,-83.0978165347,892.593383789
35.6700801901,-83.0978980347,892.649169922
35.6700452891,-83.0979673348,892.631347656
35.6700103891,-83.0980365348,892.693786621
35.6699754881,-83.0981058348,892.687988281
35.6699405881,-83.0981751348,893.348693848
35.6699164891,-83.0982155348,893.354003906
35.6698876891,-83.0982510348,893.359924316
35.669854789,-83.0982807348,893.206970215
35.66981849,-83.0983038348,893.070129395
35.66977979,-83.0983199348,893.025512695
35.669739689,-83.0983285348,893.061340332
35.669698789,-83.0983295348,893.113037109
35.669609289,-83.0983232348,892.911132812
35.669519789,-83.0983169348,894.755004883
35.669430288,-83.0983106348,895.552246094
35.669393188,-83.0983155348,896.025024414
35.6693186879,-83.0983207348,896.62689209
35.6692440889,-83.0983169348,897.174377441
35.6691704889,-83.0983042348,897.376525879
35.6690921889,-83.0982858348,897.548278809
35.6690138889,-83.0982673348,897.676452637
35.6689355889,-83.0982489348,898.266662598
35.6688572888,-83.0982305348,899.450561523
35.6687730898,-83.0982190348,900.909973145
35.6687089878,-83.0982168347,902.043762207
35.6686448888,-83.0982146347,903.47442627
35.6685813898,-83.0982254347,904.545715332
35.6685177898,-83.0982363347,905.564758301
35.6684566888,-83.0982598347,905.840637207
35.6683954887,-83.0982834347,905.721801758
35.6683166887,-83.0983228348,905.976745605
35.6682379887,-83.0983622348,906.302001953
35.6681592877,-83.0984017348,906.718261719
35.6680804887,-83.0984411348,907.529846191
35.6680568887,-83.0984502348,907.644958496
35.6680323877,-83.0984544348,907.574890137
35.6680075887,-83.0984537348,907.460449219
35.6679832887,-83.0984480348,907.330566406
35.6679600896,-83.0984374348,906.991699219
35.6679385886,-83.0984223348,906.459777832
35.6679194896,-83.0984030348,906.592834473
35.6679031896,-83.0983801347,906.941650391
35.6678901876,-83.0983544347,907.024963379
35.6678807886,-83.0983263347,907.062927246
35.6678578876,-83.0982371347,907.137695312
35.6678349886,-83.0981479347,907.742248535
35.6678119886,-83.0980588346,908.406799316
35.6677890896,-83.0979696346,909.446655273
35.6677753896,-83.0979281346,909.910339355
35.6677564886,-83.0978896346,910.265319824
35.6677327886,-83.0978553346,910.740905762
35.6677050896,-83.0978259346,911.324768066
35.6676739886,-83.0978023346,911.905944824
35.6676400886,-83.0977850346,912.388671875
35.6676044876,-83.0977745346,912.858154297
35.6675679896,-83.0977710346,913.236450195
35.6675314886,-83.0977745345,913.546630859
35.6674958886,-83.0977851346,913.93951416
35.6674048886,-83.0978216346,914.853393555
35.6673137885,-83.0978581346,916.359802246
35.6672227885,-83.0978947346,917.633239746
35.6671317875,-83.0979312346,918.946655273
35.6670673885,-83.0979536346,920.198425293
35.6670030885,-83.0979760346,921.361572266
35.6669386895,-83.0979984346,922.509277344
35.6668816884,-83.0980128346,923.415405273
35.6668245884,-83.0980272346,924.354125977
35.6667664894,-83.0980312346,925.061584473
35.6667082894,-83.0980353346,925.575073242
35.6666502884,-83.0980289346,926.16015625
35.6665922894,-83.0980225346,927.033081055
35.6665356894,-83.0980057346,927.482177734
35.6664790884,-83.0979890345,928.335388184
35.6664250883,-83.0979623345,928.741638184
35.6663709883,-83.0979356345,929.499572754
35.6663278883,-83.0978991345,929.87902832
35.6662847883,-83.0978626345,930.505493164
35.6662470883,-83.0978181345,931.381164551
35.6662092883,-83.0977736345,932.348693848
35.6661778873,-83.0977222345,932.47845459
35.6661463883,-83.0976708344,933.184387207
35.6661215873,-83.0976224344,933.82019043
35.6661089883,-83.0975925344,933.951721191
35.6661007893,-83.0975605344,933.894775391
35.6660972893,-83.0975271344,933.896972656
35.6660983883,-83.0974936344,933.995788574
35.6661042893,-83.0974607344,934.179443359
35.6661145873,-83.0974296344,934.289611816
35.6661291893,-83.0974011344,934.335266113
35.6661475883,-83.0973761344,934.500305176
35.6661690883,-83.0973555343,934.912841797
35.6661932883,-83.0973395343,935.329101562
35.6662192883,-83.0973289343,935.435791016
35.6662784893,-83.0973116343,936.039367676
35.6663376874,-83.0972944343,936.899597168
35.6663544894,-83.0972876343,936.961853027
35.6663701894,-83.0972774343,937.058288574
35.6663842874,-83.0972643343,937.155761719
35.6663963894,-83.0972484343,937.341369629
35.6664060884,-83.0972303343,937.591674805
35.6664132894,-83.0972105343,937.880371094
35.6664176884,-83.0971894343,938.156005859
35.6664190894,-83.0971678343,938.311706543
35.6664175874,-83.0971462343,938.445861816
35.6664131884,-83.0971251343,938.607177734
35.6664059894,-83.0971054343,938.74407959
35.6663960894,-83.0970872343,938.844116211
35.6663838894,-83.0970714343,938.874755859
35.6663697884,-83.0970584343,938.937866211
35.6662958884,-83.0970010342,939.100341797
35.6662218893,-83.0969437342,939.572570801
35.6661892893,-83.0969135342,939.964660645
35.6661610883,-83.0968771342,940.580749512
35.6661381893,-83.0968357342,941.062194824
35.6661211883,-83.0967902342,941.42779541
35.6661103893,-83.0967418342,942.052246094
35.6661062873,-83.0966920341,942.41229248
35.6661088883,-83.0966420341,943.078735352
35.6661180873,-83.0965932341,943.587524414
35.6661336893,-83.0965469341,943.82244873
35.6661412883,-83.0965288341,943.903503418
35.6661810874,-83.0964706341,944.093688965
35.6662209874,-83.0964124341,944.717163086
35.6662607884,-83.0963542341,945.622558594
35.6662735884,-83.096318334,946.429870605
35.6662778874,-83.096303034,946.656921387
35.6662798884,-83.096287034,946.866394043
35.6662796884,-83.096270934,947.029968262
35.6662771894,-83.096255234,947.101806641
35.6662725884,-83.096240034,947.096191406
35.6662658884,-83.096226334,947.076049805
35.6662572884,-83.096214034,947.059082031
35.6662471874,-83.096203734,947.101074219
35.6662357884,-83.096195634,947.147216797
35.6662233884,-83.096190134,947.311157227
35.6662104874,-83.096187434,947.507324219
35.6661972894,-83.096187334,947.658569336
35.6661843884,-83.096190134,947.807128906
35.6661718884,-83.096195434,947.962341309
35.6661604884,-83.096203434,948.2265625
35.6661226884,-83.096235134,949.018127441
35.6660892893,-83.096266834,949.784851074
35.6660592873,-83.096303334,950.440063477
35.6660329893,-83.096343934,951.022949219
35.6659856893,-83.0964268341,952.261291504
35.6659383883,-83.0965097341,952.896911621
35.6658910883,-83.0965926341,954.53302002
35.6658438873,-83.0966756341,955.594421387
35.6657965873,-83.0967585341,957.28717041
35.6657492873,-83.0968414342,958.256530762
35.6657282882,-83.0968724342,958.216918945
35.6657032872,-83.0968987342,958.413085938
35.6656751872,-83.0969197342,958.812072754
35.6656444872,-83.0969345342,959.129577637
35.6656122882,-83.0969430342,959.535583496
35.6655793882,-83.0969447342,960.070800781
35.6655467882,-83.0969397342,960.623779297
35.6655151882,-83.0969283342,961.428955078
35.6654855892,-83.0969105342,962.394897461
35.6654588882,-83.0968869342,963.236572266
35.6654018872,-83.0968273341,964.600524902
35.6653448882,-83.0967677341,965.930664062
35.6652877892,-83.0967082341,966.389465332
35.6652307882,-83.0966486341,967.128662109
35.6651737881,-83.0965890341,968.556762695
