lat,lng,ele
35.7295987874,-83.4519007423,472.363616943
35.7295367874,-83.4519300423,473.091583252
35.7294736874,-83.4519571423,474.050750732
35.7294078874,-83.4519690423,474.694213867
35.7293819874,-83.4519129423,475.364379883
35.7293535874,-83.4518176422,476.633300781
35.7293227864,-83.4517232422,478.550872803
35.7292686884,-83.4516513422,479.899475098
35.7292028884,-83.4515892421,481.191864014
35.7291466864,-83.4515188421,482.157440186
35.7291149884,-83.4514265421,482.98739624
35.7290999884,-83.4513298421,483.058197021
35.7290851874,-83.451233042,483.00592041
35.7290551884,-83.451140142,484.193908691
35.7290113874,-83.451064042,485.85723877
35.7289590864,-83.450993542,487.302093506
35.7288999863,-83.4509333419,488.329193115
35.7288351873,-83.4508791419,489.082763672
35.7287654873,-83.4508368419,490.467834473
35.7287018873,-83.4507866419,491.309265137
35.7286669863,-83.4507303419,491.764221191
35.7287040863,-83.4506761418,492.372619629
35.7287805873,-83.4506216418,493.693878174
35.7288594873,-83.4505703418,494.263092041
35.7289033884,-83.4505170418,494.767578125
35.7289402874,-83.4504586418,495.276947021
35.7289711884,-83.4503968418,495.912109375
35.7289991874,-83.4503298418,497.017059326
35.7290206884,-83.4502604417,497.927764893
35.7290295874,-83.4501885417,498.751617432
35.7290261864,-83.4501323417,499.675292969
35.7290137874,-83.4500775417,500.631744385
35.7289842884,-83.4500229417,501.915466309
35.7289436884,-83.4499759417,502.620605469
35.7288868864,-83.4499394416,503.365966797
35.7288279884,-83.4499060416,504.43762207
35.7287633874,-83.4498405416,505.051544189
35.7287045873,-83.4497696416,505.484771729
35.7286528883,-83.4497044416,506.424499512
35.7286022873,-83.4496383415,507.05871582
35.7285462873,-83.4495768415,507.667388916
35.7284752863,-83.4495174415,507.535858154
35.7283982873,-83.4494662415,507.197113037
35.7283149873,-83.4494260415,506.64251709
35.7282351883,-83.4494029414,506.153717041
35.7281534872,-83.4493879414,505.676239014
35.7280848872,-83.4493776414,504.997039795
35.7280157872,-83.4493712414,504.259002686
35.7279464872,-83.4493705414,503.79385376
35.7278631882,-83.4493965414,503.699707031
35.7277828872,-83.4494317414,502.734588623
35.7277021862,-83.4494183414,500.952819824
35.7276674871,-83.4493509414,500.307678223
35.7276454871,-83.4492586414,499.88973999
35.7276356862,-83.4491640413,499.32119751
35.7276100881,-83.4490728413,498.242584229
35.7275714861,-83.4490120413,497.355438232
35.7275222861,-83.4489595413,496.243103027
35.7274463871,-83.4489367413,494.242218018
35.7273657871,-83.4489384413,494.182189941
35.7272886871,-83.4489192412,495.44543457
35.7272410871,-83.4488657412,495.628753662
35.7272030871,-83.4488044412,495.372131348
35.7271569861,-83.4487494412,494.737518311
35.7270790871,-83.4487090412,494.085662842
35.726993187,-83.4486890412,493.712402344
35.726906086,-83.4486754412,493.411224365
35.726820988,-83.4486631411,493.499084473
35.726735187,-83.4486591411,493.484191895
35.726654286,-83.4486712411,493.193145752
35.7265760869,-83.4486955411,492.892730713
35.7264981869,-83.4487212411,492.54598999
35.7264180859,-83.4487378411,492.460754395
35.7263217869,-83.4487448411,493.049224854
35.7262251869,-83.4487435411,494.114196777
35.7261297879,-83.4487290411,493.052612305
35.7260467868,-83.4487054411,492.911224365
35.7259687858,-83.4486688411,493.234283447
35.7259121858,-83.4486269411,493.397857666
35.7258624868,-83.4485771411,493.959716797
35.7258146878,-83.448508441,493.876861572
35.7257793868,-83.448432641,492.844940186
35.7257555858,-83.448352341,491.547821045
35.7257413868,-83.448269841,490.782226562
35.7257352868,-83.4481863409,489.991333008
