lat,lng,ele
35.7277625862,-83.4477841409,482.200164795
35.7276981872,-83.4478083409,482.038421631
35.7276314882,-83.4478250409,481.992584229
35.7275632872,-83.4478333409,482.159210205
35.7274828882,-83.4478248409,482.280548096
35.7274053872,-83.4478007409,482.568023682
35.7273285861,-83.4477742409,482.851776123
35.7272493871,-83.4477573409,483.12210083
35.7271656871,-83.4477576409,483.287445068
35.7270826871,-83.4477688409,483.457946777
35.7270002881,-83.4477840409,483.73928833
35.7269173871,-83.4477966409,484.095947266
35.726833788,-83.4477999409,484.398254395
35.726749887,-83.4477835409,485.157592773
35.726668588,-83.4477563409,486.381744385
35.726585488,-83.4477356409,487.614776611
35.726501387,-83.4477455409,487.215454102
35.726430488,-83.4477955409,487.013458252
35.7263639879,-83.4478518409,487.097625732
35.7262958869,-83.4478967409,487.408477783
35.7262254869,-83.4479379409,487.14074707
35.7261535869,-83.4479764409,487.132995605
35.7260809869,-83.4480137409,487.01071167
35.7260083859,-83.4480510409,487.041900635
35.7259406868,-83.4480859409,488.046722412
35.7258725858,-83.4481201409,488.741363525
35.7258040878,-83.4481536409,489.347290039
35.7257352868,-83.4481863409,489.991333008
