lat,lng,ele
35.6941878734,-83.645976197,556.052185059
35.6941475734,-83.645897397,556.277160645
35.6940991724,-83.645844197,557.32421875
35.6940253724,-83.645799897,558.501525879
35.6939476723,-83.645761897,559.854736328
35.6938981723,-83.6457281969,561.19744873
35.6938500733,-83.6456923969,562.67364502
35.6937856723,-83.6456507969,563.742797852
35.6937227723,-83.6456068969,564.321472168
35.6936821723,-83.6455431969,565.082946777
35.6936791713,-83.6454824969,565.987976074
35.6936847723,-83.6454216968,566.83203125
35.6936907723,-83.6453604968,567.663757324
35.6937054723,-83.6453008968,568.317260742
35.6937337713,-83.6452546968,569.208496094
35.6937704733,-83.6452145968,569.984008789
35.6938137723,-83.6451794968,570.867248535
35.6938619713,-83.6451512968,571.630554199
35.6939331734,-83.6451268968,572.772216797
35.6940070714,-83.6451118968,574.020202637
35.6940731714,-83.6451015968,575.052185059
35.6941397724,-83.6450946968,576.283447266
35.6942059724,-83.6450853968,577.338500977
35.6942869714,-83.6450631968,578.01184082
35.6943690735,-83.6450465968,578.921142578
35.6944410715,-83.6450488968,580.303955078
35.6945048735,-83.6450178968,580.319458008
35.6945476735,-83.6449856968,579.959838867
35.6945786735,-83.6449429968,580.125061035
35.6945547735,-83.6448711967,580.484069824
35.6945094725,-83.6448080967,580.737670898
35.6944596725,-83.6447483967,580.999389648
35.6944038735,-83.6446940967,581.586120605
35.6943389725,-83.6446455967,581.90826416
35.6942799715,-83.6445905966,582.279968262
35.6942508715,-83.6445306966,583.559143066
35.6942328725,-83.6444664966,584.893493652
35.6942209725,-83.6444007966,585.944580078
35.6942155725,-83.6443289966,586.782043457
35.6942151725,-83.6442569965,587.407287598
35.6942197725,-83.6442071965,588.077026367
35.6942173725,-83.6441575965,588.019104004
35.6941734735,-83.6441008965,587.08404541
35.6940921724,-83.6441092965,588.029052734
35.6940275724,-83.6441257965,589.075317383
35.6939651714,-83.6441492965,589.808044434
35.6939166724,-83.6441790965,589.270874023
35.6938648724,-83.6442011965,589.113342285
35.6937959724,-83.6441654965,589.946838379
35.6937406724,-83.6441086965,590.299682617
35.6937023724,-83.6440483964,591.08215332
35.6936715724,-83.6439836964,592.670959473
35.6936274723,-83.6439281964,594.543579102
35.6935336733,-83.6439204964,596.332885742
35.6934383723,-83.6439219964,597.384216309
35.6933783733,-83.6438965964,598.297607422
35.6933224713,-83.6438628964,598.639831543
35.6932656723,-83.6438211963,599.223144531
35.6932163713,-83.6437709963,600.339233398
35.6931789713,-83.6437182963,601.440979004
35.6931557723,-83.6436584963,602.300720215
