lat,lng,ele
35.6360086632,-83.548529865,778.336853027
35.6359320642,-83.548479265,778.75378418
35.6358575642,-83.548425665,779.160095215
35.6357862632,-83.5483686649,780.038635254
35.6357157642,-83.5483107649,780.50213623
35.6356582642,-83.5482625649,780.906982422
35.6356004651,-83.5482147649,781.109436035
35.6355384651,-83.5481725649,781.265197754
35.6354508641,-83.5481322649,781.620361328
35.6353596641,-83.5481005648,782.063842773
35.6352662631,-83.5480729648,782.32019043
35.6351714641,-83.5480504648,782.527648926
35.635099864,-83.5480357648,782.54083252
35.635027863,-83.5480237648,782.034667969
35.634946965,-83.5480149648,782.745910645
35.634865964,-83.5480075648,782.676025391
35.634798264,-83.5480019648,783.256225586
35.634731064,-83.5479922648,783.412841797
35.634639764,-83.5479611648,783.299743652
35.6345522649,-83.5479203647,783.045166016
35.6344888639,-83.5478871647,783.033325195
35.6344270629,-83.5478511647,782.325622559
35.6343652639,-83.5478150647,782.365356445
35.6342923639,-83.5477769647,782.926208496
35.6342227649,-83.5477332647,782.745849609
35.6341535639,-83.5476622646,783.294677734
35.6340906639,-83.5475854646,783.766479492
35.6340370648,-83.5475237646,783.630737305
35.6339851638,-83.5474606646,784.004211426
35.6339304628,-83.5473887645,784.62097168
35.6338800638,-83.5473138645,785.036743164
35.6338358628,-83.5472386645,785.435241699
35.6337966638,-83.5471607645,785.598388672
35.6337678638,-83.5470784644,786.322509766
35.6337566638,-83.5470087644,786.452575684
35.6337518638,-83.5469382644,786.339782715
35.6337453628,-83.5468679644,786.464172363
35.6337295638,-83.5467826644,786.795898438
35.6337111628,-83.5466979643,787.727172852
35.6336966638,-83.5466124643,788.14630127
35.6336907628,-83.5465424643,788.43762207
35.6336874648,-83.5464723643,788.679199219
35.6336830628,-83.5464022642,788.927429199
35.6336733638,-83.5463171642,789.316345215
35.6336618638,-83.5462323642,789.659484863
35.6336523628,-83.5461472642,790.157470703
35.6336477638,-83.5460624641,790.533447266
35.6336451638,-83.5459776641,790.825683594
35.6336397638,-83.5458929641,791.298583984
35.6336294638,-83.5458177641,791.676574707
35.6336158648,-83.545743164,791.909240723
35.6336022638,-83.545668564,792.218933105
35.6335919628,-83.545593364,792.46887207
35.6335868628,-83.545513364,792.604614258
35.6335851638,-83.545433164,792.672729492
35.6335841638,-83.5453528639,792.819580078
35.6335807648,-83.5452727639,792.993286133
35.6335752648,-83.5451978639,793.13494873
35.6335686628,-83.5451229639,793.358215332
35.6335607638,-83.5450482638,793.593566895
35.6335510628,-83.5449737638,793.620178223
35.6335383638,-83.5448897638,793.686462402
35.6335239638,-83.5448060638,793.651000977
35.6335067638,-83.5447228637,793.548706055
35.6334859638,-83.5446404637,793.535705566
35.6334570648,-83.5445509637,791.446105957
35.6334266648,-83.5444618637,790.537902832
35.6334019638,-83.5443762636,790.676208496
35.6333783638,-83.5442903636,790.958068848
35.6333509648,-83.5442055636,791.741577148
35.6333175638,-83.5441216636,793.100585938
35.6332803628,-83.5440394635,794.039794922
35.6332389638,-83.5439591635,794.121459961
35.6331935638,-83.5438813635,794.291137695
35.6331440638,-83.5438060634,795.070556641
35.6330904648,-83.5437335634,795.504333496
