lat,lng,ele
35.6715551886,-83.0944678338,935.640869141
35.6715709896,-83.0945471338,936.749450684
35.6715974896,-83.0946235339,937.130187988
35.6716402896,-83.0947002339,938.055969238
35.6716941886,-83.0947697339,939.280761719
35.6717475896,-83.0948259339,940.492431641
35.6718095896,-83.0948721339,941.816467285
35.6718753886,-83.094895534,943.358764648
35.6719440886,-83.094908834,943.906433105
35.6720334906,-83.094922734,944.96887207
35.6721237897,-83.094928734,945.989318848
35.6722142897,-83.094926934,947.599365234
35.6722977907,-83.094913734,948.676940918
35.6723790897,-83.094889834,950.275817871
35.6724589897,-83.094861834,951.561340332
35.6725393907,-83.094835234,953.215026855
35.6726217898,-83.094816034,954.600402832
35.6726988908,-83.094809034,955.38079834
35.6727753898,-83.094797934,956.562194824
35.6728390898,-83.094772234,957.565124512
35.6729025898,-83.094746034,958.668334961
35.6729516908,-83.094732334,959.690246582
35.6730020898,-83.094726534,960.625244141
35.6730917899,-83.094751034,961.506164551
35.6731448899,-83.094807634,961.613464355
35.6731715889,-83.094890734,961.941833496
35.6731960899,-83.0949747341,962.299255371
35.6732302899,-83.0950250341,962.88873291
35.6732756909,-83.0950651341,963.618103027
35.6733655889,-83.0950785341,965.352294922
35.6734350899,-83.0950638341,966.387939453
35.6735014899,-83.0950379341,967.661254883
35.67356999,-83.0950064341,968.712402344
35.673635891,-83.0949697341,969.851623535
35.67370159,-83.0949326341,970.864746094
35.67377899,-83.0948904341,972.034912109
35.673856391,-83.0948483341,973.804504395
35.67393589,-83.0948200341,975.359375
35.6740030911,-83.094772334,977.246459961
35.6740123891,-83.094715334,977.998474121
35.6740232891,-83.094660234,978.413146973
35.6740769891,-83.094721634,978.645446777
35.6740978901,-83.094745434,978.761291504
