lat,lng,ele
35.4848599214,-83.8370292404,720.506835938
35.4849288204,-83.8369893404,720.8203125
35.4849988204,-83.8369513404,720.557739258
35.4850699215,-83.8369153404,719.892578125
35.4851378205,-83.8368801404,719.09362793
35.4852066215,-83.8368467404,719.097717285
35.4852793225,-83.8368235404,719.329467773
35.4853516205,-83.8368240404,718.952148438
35.4854235205,-83.8368348404,718.012207031
35.4854955215,-83.8368310404,717.348144531
35.4855729216,-83.8367891404,718.116699219
35.4856401226,-83.8367315404,717.712219238
35.4857066226,-83.8366732404,717.436340332
35.4857777216,-83.8366119404,716.87121582
35.4858463206,-83.8365479403,716.577148438
35.4859163206,-83.8364855403,716.223205566
35.4859917207,-83.8364297403,715.411010742
35.4860433217,-83.8363922403,714.961547852
35.4861013227,-83.8363675403,714.600036621
35.4861819207,-83.8363923403,712.782226562
35.4862406227,-83.8363695403,711.819335938
35.4863000217,-83.8363524403,710.752502441
35.4863408217,-83.8363868403,709.695800781
35.4863702217,-83.8364320403,711.094604492
35.4863824217,-83.8365059404,712.737792969
35.4863692217,-83.8365805404,713.03326416
35.4863500207,-83.8366539404,713.151489258
35.4863362227,-83.8367284404,713.809020996
35.4863291227,-83.8368052405,714.375610352
35.4863232217,-83.8368822405,714.417785645
35.4863217217,-83.8369593405,714.223510742
35.4863284217,-83.8370422405,714.365600586
35.4863359207,-83.8371251405,715.313598633
35.4863315217,-83.8372137406,715.118469238
35.4863173227,-83.8373014406,715.146728516
35.4863021217,-83.8373889406,715.400817871
35.4862946227,-83.8374774406,715.725097656
35.4863074227,-83.8375649407,716.291259766
35.4863506207,-83.8376384407,716.500793457
35.4864053207,-83.8377045407,717.294250488
35.4864466217,-83.8377791407,715.957641602
35.4864620217,-83.8378617408,713.643798828
35.4864697217,-83.8379454408,715.590087891
35.4864753217,-83.8380373408,716.445617676
35.4864773217,-83.8381293408,716.960144043
35.4864812217,-83.8382213409,716.605224609
35.4864870227,-83.8383047409,715.82623291
35.4864935207,-83.8383880409,714.857666016
35.4865032217,-83.8384710409,714.236206055
35.4865185217,-83.838553241,714.52142334
35.4865395207,-83.838638041,714.754882812
35.4865686207,-83.838720241,715.190856934
35.4866105217,-83.838788841,715.168640137
35.4866556217,-83.8388555411,715.356933594
35.4866855227,-83.8389201411,715.536132812
35.4867127207,-83.8389860411,716.159423828
35.4867502217,-83.8390462411,717.374633789
35.4868029217,-83.8390940411,717.934326172
35.4868655207,-83.8391274412,717.884399414
35.4869380208,-83.8391351412,718.025512695
35.4870098218,-83.8391215412,719.107910156
35.4870739218,-83.8390843412,719.971984863
35.4871287228,-83.8390339412,719.401916504
35.4871843228,-83.8389843411,719.131408691
35.4872611208,-83.8389248411,718.846923828
35.4873403228,-83.8388686411,718.33807373
35.4874266229,-83.8388212411,718.036010742
35.4875137219,-83.8387754411,717.84576416
35.4875790229,-83.8387355411,717.405395508
35.4876431219,-83.8386936411,717.337402344
35.4877060209,-83.8386499411,718.080810547
35.4877749229,-83.8385973411,717.72845459
35.487843721,-83.8385446411,716.780090332
35.487906923,-83.838501441,717.003417969
35.487971322,-83.838460141,715.688598633
35.488035922,-83.838419141,715.994628906
35.488097222,-83.838381341,716.110778809
35.488158722,-83.838343841,716.290466309
35.4882189211,-83.838304341,715.744384766
35.4882898231,-83.838256041,715.646850586
35.4883588231,-83.838205141,715.385314941
35.4884209211,-83.838146141,715.753967285
35.4884655221,-83.838087941,715.915405273
35.4885047221,-83.8380260409,715.200012207
35.4885424221,-83.8379631409,715.454406738
35.4885804221,-83.8378948409,715.595092773
35.4886166222,-83.8378255409,715.609985352
35.4886554232,-83.8377577409,715.97064209
35.4886976212,-83.8376959409,716.614318848
35.4887423232,-83.8376358408,715.847473145
35.4887859222,-83.8375749408,714.429016113
35.4888284222,-83.8375105408,713.463256836
35.4888700222,-83.8374456408,713.114807129
35.4889155232,-83.8373692408,714.079467773
35.4889637222,-83.8372946408,714.090332031
35.4890230213,-83.8372256407,713.297668457
35.4890889223,-83.8371629407,712.717041016
35.4891575213,-83.8371031407,712.352111816
35.4892188233,-83.8370501407,712.62902832
35.4892822223,-83.8369996407,712.84765625
35.4893502213,-83.8369556407,712.692626953
35.4894399224,-83.8369170407,712.630249023
35.4895322224,-83.8368848407,712.962524414
35.4896133224,-83.8368525407,713.483093262
35.4896959234,-83.8368245407,713.84954834
35.4897822234,-83.8368129407,713.976623535
35.4898678225,-83.8367975407,714.370056152
35.4899426225,-83.8367591407,714.715393066
35.4900139235,-83.8367144406,715.120849609
35.4900726225,-83.8366810406,715.466125488
35.4901310225,-83.8366471406,715.83972168
35.4901876225,-83.8366104406,716.07623291
35.4902433225,-83.8365725406,716.497375488
35.4902972226,-83.8365320406,716.794799805
35.4903439226,-83.8364836406,717.110107422
35.4903926236,-83.8364000406,717.598388672
35.4904290226,-83.8363103406,717.169677734
35.4904493226,-83.8362457405,717.888122559
35.4904652236,-83.8361799405,718.32043457
35.4904787226,-83.8361136405,718.791931152
35.4904893226,-83.8360257405,719.472473145
35.4904958226,-83.8359373404,720.138000488
35.4905120226,-83.8358503404,720.515625
35.4905423226,-83.8357737404,721.00970459
35.4905823226,-83.8357017404,720.608276367
35.4906292217,-83.8356339404,721.341308594
35.4906808227,-83.8355697403,721.90423584
35.4907426217,-83.8355103403,722.229064941
35.4908101217,-83.8354572403,722.173828125
35.4908741227,-83.8354002403,722.743041992
35.4909258227,-83.8353331403,723.277832031
35.4909707227,-83.8352611403,723.75567627
35.4910181218,-83.8351908403,724.298706055
35.4910787228,-83.8351319402,724.992248535
35.4911452238,-83.8351006402,725.369262695
35.4912164228,-83.8350812402,726.200317383
35.4912876228,-83.8350621402,726.438110352
35.4913643228,-83.8350356402,727.122558594
35.4914420229,-83.8350124402,728.065307617
35.4915195239,-83.8349923402,728.074279785
35.4915982229,-83.8349779402,729.587097168
35.4916770239,-83.8349876402,730.109008789
35.4917384239,-83.8350228403,729.588439941
35.4917923229,-83.8350688403,729.520751953
35.4918418229,-83.8351300403,729.428466797
35.4918885229,-83.8351934403,729.748413086
35.4919497219,-83.8352667403,730.358703613
35.492020523,-83.8353303404,730.550354004
35.492094822,-83.8353596404,731.24597168
35.492172523,-83.8353797404,732.240783691
35.492237423,-83.8354030404,732.980102539
35.492302323,-83.8354261404,733.860412598
35.492369423,-83.8354416404,733.98260498
35.492459724,-83.8354457404,734.395507812
35.4925497231,-83.8354370404,734.970031738
35.4926380241,-83.8354196404,735.584533691
35.4927221221,-83.8353879404,736.04107666
35.4927971231,-83.8353286404,736.41204834
35.4928605221,-83.8352565404,737.081176758
35.4929252232,-83.8351857404,737.557861328
35.4929937242,-83.8351214404,737.96484375
35.4930634242,-83.8350583403,738.648376465
35.4931183242,-83.8350102403,739.314697266
35.4931738232,-83.8349630403,739.705505371
35.4932348232,-83.8349134403,740.229187012
35.4932966232,-83.8348648403,740.439819336
35.4933575233,-83.8348151403,740.758300781
35.4934103233,-83.8347699403,740.991638184
35.4934625243,-83.8347240403,741.122802734
35.4935140243,-83.8346774403,741.389221191
35.4935691233,-83.8346240402,741.597839355
35.4936235233,-83.8345698402,742.03729248
35.4936799223,-83.8345179402,742.406616211
35.4937393244,-83.8344699402,742.948974609
35.4938006234,-83.8344245402,743.533874512
35.4938634234,-83.8343811402,743.839233398
35.4939389234,-83.8343349402,743.876831055
35.4940162234,-83.8342917402,744.267272949
35.4940919234,-83.8342458402,744.458190918
35.4941656244,-83.8341937402,745.452270508
35.4942386235,-83.8341408401,745.776123047
35.4943043245,-83.8340932401,746.274108887
35.4943705225,-83.8340462401,746.671630859
35.4944402225,-83.8340046401,747.153869629
35.4945313225,-83.8339637401,747.584411621
35.4946038226,-83.8339442401,747.98614502
35.4946850226,-83.8339421401,748.526123047
35.4947662226,-83.8339389401,748.709838867
35.4948398236,-83.8339105401,748.950683594
35.4949118246,-83.8338779401,749.386657715
35.4949984246,-83.8338546401,749.730834961
35.4950842237,-83.8338288401,749.800170898
35.4951689237,-83.8337864401,750.31640625
35.4952487247,-83.8337354401,751.037353516
35.4953135237,-83.8336865401,751.558959961
35.4953746247,-83.8336332401,752.097595215
35.4954327237,-83.83357664,752.398925781
35.4954943238,-83.83350834,753.234375
35.4955531238,-83.83343754,754.262268066
35.4956062238,-83.83336994,754.991210938
35.4956579238,-83.83330134,755.127685547
35.4957111248,-83.83323374,755.273132324
35.4957640238,-83.8331671399,755.796508789
35.4958223248,-83.8331053399,756.697143555
35.4958913239,-83.8330636399,756.831237793
35.4959668249,-83.8330346399,757.087646484
35.4960410229,-83.8330028399,757.374023438
35.4961156239,-83.8329600399,757.95526123
35.4961885239,-83.8329143399,758.450195312
35.4962605249,-83.8328672399,759.367736816
35.496340624,-83.8328122399,759.897338867
35.496419625,-83.8327556399,760.194213867
35.496498824,-83.8326993399,759.783691406
35.496555823,-83.8326494398,760.614929199
35.496612224,-83.8325987398,761.728820801
35.496682025,-83.8325735398,762.815856934
35.496753625,-83.8325980398,763.268066406
35.4968105251,-83.8326394399,763.566894531
35.4968596241,-83.8326899399,763.789306641
35.4969063241,-83.8327531399,764.076904297
35.4969375241,-83.8328249399,764.005859375
35.4969358231,-83.8329075399,762.88458252
35.4969246231,-83.83298984,761.449035645
35.4969218241,-83.83305034,761.243835449
35.4969218241,-83.83311094,762.005065918
35.4969326231,-83.83320484,762.932434082
35.4969531231,-83.8332972401,764.100585938
35.4969783231,-83.8333884401,764.928588867
35.4969994231,-83.8334636401,765.393554688
35.4970223241,-83.8335382401,765.700744629
35.4970506241,-83.8336109402,766.267089844
35.4970887241,-83.8336789402,766.701293945
35.4971338241,-83.8337366402,767.655334473
35.4971860251,-83.8337881402,768.418701172
35.4972474231,-83.8338277402,769.36505127
35.4973364241,-83.8338430402,770.484008789
35.4974273231,-83.8338451402,772.156494141
35.4975023242,-83.8338542403,773.407592773
35.4975771242,-83.8338644403,774.431945801
35.4976519252,-83.8338750403,775.118774414
35.4977446252,-83.8338901403,776.141357422
35.4978372242,-83.8339059403,777.529296875
35.4979303252,-83.8339178403,779.123413086
35.4980143253,-83.8339220403,780.476501465
35.4980985243,-83.8339230403,781.934814453
35.4981825233,-83.8339267403,783.274230957
35.4982605233,-83.8339357403,784.146362305
35.4983383243,-83.8339470403,785.426757812
35.4984162243,-83.8339570403,786.71673584
35.4985092244,-83.8339638403,788.000854492
35.4986023244,-83.8339687404,789.53137207
35.4986951234,-83.8339778404,791.038391113
35.4987714254,-83.8339915404,792.296691895
35.4988477244,-83.8340052404,793.922546387
35.4989373254,-83.8340168404,795.089904785
35.4990275235,-83.8340225404,795.921691895
35.4990907255,-83.8340186404,796.03704834
35.4991539245,-83.8340160404,796.618103027
35.4992080255,-83.8340217404,797.383361816
35.4992617235,-83.8340308404,798.122802734
35.4993434245,-83.8340396404,798.651977539
35.4994244235,-83.8340528404,798.222167969
35.4994945246,-83.8340940404,796.574768066
35.4995295256,-83.8341393405,797.356750488
35.4995735246,-83.8341849405,798.902038574
35.4996305236,-83.8341542405,799.908447266
35.4996834246,-83.8341116405,800.152038574
35.4997605256,-83.8341256405,802.134033203
35.4998306236,-83.8341649405,803.846679688
35.4999070236,-83.8341856405,805.317626953
35.4999563247,-83.8341673405,805.979675293
35.5000068247,-83.8341561405,807.164672852
35.5000525247,-83.8341895405,808.405517578
35.5000860247,-83.8342360405,809.605285645
35.5001072247,-83.8343192405,810.984863281
35.5001272247,-83.8344028406,812.258483887
35.5001885237,-83.8344654406,813.845092773
35.5002597257,-83.8345176406,815.133117676
35.5003115257,-83.8345616406,816.220031738
35.5003629247,-83.8346061406,817.358215332
35.5004097237,-83.8346552407,818.585327148
35.5004531237,-83.8347210407,820.113220215
35.5004903247,-83.8347906407,821.479431152
35.5005311237,-83.8348580407,823.06060791
35.5005827248,-83.8349196407,824.384338379
35.5006380248,-83.8349779408,825.41796875
35.5006890238,-83.8350399408,826.416870117
35.5007336248,-83.8351087408,827.320678711
35.5007737238,-83.8351801408,828.231689453
35.5008102248,-83.8352535409,829.262268066
35.5008433258,-83.8353359409,830.08795166
35.5008706248,-83.8354204409,831.250671387
35.5008972248,-83.8355052409,832.408569336
35.5009285248,-83.835588341,832.542724609
35.5009715238,-83.835670041,832.223937988
35.5010207238,-83.835748341,833.135070801
35.5010671248,-83.835828341,834.308776855
35.5011011248,-83.8359141411,834.060852051
35.5011168258,-83.8360083411,835.738708496
35.5011327248,-83.8361025411,837.645996094
35.5011595248,-83.8361753411,838.40234375
35.5011932258,-83.8362453412,839.648620605
35.5012269248,-83.8363153412,840.763244629
35.5012682248,-83.8364043412,841.449401855
35.5013096238,-83.8364932413,844.036376953
35.5013467238,-83.8365840413,846.8046875
35.5013761238,-83.8366681413,847.824462891
35.5014020238,-83.8367534413,849.803833008
35.5014218238,-83.8368402414,850.862304688
35.5014294258,-83.8369360414,852.327941895
35.5014301238,-83.8370322414,853.189941406
35.5014421248,-83.8371274414,854.412109375
35.5014742238,-83.8372081415,855.427978516
35.5015161249,-83.8372844415,856.336914062
35.5015537259,-83.8373628415,857.405029297
35.5015825239,-83.8374471415,858.881530762
35.5016068239,-83.8375327416,860.144287109
35.5016287249,-83.8376190416,861.384765625
35.5016451259,-83.8377158416,863.126098633
35.5016584249,-83.8378132417,864.530578613
35.5016850249,-83.8379075417,865.585876465
35.5017278249,-83.8379742417,866.884521484
35.5017795249,-83.8380346417,868.283081055
35.5018247259,-83.8380998418,869.399169922
35.5018601249,-83.8381827418,870.740112305
35.5018868239,-83.8382688418,872.432189941
35.5019088239,-83.8383563418,873.605712891
35.5019230249,-83.8384411419,874.981628418
35.5019328239,-83.8385266419,876.452636719
35.5019479249,-83.8386112419,878.022338867
35.5019781259,-83.8387003419,879.001403809
35.5020173249,-83.838785842,881.030456543
35.5020580259,-83.838870642,882.370117188
35.5020929239,-83.838958042,883.804199219
35.5021208249,-83.839049942,885.135437012
35.5021453239,-83.8391427421,886.357727051
35.5021675249,-83.8392361421,887.84576416
35.5021837239,-83.8393175421,889.301208496
35.5021982249,-83.8393992422,890.681152344
35.5022158249,-83.8394803422,891.99230957
35.5022392259,-83.8395507422,893.151000977
35.5022650249,-83.8396202422,894.198242188
35.5022829249,-83.8396921422,894.693603516
35.5022851249,-83.8397474423,895.494995117
35.5022893249,-83.8398026423,895.493041992
35.5023140259,-83.8398644423,896.477111816
35.5023516249,-83.8399196423,897.917663574
35.5023935249,-83.8399716423,898.208435059
35.5024550239,-83.8400399424,898.297180176
35.502518826,-83.8400090424,898.66998291
35.502545726,-83.8399402423,899.820861816
35.502549425,-83.8398647423,900.167785645
35.502560025,-83.8397901423,900.986999512
35.502602324,-83.8397047423,902.15423584
35.502655424,-83.8396252422,903.842163086
35.502701124,-83.8395415422,905.48236084
35.502725425,-83.8394578422,906.719360352
35.502740525,-83.8393719422,907.74810791
35.502755925,-83.8392860422,908.60559082
35.502781226,-83.8392026421,909.83001709
35.502800925,-83.8391518421,910.607727051
35.5028285261,-83.8391051421,911.581481934
35.5028895251,-83.8390828421,912.775878906
35.5029554261,-83.8390765421,913.964599609
35.5030447251,-83.8390682421,916.159973145
35.5031275251,-83.8390385421,917.69317627
35.5031616241,-83.8389686421,918.319946289
35.5031939241,-83.8388975421,919.435424805
35.5032397251,-83.8388541421,921.007080078
35.5032949252,-83.838823942,921.603942871
35.5033814262,-83.8388270421,922.98059082
35.5034655242,-83.8388520421,925.119018555
35.5035595242,-83.8388825421,926.846130371
35.5036533252,-83.8389137421,928.491271973
35.5037153252,-83.8389314421,929.340759277
35.5037789253,-83.8389402421,929.768554688
35.5038470263,-83.8389202421,930.837585449
35.5039086253,-83.8388839421,931.501708984
35.5039703253,-83.8388477421,932.285522461
35.5040418253,-83.8388087421,933.316955566
35.5041162243,-83.8387757421,934.464172363
35.5041937253,-83.8387785421,936.930114746
35.5042703254,-83.8387946421,939.548400879
35.5043416254,-83.8387726421,939.449890137
35.5043795244,-83.8386968421,938.993164062
35.5043532254,-83.8386312421,941.33605957
35.5043103254,-83.838573142,941.731811523
35.5042548264,-83.838490542,942.667724609
35.5042061254,-83.838404142,943.653991699
35.5041783254,-83.838316942,945.007019043
35.5041652254,-83.8382263419,946.094604492
35.5041709254,-83.8381314419,946.659240723
35.5041966254,-83.8380400419,947.404907227
35.5042536244,-83.8379768419,950.129577637
35.5043078254,-83.8379117418,951.506347656
35.5043145254,-83.8378403418,952.315002441
35.5043202254,-83.8377688418,953.12512207
35.5043667244,-83.8376870418,955.325866699
35.5044319244,-83.8376185418,955.976074219
35.5045034255,-83.8375809418,957.122741699
35.5045830265,-83.8375637418,959.406921387
35.5046616265,-83.8375429418,961.679199219
35.5047144265,-83.8374851417,958.191223145
35.5047129255,-83.8374134417,962.30267334
35.5047088255,-83.8373416417,962.731262207
35.5047238255,-83.8372639417,963.573120117
35.5047484255,-83.8371887417,964.331420898
35.5047865255,-83.8371019416,966.717041016
35.5047777245,-83.8370133416,968.941223145
35.5047420255,-83.8369304416,968.914794922
35.5047115265,-83.8368457416,969.301208496
35.5046983255,-83.8367686415,971.331481934
35.5046888265,-83.8366910415,973.420959473
35.5046809245,-83.8366132415,974.870239258
35.5046686255,-83.8365250415,976.253540039
35.5046670255,-83.8364363414,977.388671875
35.5046868255,-83.8363599414,977.825439453
35.5047610266,-83.8363326414,977.803955078
35.5048404256,-83.8363692414,979.20123291
35.5049149256,-83.8364154414,981.460998535
35.5049910256,-83.8364587415,983.616455078
35.5050574256,-83.8364920415,985.043762207
35.5051221256,-83.8365284415,986.598937988
35.5051868246,-83.8365648415,987.43963623
35.5052630257,-83.8366051415,988.471069336
35.5053381257,-83.8366473415,990.081298828
35.5053928257,-83.8366887416,991.564758301
35.5054459267,-83.8367323416,992.663391113
35.5055066267,-83.8367635416,993.505126953
35.5056018257,-83.8367543416,994.492980957
35.5056965247,-83.8367371416,996.3046875
35.5057870258,-83.8367530416,998.343322754
35.5058759258,-83.8367765416,1000.28430176
35.5059333248,-83.8367944416,1000.96643066
35.5059924268,-83.8368026416,1001.8057251
35.5060558258,-83.8367541416,1003.6595459
