lat,lng,ele
35.6307589475,-83.9412166796,749.297973633
35.6307210474,-83.9412925796,749.579406738
35.6306855474,-83.9412691796,748.309387207
35.6307046474,-83.9412256796,749.650146484
35.6306885464,-83.9411478796,749.39074707
35.6306763484,-83.9410922795,749.524902344
35.6306641474,-83.9410365795,749.909667969
35.6306618474,-83.9409481795,750.526123047
35.6306594485,-83.9408597795,750.876953125
35.6306698475,-83.9408049795,751.057922363
35.6306801475,-83.9407501794,751.184204102
35.6307088475,-83.9406849794,751.475097656
35.6307374465,-83.9406197794,751.733825684
35.6308141465,-83.9405618794,751.966796875
35.6308908465,-83.9405038794,751.854736328
35.6309675465,-83.9404459794,752.259887695
35.6310442466,-83.9403880794,752.854492188
35.6310900476,-83.9403565794,753.224609375
35.6311358476,-83.9403251794,753.684020996
35.6311582486,-83.9403043793,753.982116699
35.6312161486,-83.9402539793,754.375061035
35.6312747476,-83.9402042793,754.768920898
35.6313330476,-83.9401543793,755.037963867
35.6313899486,-83.9401027793,755.275939941
35.6314429476,-83.9400500793,755.668457031
35.6314957487,-83.9399971793,756.12878418
35.6315471477,-83.9399428793,756.450622559
35.6315916487,-83.9398876793,756.635131836
35.6316398477,-83.9398358792,756.923522949
35.6316857477,-83.9398044792,757.358093262
35.6317423477,-83.9398371792,757.642700195
35.6317727477,-83.9399001793,756.601257324
35.6317974487,-83.9399656793,756.247192383
35.6318243467,-83.9400303793,756.927062988
35.6318535477,-83.9400849793,758.112731934
35.6318756477,-83.9401425793,759.220581055
35.6318830477,-83.9402091794,759.818603516
35.6318547467,-83.9402632794,760.33770752
35.6318080467,-83.9403277794,762.085449219
35.6317501487,-83.9403828794,763.282775879
35.6316883477,-83.9404337794,763.967590332
35.6316347487,-83.9404786794,764.293762207
35.6315868487,-83.9405294794,764.498718262
35.6315584466,-83.9405760795,764.768920898
35.6315394476,-83.9406270795,765.085571289
35.6315372476,-83.9407152795,765.966491699
35.6315498466,-83.9407722795,766.708557129
35.6315705486,-83.9408269795,767.447753906
35.6316067466,-83.9408995795,768.452087402
35.6316573477,-83.9409625796,769.752624512
35.6317106477,-83.9409976796,770.969238281
35.6317646477,-83.9409996796,771.927001953
35.6318451467,-83.9410246796,773.341064453
35.6319384467,-83.9410527796,774.928222656
35.6320331477,-83.9410756796,776.551391602
35.6321004487,-83.9410844796,777.815063477
35.6321679468,-83.9410916796,778.838195801
35.6322667478,-83.9411063796,779.891296387
35.6323480478,-83.9410908796,779.557312012
35.6324296468,-83.9410791797,780.272583008
35.6324824478,-83.9411019797,781.482788086
35.6325368478,-83.9411162797,782.745666504
35.6325760468,-83.9410642797,783.677490234
35.6326116478,-83.9410085796,784.761779785
35.6326937479,-83.9409674796,786.553527832
35.6327428469,-83.9409339796,787.365234375
35.6327943479,-83.9409048796,788.28918457
35.6328528479,-83.9408985796,789.501831055
35.6329118489,-83.9408981796,790.753173828
35.6329751469,-83.9408894796,791.946105957
35.6329859489,-83.9408404796,791.824829102
35.6329955489,-83.9407908796,791.757019043
35.633077147,-83.9407717796,793.325012207
35.633149448,-83.9407633796,794.694458008
35.633196647,-83.9407223796,795.213195801
35.633241649,-83.9406784796,795.49432373
35.633323449,-83.9406482796,796.455932617
35.633404748,-83.9406321796,797.479980469
35.633485847,-83.9406432796,798.912231445
35.6335565481,-83.9407009796,800.698608398
35.6335636481,-83.9407785796,801.880493164
35.633535548,-83.9408403796,802.222290039
35.633497649,-83.9408975797,802.288757324
35.633467848,-83.9409678797,802.678955078
35.633440147,-83.9410389797,803.339111328
35.633406249,-83.9411142797,803.816772461
35.633371948,-83.9411894797,803.958862305
35.633344448,-83.9412672798,804.279418945
35.633327548,-83.9413547798,804.985229492
35.633312947,-83.9414427798,805.552001953
35.633292847,-83.9415303798,805.971374512
35.633291547,-83.9415965799,806.387023926
35.633289549,-83.9416627799,806.738708496
35.633266048,-83.9417409799,806.804138184
35.6332317489,-83.9418151799,806.97076416
35.6331939479,-83.9418779799,807.045166016
35.6331506469,-83.9419371799,807.029052734
35.6331101479,-83.94199838,807.008422852
35.6330729469,-83.94207468,807.056396484
35.6330343479,-83.94215018,806.854003906
35.6329781479,-83.94221438,806.452880859
35.6329152479,-83.94227238,806.128662109
35.6328674468,-83.94234278,805.881896973
35.6328493478,-83.9424132801,806.009338379
35.6328368478,-83.9424851801,806.267578125
35.6328222478,-83.9425771801,806.749023438
35.6328087478,-83.9426692801,806.71472168
35.6327851478,-83.9427592802,805.014343262
35.6327455478,-83.9428454802,804.707946777
35.6326942468,-83.9429252802,806.193054199
35.6326323478,-83.9429970802,805.44708252
35.6325614478,-83.9430601802,804.549926758
