lat,lng,ele
35.4775433363,-83.4223275186,729.151733398
35.4776158353,-83.4223077186,728.136779785
35.4776636363,-83.4222852186,726.909484863
35.4777070363,-83.4222553186,725.651855469
35.4777533363,-83.4221904186,725.112487793
35.4777998373,-83.4221258186,724.710021973
35.4778648364,-83.4220955186,723.7890625
35.4779363374,-83.4220856186,722.522033691
35.4780081364,-83.4220770186,720.972412109
35.4780858364,-83.4220600186,719.869689941
35.4781639354,-83.4220451186,718.869567871
35.4782432364,-83.4220400186,717.444946289
35.4783098365,-83.4220487186,715.576293945
35.4783752365,-83.4220643186,714.073242188
35.4784408365,-83.4220790186,712.873718262
35.4785298355,-83.4221020186,711.49798584
35.4786205375,-83.4221064186,709.634887695
35.4786793375,-83.4220691186,709.369262695
35.4787276355,-83.4220182186,708.554138184
35.4787765356,-83.4219678186,707.60333252
35.4788453366,-83.4219056186,706.363098145
35.4789144366,-83.4218438186,706.181518555
35.4789875366,-83.4217868186,704.908752441
35.4790703366,-83.4217376186,703.003051758
35.4791568356,-83.4216950185,701.086303711
35.4792426367,-83.4216512185,699.624084473
35.4793155367,-83.4216093185,698.527404785
35.4793885357,-83.4215674185,697.155090332
35.4794653367,-83.4215244185,695.724609375
35.4795434367,-83.4214839185,694.098754883
35.4796114367,-83.4214523185,693.126831055
35.4796807368,-83.4214237185,693.075744629
35.4797524368,-83.4214020185,693.354431152
35.4798300368,-83.4213887185,693.028808594
35.4799085358,-83.4213838185,691.496704102
35.4799871358,-83.4213870185,689.844299316
35.4800791378,-83.4213970185,688.447143555
35.4801666369,-83.4214255185,686.550231934
35.4802161369,-83.4214645185,685.092468262
35.4802641379,-83.4215055186,684.092773438
35.4803487369,-83.4215470186,683.023864746
35.4804337369,-83.4215878186,681.172912598
35.4804949359,-83.4216385186,679.922729492
35.4805511379,-83.4216949186,678.706481934
35.4806108369,-83.4217474186,677.055236816
35.480688437,-83.4217908187,675.804016113
35.480762237,-83.4218401187,674.561035156
35.480803938,-83.4219012187,672.754882812
35.480836337,-83.4219680187,671.026855469
35.480875637,-83.4220308187,670.096313477
35.480930737,-83.4220848188,670.522155762
35.480990737,-83.4221335188,670.415527344
35.481050736,-83.4221790188,669.223266602
35.481112938,-83.4222214188,667.012084961
35.481177437,-83.4222603188,666.046020508
35.4812569371,-83.4222979188,666.181335449
35.4813388371,-83.4223300189,664.635620117
35.4814187371,-83.4223667189,661.957763672
35.4814896371,-83.4224136189,659.947753906
35.4815581381,-83.4224641189,659.098632812
35.4816322371,-83.4225054189,658.674804688
35.4817073371,-83.4225289189,658.348327637
35.4817848372,-83.4225430189,656.695983887
35.4818842372,-83.422547819,655.399475098
35.4819832362,-83.422537919,654.220275879
35.4820675382,-83.422521019,653.337036133
35.4821465362,-83.422487719,652.116088867
35.4822041372,-83.4224208189,651.238220215
35.4822662373,-83.4223591189,648.570007324
35.4823475383,-83.4223505189,647.735046387
35.4824262373,-83.4223969189,645.649291992
35.4824987363,-83.422454219,643.467651367
35.4825593373,-83.422483819,643.061889648
35.4826239383,-83.422502119,642.51953125
35.4826837383,-83.422499319,641.391723633
35.4827415384,-83.422483619,639.618591309
35.4828109364,-83.422441019,638.312561035
35.4828696374,-83.422384019,637.459228516
35.4829250364,-83.422323819,636.374755859
35.4829755364,-83.4222699189,635.381469727
35.4830231364,-83.4222133189,633.992553711
35.4830636374,-83.4221516189,632.274108887
35.4830882374,-83.4220780189,632.12701416
35.4831051375,-83.4220020189,631.852172852
35.4831401365,-83.4219335188,627.389892578
35.4832041375,-83.4218913188,630.015319824
35.4832600375,-83.4218937188,627.064819336
35.4833117365,-83.4219166189,624.726745605
35.4833722375,-83.4219836189,626.913818359
35.4834170375,-83.4220630189,624.786621094
35.4834569375,-83.4221518189,621.749328613
35.4834945365,-83.422241719,619.262634277
35.4835279375,-83.422309919,618.350219727
35.4835628385,-83.422377419,617.738891602
35.4836026375,-83.422442019,617.823547363
35.4836516375,-83.422499919,617.959899902
35.4837320366,-83.4225585191,616.780517578
35.4838207386,-83.4226041191,615.116394043
35.4838998376,-83.4226379191,614.521057129
35.4839818386,-83.4226641191,613.95526123
35.4840603376,-83.4226693191,613.293884277
35.4841345376,-83.4226907191,611.047424316
35.4841784366,-83.4227472191,609.012084961
35.4842022376,-83.4228286192,607.012145996
35.4842112376,-83.4229135192,605.193969727
35.4842182376,-83.4230129192,603.141601562
35.4842487366,-83.4231045193,600.451049805
35.4843054377,-83.4231829193,600.357116699
35.4843749387,-83.4232505193,599.896606445
35.4844473377,-83.4233151193,599.493591309
35.4845153377,-83.4233843194,599.72869873
35.4845697377,-83.4234643194,597.938903809
35.4846037387,-83.4235427194,596.61505127
35.4846386367,-83.4236207194,595.817687988
35.4846796377,-83.4236863195,595.491394043
35.4847254377,-83.4237487195,595.41998291
35.4847700367,-83.4238120195,595.43548584
35.4848134367,-83.4238777195,595.416687012
35.4848555377,-83.4239443195,595.445007324
35.4848921377,-83.4240140196,595.412902832
35.4849151377,-83.4240691196,595.395507812
35.4849350377,-83.4241255196,595.502441406
