lat,lng,ele
35.486578924,-83.7810961242,560.700134277
35.486573423,-83.7811738242,561.993835449
35.486574524,-83.7812517242,564.292663574
35.486582724,-83.7813291243,566.303100586
35.486598824,-83.7814053243,567.948913574
35.486632724,-83.7814776243,566.719421387
35.486679523,-83.7815427243,564.918334961
35.486723623,-83.7816095243,563.535644531
35.486745623,-83.7816859244,563.627075195
35.486733125,-83.7817570244,565.431884766
35.486724223,-83.7818284244,567.733581543
35.486744925,-83.7818948244,566.820007324
35.486784524,-83.7819517244,563.807800293
35.486855024,-83.7819658245,560.872924805
35.486928324,-83.7819677245,563.560058594
35.486998723,-83.7819972245,567.762451172
35.487063525,-83.7820378245,570.733398438
35.4871239251,-83.7820847245,573.295227051
35.4871881241,-83.7821497245,576.916381836
35.4872425251,-83.7822232246,579.029602051
35.4872912241,-83.7823006246,580.050109863
35.4873377251,-83.7823794246,580.763427734
35.4873857251,-83.7824573246,579.581054688
35.4874359231,-83.7825374247,576.767822266
35.4874842231,-83.7826186247,573.695495605
35.4875317251,-83.7827003247,568.579711914
35.4875795241,-83.7827818247,567.307189941
35.4876287241,-83.7828625248,569.501159668
35.4876699241,-83.7829317248,570.810302734
35.4877115241,-83.7830006248,571.679504395
35.4877593252,-83.7830653248,572.26385498
35.4878095232,-83.7831144248,572.467102051
35.4878641252,-83.7831585249,572.627929688
35.4879183242,-83.7832031249,572.751953125
35.4879627242,-83.7832429249,572.601928711
35.4880066252,-83.7832832249,572.326171875
35.4880639232,-83.7833305249,573.544616699
35.4881124252,-83.7833861249,574.702819824
35.4881307232,-83.783468725,575.213989258
35.4881446242,-83.783552525,575.461486816
35.4881840252,-83.783620225,575.698425293
35.4882387232,-83.783676825,576.075012207
35.4882962232,-83.7837305251,576.312194824
35.4883464232,-83.7837909251,576.740356445
35.4883901252,-83.7838735251,577.239318848
35.4884237253,-83.7839608251,577.696228027
35.4884516243,-83.7840501252,578.419128418
35.4884780253,-83.7841398252,578.561401367
35.4885067243,-83.7842288252,578.509033203
35.4885416253,-83.7843156252,579.012817383
35.4885777253,-83.7843861253,579.621459961
35.4886167253,-83.7844550253,579.958190918
35.4886548233,-83.7845244253,580.415588379
35.4886883253,-83.7845962253,580.832641602
35.4887220243,-83.7846689254,580.993408203
35.4887560243,-83.7847414254,581.307800293
35.4887809243,-83.7848175254,581.605651855
35.4887804233,-83.7848969254,580.907531738
35.4887553243,-83.7849451254,580.763366699
35.4887331233,-83.7849944255,580.927062988
35.4887359253,-83.7850574255,581.263427734
35.4887573253,-83.7851165255,582.05871582
35.4888318253,-83.7851344255,582.729370117
35.4889099243,-83.7851438255,582.917663574
35.4889531243,-83.7852096255,583.65020752
35.4889789233,-83.7852851256,584.148986816
35.4890132243,-83.7853568256,584.640930176
35.4890602243,-83.7854057256,585.20916748
35.4891131233,-83.7854484256,585.567443848
35.4891632253,-83.7854942256,585.900268555
35.4892193244,-83.7855684256,586.483276367
35.4892770234,-83.7856414257,588.255065918
35.4893421244,-83.7856950257,589.277648926
35.4894098244,-83.7857452257,588.613098145
35.4894682244,-83.7857957257,587.853820801
35.4895249244,-83.7858480257,587.710998535
35.4895815254,-83.7859005258,588.115478516
35.4896394254,-83.7859515258,588.131652832
35.4897090254,-83.7860109258,589.212768555
35.4897789245,-83.7860700258,590.376647949
35.4898502245,-83.7861273259,591.751647949
35.4899244255,-83.7861809259,591.729858398
35.4900025235,-83.7862285259,591.729919434
35.4900875235,-83.7862674259,592.000915527
35.4901751245,-83.7863005259,594.153015137
35.4902614245,-83.7863366259,593.901367188
35.4903319256,-83.786372026,594.745117188
35.4904014246,-83.786409426,595.209899902
35.4904698246,-83.786448626,595.659362793
35.4905374256,-83.786489426,596.307250977
35.4906201246,-83.786539526,597.001831055
35.4907013256,-83.786592026,597.775268555
35.4907770246,-83.7866520261,598.342163086
35.4908404236,-83.7867158261,598.395507812
35.4908986237,-83.7867844261,598.580383301
35.4909525257,-83.7868564261,599.563049316
35.4910005257,-83.7869323262,600.146850586
35.4910430257,-83.7870114262,600.27746582
35.4910835247,-83.7870916262,599.839172363
35.4911255237,-83.7871710262,601.024353027
35.4911727257,-83.7872583263,601.597229004
35.4912203247,-83.7873453263,601.942199707
35.4912727247,-83.7874295263,602.485656738
35.4913220257,-83.7874902263,602.782958984
35.4913764237,-83.7875465264,603.438049316
35.4914294237,-83.7876041264,604.211364746
35.4914744257,-83.7876680264,604.647155762
35.4915112237,-83.7877438264,605.108093262
35.4915413237,-83.7878226264,605.478637695
35.4915682247,-83.7879026265,605.84173584
35.4915920258,-83.7879874265,605.329589844
35.4916123248,-83.7880731265,605.625915527
35.4916344248,-83.7881584265,606.036010742
35.4916635248,-83.7882355266,606.519165039
35.4916941248,-83.7883120266,607.178466797
35.4917101248,-83.7883925266,608.054016113
35.4917088248,-83.7884475266,608.299194336
35.4916832237,-83.7885291267,609.233581543
35.4916599247,-83.7886112267,609.296813965
35.4916672237,-83.7886856267,609.589904785
35.4916927257,-83.7887556267,610.550476074
35.4917508248,-83.7888016267,612.047241211
35.4918170258,-83.7888371268,611.713256836
35.4918612238,-83.7888717268,611.498168945
35.4919245248,-83.7889456268,612.244812012
35.4919726258,-83.7890305268,613.576721191
35.4920128248,-83.7891194269,614.331420898
35.4920517248,-83.7892089269,615.062927246
35.4920897238,-83.7892967269,615.725402832
35.4921240248,-83.7893860269,616.318359375
35.4921537248,-83.789476927,616.835021973
35.4921785238,-83.789559327,617.250854492
35.4921949248,-83.789643727,617.563781738
35.4921928258,-83.789704327,617.456726074
35.4921921248,-83.7897648271,618.411560059
35.4922194238,-83.7898368271,618.68548584
35.4922428248,-83.7899098271,619.237976074
35.4922320248,-83.7899866271,619.946166992
35.4921900238,-83.7900624271,620.507263184
35.4921209258,-83.7901150272,620.999816895
35.4920931258,-83.7901869272,621.550415039
35.4920633248,-83.7902580272,622.103027344
35.4920313247,-83.7903282272,622.659057617
35.4919972247,-83.7903973272,623.143310547
35.4919494237,-83.7904703272,623.613647461
35.4919125247,-83.7905486273,624.532165527
35.4919194247,-83.7906162273,626.066345215
35.4919406247,-83.7906813273,628.07989502
35.4919530247,-83.7907484273,629.477355957
35.4919482247,-83.7908206273,630.335266113
35.4919317257,-83.7908909274,631.175598145
35.4918806257,-83.7909609274,631.325134277
35.4918293247,-83.7910307274,631.766479492
35.4918159247,-83.7911188274,632.602355957
35.4918231257,-83.7912079275,633.221862793
35.4918412247,-83.7912956275,634.011901855
35.4918766247,-83.7913864275,635.494018555
35.4919182247,-83.7914746275,637.508483887
35.4919475247,-83.7915487276,639.56628418
35.4919756237,-83.7916232276,640.829956055
35.4920031237,-83.7916979276,641.452819824
35.4920327257,-83.7917908276,642.005371094
35.4920590237,-83.7918848277,642.860961914
35.4920888247,-83.7919776277,643.551147461
35.4921298247,-83.7920660277,644.815124512
35.4921805247,-83.7921241277,646.76953125
35.4922170247,-83.7921902278,648.25201416
35.4922065247,-83.7922560278,648.899536133
35.4921588247,-83.7923281278,647.949768066
