lat,lng,ele
35.7528064021,-83.2031579706,714.322937012
35.7527405011,-83.2031052706,715.369873047
35.7526784031,-83.2030481706,716.195556641
35.7526203011,-83.2029869705,716.947265625
35.7525649021,-83.2029232705,717.8046875
35.7525137021,-83.2028562705,718.626037598
35.7524707031,-83.2027837705,719.504821777
35.7524457021,-83.2027163704,720.437683105
35.7524191021,-83.2026496704,721.428833008
35.7523652031,-83.2025889704,722.52545166
35.7522957021,-83.2025460704,723.688964844
35.752224202,-83.2025063704,724.360595703
35.752161303,-83.2024545704,724.676025391
35.752107303,-83.2023907703,724.750732422
35.752064601,-83.2023191703,725.120849609
35.752052003,-83.2022458703,726.02557373
35.752051602,-83.2021711703,726.796264648
35.752041602,-83.2020973702,727.357543945
35.752020002,-83.2020392702,727.823181152
35.751989602,-83.2019853702,728.307739258
35.751941201,-83.2019387702,728.817443848
35.751882902,-83.2019050702,729.50592041
35.751824402,-83.2018927702,730.193969727
35.751766202,-83.2018796702,730.612182617
35.751713303,-83.2018445701,731.095825195
35.751668503,-83.2017995701,731.539123535
35.7516342019,-83.2017373701,732.349609375
35.7515986009,-83.2016760701,732.819702148
35.7515438019,-83.2016362701,733.666381836
35.7514827019,-83.2016064701,734.203552246
35.7514016019,-83.20157147,734.484191895
35.7513174009,-83.20154467,735.465087891
35.7512319019,-83.20152217,736.511352539
35.7511610029,-83.20150307,737.467529297
35.7510894018,-83.20148707,738.488464355
35.7510162018,-83.20148307,738.910339355
35.7509530028,-83.20149237,739.270874023
35.7508723018,-83.20148707,739.867004395
35.7507946018,-83.20146427,740.75177002
35.7507219028,-83.20142837,741.61138916
35.7506553018,-83.2013822699,742.355957031
35.7505954027,-83.2013275699,743.21697998
35.7505513027,-83.2012800699,743.946838379
35.7505161027,-83.2012258699,744.642578125
35.7505038017,-83.2011481699,745.145446777
35.7504919007,-83.2010703698,746.124694824
35.7504542007,-83.2010089698,747.413879395
35.7504039017,-83.2009573698,748.448974609
35.7503578017,-83.2009231698,748.780883789
35.7503058027,-83.2008993698,749.416442871
35.7502556017,-83.2009007698,750.151062012
35.7502067017,-83.2008966698,750.857666016
35.7501927027,-83.2008151698,751.766174316
35.7501917017,-83.2007303697,752.909973145
35.7501820017,-83.2006794697,753.40826416
35.7501665027,-83.2006301697,753.984619141
35.7501360017,-83.2005813697,754.789306641
35.7500960017,-83.2005397697,755.493408203
35.7500201027,-83.2004977696,756.53894043
35.7499349006,-83.2004800696,757.556396484
35.7498627016,-83.2004904696,758.273742676
35.7497903016,-83.2004981696,759.54083252
35.7497352016,-83.2004780696,759.85748291
35.7496830026,-83.2004509696,759.988220215
35.7496233006,-83.2004164696,760.320129395
35.7495654006,-83.2003790696,760.701904297
35.7495046016,-83.2003465696,761.586853027
35.7494252015,-83.2003180696,763.056945801
35.7493433005,-83.2002978695,764.477416992
35.7492936015,-83.2002919695,765.321655273
35.7492443015,-83.2002840695,766.315063477
35.7491776015,-83.2002485695,767.745056152
35.7491104015,-83.2002140695,769.210998535
35.7490476015,-83.2002073695,770.54510498
35.7489843015,-83.2002105695,772.09375
35.7488976014,-83.2002270695,772.951904297
35.7488123014,-83.2002500695,773.511535645
35.7487348024,-83.2002756695,774.423950195
35.7486576014,-83.2003021695,775.272766113
35.7485768014,-83.2003099695,775.557617188
35.7485166004,-83.2002979695,775.508789062
35.7484603003,-83.2002735695,775.003723145
35.7484058013,-83.2002221695,776.395751953
35.7483642013,-83.2001593695,777.336364746
35.7483284013,-83.2000930694,778.260986328
35.7482997013,-83.2000072694,779.997436523
35.7482797023,-83.1999187694,781.302001953
35.7482430003,-83.1998363693,782.838134766
35.7481721013,-83.1997680693,783.671569824
35.7480818013,-83.1997765693,784.60345459
35.7480271013,-83.1998329693,785.069213867
35.7479983013,-83.1999069694,784.213012695
