lat,lng,ele
35.7517412018,-83.2055144712,717.912719727
35.7516511018,-83.2054722712,719.031921387
35.7515610018,-83.2054300712,720.434570312
35.7514708008,-83.2053879712,721.450683594
35.7513807018,-83.2053457712,722.463012695
35.7512955017,-83.2053082711,722.795471191
35.7512103007,-83.2052707711,722.871582031
35.7511251017,-83.2052333711,723.213500977
35.7510399027,-83.2051958711,724.153991699
35.7509547017,-83.2051583711,725.478820801
35.7508676017,-83.2051219711,726.829223633
35.7507806016,-83.205085671,727.862670898
35.7506935026,-83.205049271,728.614196777
35.7506186016,-83.205012171,729.267578125
35.7505487026,-83.204966371,729.94152832
35.7504942016,-83.204925871,730.525939941
35.7504398006,-83.204885471,731.074157715
35.7503853016,-83.2048449709,731.675537109
35.7503791006,-83.2048403709,731.730041504
35.7503110006,-83.2047910709,732.164611816
35.7502428015,-83.2047417709,732.522155762
35.7501747015,-83.2046925709,732.98059082
35.7501066015,-83.2046432709,733.382385254
35.7500689015,-83.2046174709,733.616943359
35.7499884015,-83.2045652708,734.748352051
35.7499079015,-83.2045130708,736.19152832
35.7498274025,-83.2044608708,737.856323242
35.7497818005,-83.2044299708,738.798339844
35.7497375014,-83.2043972708,739.598083496
35.7496711014,-83.2043461708,740.823852539
35.7496047024,-83.2042950707,742.014587402
35.7495383004,-83.2042439707,743.341186523
35.7494771014,-83.2041927707,744.54699707
35.7494203024,-83.2041366707,745.502258301
35.7494179014,-83.2041341707,745.522583008
35.7493763014,-83.2040765707,746.241516113
35.7493490024,-83.2040109706,746.803649902
35.7493295024,-83.2039453706,747.474914551
35.7493157014,-83.2038804706,748.18951416
35.7493124014,-83.2038546706,748.50579834
35.7492887004,-83.2037605706,749.866027832
35.7492423024,-83.2036754705,751.565124512
35.7492264014,-83.2036541705,751.933227539
35.7491861004,-83.2036092705,752.780944824
35.7491374014,-83.2035736705,753.548706055
35.7490737013,-83.2035370705,754.669921875
35.7490109023,-83.2034941705,755.963928223
35.7489398013,-83.2034372704,757.392211914
35.7488804013,-83.2033690704,758.597961426
35.7488454003,-83.2032856704,759.492370605
35.7488205003,-83.2031904704,760.198303223
35.7488112003,-83.2031588704,760.450134277
