lat,lng,ele
35.4970817411,-83.402764514,714.633605957
35.4971280411,-83.402699814,715.596618652
35.4972027402,-83.402569714,717.104980469
35.4972952412,-83.402451214,719.431335449
35.4974242412,-83.4023118139,721.684204102
35.4975534412,-83.4021613139,723.850769043
35.4977391413,-83.4018913138,728.258544922
35.4978509413,-83.4017072138,730.368408203
35.4979790414,-83.4016118138,731.550170898
35.4980726404,-83.4014382137,733.389099121
35.4981490414,-83.4012201137,736.090515137
35.4982475414,-83.4008040135,740.67401123
35.4983923415,-83.4003233134,746.533874512
35.4984394425,-83.4002255134,747.626586914
35.4985385405,-83.4002285134,748.907165527
35.4986369425,-83.4002645134,751.438598633
35.4987872416,-83.4004122135,754.554077148
35.4989034426,-83.4004598135,756.581970215
35.4990100416,-83.4005401135,756.176452637
35.4990801426,-83.4006414135,757.393005371
