lat,lng,ele
35.7519886019,-83.2049675711,712.000488281
35.7519848019,-83.2048984711,711.533935547
35.7519889019,-83.204829371,711.171142578
35.7520018019,-83.204761371,711.137756348
35.7520275009,-83.204697071,710.996154785
35.7520619029,-83.204636771,711.104797363
35.7520953019,-83.204575971,711.52532959
35.7521312019,-83.2044963709,712.380004883
35.752165201,-83.2044159709,712.881103516
35.752198902,-83.2043354709,712.977233887
35.752234601,-83.2042530709,712.39440918
35.752270802,-83.2041708709,711.303833008
35.752306201,-83.2040882708,710.720336914
35.752339303,-83.2040047708,710.197143555
35.752368801,-83.2039199708,710.487854004
35.752392403,-83.2038552708,710.741271973
35.752407302,-83.2037883708,710.489562988
35.752399703,-83.2037106707,710.516357422
35.752436901,-83.2036453707,710.378356934
35.752464603,-83.2036129707,710.532958984
35.7525460021,-83.2035930707,711.411010742
35.7526173021,-83.2035411707,712.041870117
35.7526684021,-83.2034689707,712.129699707
35.7527031011,-83.2033873707,712.744567871
