lat,lng,ele
35.4854015336,-83.5078010441,681.82232666
35.4854748346,-83.5078478442,682.29510498
35.4855822346,-83.5078842442,683.965087891
35.4856441346,-83.5079412442,684.513977051
35.4857053356,-83.5080313442,685.755187988
35.4857566346,-83.5081651443,686.930664062
35.4858248356,-83.5083546443,689.361206055
35.4858682346,-83.5084331444,690.925231934
35.4858927346,-83.5085551444,691.369873047
35.4858814356,-83.5086649444,689.091430664
35.4858609346,-83.5087855445,691.651611328
35.4858498336,-83.5088844445,692.32043457
35.4858281336,-83.5090600445,693.703674316
35.4858258356,-83.5091702446,694.849182129
35.4858235346,-83.5092803446,695.469787598
35.4858212346,-83.5093904446,695.266174316
35.4858185336,-83.5095226447,695.940979004
35.4858806346,-83.5095686447,697.390625
35.4859603346,-83.5096372447,699.320129395
35.4860754356,-83.5097400448,702.558654785
35.4861648346,-83.5097758448,707.045471191
35.4862625346,-83.5098450448,709.848083496
35.4863512357,-83.5099139448,712.420410156
35.4864131347,-83.5099709448,715.223510742
35.4864482347,-83.5100161449,716.76171875
35.4864930347,-83.5100285449,718.037109375
35.4865293337,-83.5100186449,718.699829102
35.4866365347,-83.5100660449,721.433227539
35.4867088357,-83.5100573449,722.979309082
35.4868009338,-83.5099609449,725.257568359
35.4869016338,-83.5098869448,728.335266113
35.4869836348,-83.5098454448,730.505737305
35.4870561348,-83.5098256448,732.583190918
35.4871293348,-83.5097728448,735.315795898
35.4872379349,-83.5097541448,739.066101074
35.4873206349,-83.5096795448,742.434753418
35.4874303349,-83.5096058448,746.513000488
35.4874681359,-83.5095188448,748.732849121
35.4874877339,-83.5094423447,750.502746582
35.4874720339,-83.5093316447,753.818115234
35.4874193339,-83.5092638447,756.542724609
35.4873207349,-83.5092387447,757.200805664
35.4872119339,-83.5092684447,757.239746094
35.4870842348,-83.5093416447,756.895202637
