lat,lng,ele
35.6408380596,-83.6892598065,412.712921143
35.6408844606,-83.6891768065,413.537567139
35.6409247586,-83.6890902065,415.248626709
35.6409640607,-83.6890031064,417.322753906
35.6410030587,-83.6889159064,418.882751465
35.6410421597,-83.6888287064,420.04574585
35.6410816607,-83.6887417064,421.570343018
35.6411224597,-83.6886554064,422.293670654
35.6411705587,-83.6885736063,423.643768311
35.6412244607,-83.6885658063,424.955169678
35.6412788587,-83.6885662063,426.040283203
35.6413535597,-83.6885817063,427.587982178
35.6414219608,-83.6886151064,429.260345459
35.6414683608,-83.6886584064,429.999633789
35.6415100598,-83.6887064064,430.610809326
35.6415597608,-83.6887670064,431.245178223
35.6416074598,-83.6888293064,431.378723145
35.6416592598,-83.6888881065,432.220245361
35.6417124608,-83.6889448065,433.264678955
35.6417674608,-83.6889998065,434.595275879
35.6418363598,-83.6890265065,435.815979004
35.6418634598,-83.6889652065,437.441986084
35.6418783608,-83.6888982065,438.825775146
35.6419126599,-83.6888414065,439.753234863
35.6419846599,-83.6888438065,442.006317139
35.6420332599,-83.6889185065,442.383911133
35.6420713609,-83.6890013065,441.713134766
35.6421272599,-83.6890605065,443.553924561
35.6421951589,-83.6891048065,444.380218506
35.6422484609,-83.6891161066,444.903289795
35.6423030609,-83.6891194066,445.393432617
35.6423840599,-83.6891222066,448.4737854
35.6424005609,-83.6891763066,448.570098877
35.6424086599,-83.6892334066,448.966522217
35.6424426599,-83.6893229066,448.391052246
35.64250906,-83.6893711066,448.609619141
35.64258506,-83.6894049067,450.40045166
35.64264706,-83.6894399067,451.056793213
35.64270046,-83.6894861067,452.502593994
35.642723961,-83.6895577067,452.525726318
35.642742259,-83.6896311067,452.541320801
35.64276956,-83.6896977068,452.872650146
35.642811561,-83.6897548068,453.917114258
35.64287056,-83.6897632068,454.392974854
35.64292896,-83.6897477068,454.391082764
35.64298276,-83.6896976068,456.005828857
35.6430392601,-83.6896521068,457.833618164
35.6430919601,-83.6896604068,457.800231934
35.6431375591,-83.6896885068,458.998901367
35.6431663591,-83.6897429068,459.704284668
35.6431891601,-83.6898006068,459.693389893
35.6432402601,-83.6898666068,460.498748779
35.6432852591,-83.6899364069,462.02230835
35.6432917601,-83.6900140069,462.745452881
35.6432997601,-83.6900914069,462.667327881
35.6433318591,-83.6901358069,463.986236572
35.6433608611,-83.6901818069,464.992370605
35.6433543601,-83.6902426069,464.955627441
35.6433401591,-83.690302607,465.388763428
35.6433334591,-83.690385307,466.268859863
35.6433364601,-83.690468107,466.929748535
35.6433525611,-83.690541907,467.39944458
35.6433782591,-83.6906130071,468.006500244
35.6434190611,-83.6906868071,468.552185059
35.6434707601,-83.6907537071,469.015319824
35.6435269601,-83.6908168071,469.803527832
35.6435940601,-83.6908821072,471.225524902
35.6436664591,-83.6909415072,472.895294189
35.6437391601,-83.6910006072,473.854400635
35.6438004602,-83.6910479072,474.687866211
35.6438618602,-83.6910950072,475.999572754
35.6439160592,-83.6911501072,477.233947754
35.6439534592,-83.6912122073,478.310150146
35.6439843602,-83.6912780073,478.28793335
35.6440199592,-83.6913413073,478.700469971
35.6440883592,-83.6914133073,479.984375
35.6441518612,-83.6914892074,481.555023193
35.6441714592,-83.6915459074,481.910552979
35.6441944592,-83.6916011074,482.943969727
35.6442652602,-83.6916587074,483.15826416
35.6443119612,-83.6915829074,482.630889893
35.6443497593,-83.6915069074,483.714294434
35.6444050593,-83.6914536074,485.67956543
35.6444817593,-83.6914495074,486.532592773
35.6445578603,-83.6914697074,487.387176514
35.6446288603,-83.6914918074,487.798828125
35.6447012593,-83.6915077074,486.668670654
35.6447753613,-83.6914942074,487.204284668
35.6448463594,-83.6914684074,487.911987305
35.6449093594,-83.6914418074,488.794830322
35.6449701604,-83.6914105074,489.105255127
35.6450286604,-83.6913751074,490.563537598
35.6450972594,-83.6913219074,489.026397705
35.6451662594,-83.6912693074,491.225036621
35.6452371614,-83.6912290074,492.283172607
35.6453120605,-83.6911969073,493.732940674
35.6453766605,-83.6911864073,493.326171875
35.6454389605,-83.6911680073,493.458099365
35.6454941595,-83.6911147073,493.93258667
35.6454601605,-83.6910252073,495.411315918
35.6453895605,-83.6909566073,498.01940918
35.6453594605,-83.6908858073,499.040679932
35.6453387615,-83.6908113072,499.404663086
35.6453201605,-83.6907381072,500.546112061
35.6452968605,-83.6906664072,501.208984375
35.6452502615,-83.6906013072,502.751434326
35.6451903605,-83.6905477071,504.053100586
35.6451294615,-83.6904951071,505.04107666
35.6450829604,-83.6904470071,505.241607666
35.6450323594,-83.6904035071,505.784088135
35.6449482614,-83.6903758071,507.536529541
35.6448622614,-83.6903536071,509.580322266
35.6448028614,-83.6903197071,509.690124512
35.6447474604,-83.690279707,509.436676025
35.6446935614,-83.690237607,509.851074219
35.6446258594,-83.690181807,510.365386963
35.6445609614,-83.690122707,510.499603271
35.6445078613,-83.690076707,510.582763672
35.6444632603,-83.6900068069,510.835510254
35.6444300603,-83.6899306069,511.090698242
35.6443991603,-83.6898358069,511.484741211
35.6443775593,-83.6897383069,512.409545898
35.6443553603,-83.6896410068,513.553466797
35.6443352603,-83.6895586068,513.932067871
35.6443149603,-83.6894764068,514.757019043
35.6442887603,-83.6893958068,515.800170898
35.6442551593,-83.6893212067,516.094177246
35.6442154613,-83.6892497067,515.965576172
35.6441712603,-83.6891809067,516.079101562
35.6441238603,-83.6891142067,515.87109375
35.6440671613,-83.6890415066,516.040710449
35.6440060603,-83.6889726066,516.575561523
35.6439391603,-83.6889093066,516.133483887
35.6438762603,-83.6888633066,516.103210449
35.6438096592,-83.6888227066,515.560119629
35.6437436602,-83.6887813065,515.923706055
35.6436764602,-83.6887378065,515.744689941
35.6436099602,-83.6886933065,516.695251465
35.6435484612,-83.6886422065,516.609436035
35.6434875602,-83.6885710065,516.124938965
35.6434342602,-83.6884938064,515.876403809
35.6433822602,-83.6884158064,515.79095459
35.6433316602,-83.6883413064,516.002380371
35.6432822612,-83.6882660064,516.338012695
35.6432341602,-83.6881899063,516.086730957
35.6432395592,-83.6881053063,516.86529541
35.6432474612,-83.6880209063,517.452819824
35.6432577592,-83.6879367063,517.743469238
35.6432741602,-83.6878602062,518.261413574
35.6432926602,-83.6877841062,518.346679688
35.6432989592,-83.6877062062,518.842712402
35.6432867612,-83.6876330062,519.617797852
35.6432661602,-83.6875616062,520.721313477
35.6432406602,-83.6874967061,521.660888672
35.6432100612,-83.6874340061,522.242126465
35.6431802602,-83.6873710061,522.768859863
35.6431503592,-83.6873007061,523.479003906
35.6431214602,-83.6872300061,524.604125977
35.6430949602,-83.687158306,525.376098633
35.6430663602,-83.687070106,526.484924316
35.6430412602,-83.686980906,527.63848877
35.6430197602,-83.6868908059,528.850402832
35.6430071592,-83.6868104059,529.512084961
35.6429993602,-83.6867294059,530.018127441
35.6429900602,-83.6866485059,529.82598877
35.6429728602,-83.6865690059,530.680786133
35.6429483592,-83.6865002058,531.753112793
35.6429189592,-83.6864333058,532.648742676
35.6428873592,-83.6863674058,533.678405762
35.6428492611,-83.6863001058,534.44152832
35.6428086611,-83.6862343057,535.440490723
35.6427746601,-83.6861649057,536.100280762
