lat,lng,ele
35.5914309517,-83.6316447867,971.426391602
35.5914467527,-83.6315762867,971.863952637
35.5914789517,-83.6315139867,972.408874512
35.5915500507,-83.6314657866,972.571594238
35.5916337507,-83.6314417866,972.687133789
35.5917114517,-83.6314325866,972.629638672
35.5917897518,-83.6314361867,972.917358398
35.5918681518,-83.6314384867,973.299987793
35.5919312508,-83.6314316867,973.889404297
35.5919944528,-83.6314315867,974.778625488
35.5920436518,-83.6314498867,974.774902344
35.5920928518,-83.6314678867,975.541870117
35.5921761518,-83.6314658867,975.872436523
35.5922556509,-83.6314400867,975.41229248
35.5923015519,-83.6314087867,976.255310059
35.5923471519,-83.6313768867,977.114990234
35.5924116519,-83.6313564867,977.619140625
35.5924790509,-83.6313483867,977.819580078
35.5925463519,-83.6313392867,978.864257812
35.5926105519,-83.6313279867,978.991760254
35.5926731519,-83.6313102867,979.310974121
35.592728452,-83.6312741867,979.703308105
35.592782951,-83.6312366867,979.950256348
35.592836452,-83.6312138867,980.496948242
35.592891951,-83.6311960866,981.061035156
35.592963753,-83.6311788866,982.026367188
35.593036752,-83.6311676866,982.932250977
35.593113353,-83.6311623867,983.584411621
35.5931901521,-83.6311616867,984.225830078
35.5932892521,-83.6311649867,984.524169922
35.5933666521,-83.6311612867,984.632019043
35.5934428531,-83.6311478867,985.157104492
35.5935126521,-83.6311205867,986.570861816
35.5935793511,-83.6310861867,987.66003418
35.5936477512,-83.6310440866,988.324645996
35.5937164512,-83.6310023866,988.54888916
35.5938074532,-83.6309611866,988.319152832
35.5938768532,-83.6309028866,988.28729248
35.5939381532,-83.6308356866,987.831359863
35.5940096522,-83.6307802866,987.640380859
35.5940979533,-83.6307499866,987.444030762
35.5941908523,-83.6307420866,986.057250977
35.5942461523,-83.6307489866,986.17175293
35.5942984513,-83.6307675866,987.438842773
35.5943443533,-83.6308239866,988.336791992
35.5943761523,-83.6308904866,988.826049805
35.5944206523,-83.6309481867,989.318664551
35.5945099513,-83.6309841867,990.015808105
35.5945622523,-83.6309698867,990.602905273
35.5946100524,-83.6309433867,991.114929199
35.5946639534,-83.6309109867,991.655639648
