lat,lng,ele
35.7373357959,-83.2796163921,948.044189453
35.7372643949,-83.2795811921,948.713134766
35.7372081959,-83.2795193921,949.489807129
35.7371677969,-83.2794457921,950.166137695
35.7371438949,-83.2793685921,950.710998535
35.7371256949,-83.279289792,951.056640625
35.7371045949,-83.279202892,951.385070801
35.7370826959,-83.279116192,951.750488281
35.7370493959,-83.279033292,952.635742188
35.7370210969,-83.2789864919,953.472351074
35.7369879949,-83.2789430919,954.104187012
35.7369385958,-83.2789036919,954.84967041
35.7368903968,-83.2788628919,955.518188477
35.7368551958,-83.2787847919,955.314758301
35.7368211958,-83.2787061918,955.551940918
35.7367717958,-83.2786611918,956.129455566
35.7367237958,-83.2786149918,956.654174805
35.7366949958,-83.2785324918,957.312561035
35.7366728958,-83.2784476918,957.981445312
35.7366369968,-83.2783742917,958.400878906
35.7365932948,-83.2783051917,958.996765137
35.7365479958,-83.2782371917,959.773254395
35.7365068968,-83.2781664917,960.267822266
35.7364693958,-83.2780869916,960.470214844
35.7364353948,-83.2780059916,960.592651367
35.7364039968,-83.2779238916,961.545166016
35.7363744958,-83.2778410916,961.75189209
35.7363460958,-83.2777579915,962.906738281
35.7363179958,-83.2776746915,964.663391113
35.7362928948,-83.2776047915,965.767150879
35.7362684968,-83.2775345915,966.409240723
35.7362498958,-83.2774626914,967.090454102
35.7362379958,-83.2774020914,967.925354004
35.7362340948,-83.2773405914,968.490600586
35.7362467968,-83.2772782914,968.765563965
35.7362724958,-83.2772200914,969.293701172
35.7363168958,-83.2771757914,970.522033691
35.7363641958,-83.2771342914,971.983093262
35.7364053948,-83.2770712913,973.941711426
35.7364387958,-83.2770036913,976.227539062
35.7364601958,-83.2769553913,977.21472168
35.7364766958,-83.2769052913,977.593994141
35.7364871948,-83.2768281913,978.461364746
35.7364868948,-83.2767670913,979.235656738
35.7364804948,-83.2767063912,979.95489502
35.7364551948,-83.2766165912,980.579650879
35.7364110948,-83.2765341912,981.797546387
35.7363577958,-83.2764572912,983.315490723
35.7363028958,-83.2763814911,984.693786621
35.7362537968,-83.2763018911,986.15045166
35.7362201958,-83.2762339911,987.553344727
35.7361841948,-83.2761672911,988.423095703
35.7361265968,-83.276094091,990.338134766
35.7360697948,-83.276020291,991.476623535
35.7360314958,-83.275930491,992.378173828
35.7359920968,-83.275841191,993.379882812
35.7359479968,-83.2757828909,994.552124023
35.7358965948,-83.2757306909,995.744873047
35.7358418967,-83.2756820909,996.544616699
35.7357751957,-83.2756237909,997.360107422
35.7356995957,-83.2755784909,997.492370605
35.7356457957,-83.2755658909,998.373168945
35.7355878947,-83.2755508908,998.932861328
35.7355290947,-83.2755404908,1000.02716064
35.7354748957,-83.2755454908,1001.13153076
35.7354206967,-83.2755483908,1002.51342773
35.7353684956,-83.2755379908,1003.58392334
35.7353222946,-83.2755124908,1004.21563721
35.7352958956,-83.2754784908,1005.03204346
