lat,lng,ele
35.5106923441,-83.3996423139,799.114685059
35.5107563441,-83.399695214,799.073730469
35.5107980431,-83.399766814,799.445495605
35.5108145441,-83.399844414,799.57244873
35.5108748441,-83.399922614,800.399902344
35.5109467441,-83.3999917141,801.299438477
35.5109919451,-83.4000723141,801.004150391
35.5110428431,-83.4001489141,800.632019043
35.5111050441,-83.4001948141,799.385437012
35.5111558441,-83.4002690141,799.571166992
35.5111920452,-83.4003518142,799.712280273
35.5112153452,-83.4004433142,799.252380371
35.5112283442,-83.4005371142,798.178649902
35.5112495452,-83.4006292143,798.424804688
35.5112720442,-83.4006921143,797.757629395
35.5112984452,-83.4007534143,797.566711426
35.5113361452,-83.4008082143,797.713012695
35.5114088442,-83.4008496143,798.276123047
35.5114880432,-83.4008788143,798.847839355
35.5115559442,-83.4009151144,798.160400391
35.5116232442,-83.4009523144,798.363342285
35.5116932442,-83.4009842144,799.218444824
35.5117574432,-83.4009984144,799.434570312
35.5118186443,-83.4010210144,799.975341797
35.5118804433,-83.4010890144,800.477111816
35.5119506443,-83.4011089144,801.413330078
35.5120241443,-83.4011153144,802.29510498
35.5121208443,-83.4011399145,804.167053223
35.5122162453,-83.4011691145,805.607788086
35.5123108454,-83.4012010145,807.186035156
35.5123922444,-83.4012288145,808.401733398
35.5124719454,-83.4012609145,808.948120117
35.5125348444,-83.4012950145,809.750183105
35.5125967444,-83.4013308145,810.421447754
35.5126662454,-83.4013613146,811.578674316
35.5127305434,-83.4014009146,812.022949219
35.5127701454,-83.4014626146,812.075683594
35.5128092444,-83.4015246146,812.554016113
35.5128867455,-83.4015705146,813.225769043
35.5129698455,-83.4016065146,814.485961914
35.5130320445,-83.4016445147,816.047729492
35.5130921445,-83.4016858147,817.264038086
35.5131476435,-83.4017331147,818.390686035
35.5131846455,-83.4017712147,818.831848145
35.5132181455,-83.4018124147,819.290649414
35.5132532445,-83.4018932147,819.398986816
35.5132961455,-83.4019690148,819.695068359
35.5133486435,-83.4019863148,820.562255859
35.5134038455,-83.4019943148,820.021911621
35.5134934446,-83.4020190148,822.571716309
35.5135514446,-83.4020733148,823.537780762
35.5135935446,-83.4021414148,823.256286621
35.5136338446,-83.4022106149,822.718444824
35.5136770446,-83.4022801149,823.394775391
35.5137176456,-83.4023513149,824.51751709
35.5137558446,-83.4024237149,825.480285645
35.5137922436,-83.402509815,826.104492188
35.5138255446,-83.402597315,826.748291016
35.5138678456,-83.402680615,827.981567383
35.5139209456,-83.402752015,829.570373535
35.5139823436,-83.4028164151,831.169067383
35.5140462436,-83.4028665151,832.666748047
35.5141157447,-83.4029085151,834.027648926
35.5141835447,-83.4029449151,834.821411133
35.5142546437,-83.4029743151,835.370239258
35.5143306457,-83.4029811151,836.223510742
35.5143951447,-83.4029518151,837.017944336
35.5144580447,-83.4029187151,837.344238281
35.5145485447,-83.4028994151,838.958190918
35.5146027448,-83.4029102151,839.577514648
35.5146562448,-83.4029246151,840.350952148
35.5147465448,-83.4029259151,841.644714355
35.5148366448,-83.4029190151,843.160339355
35.5149058458,-83.4029086151,843.844970703
35.5149749438,-83.4028969151,845.068115234
35.5150442459,-83.4029031151,844.23059082
35.5151156449,-83.4029385152,841.145019531
35.5151884439,-83.4029075152,842.773620605
35.5152550449,-83.4028726152,843.967102051
35.5153248459,-83.4028455151,844.979858398
35.5154220439,-83.4028499152,845.761962891
35.515513444,-83.4028842152,846.300415039
35.515593344,-83.4029417152,846.085083008
35.515655946,-83.4029554152,847.586120605
35.515719045,-83.4029675152,848.249511719
35.515799245,-83.4030140152,847.630432129
35.515867445,-83.4030110152,847.929260254
35.515934845,-83.4029960152,848.591064453
35.5160251441,-83.4029876152,849.638122559
35.5161041451,-83.4029902152,850.567749023
35.5161826441,-83.4030007152,851.238098145
35.5162612461,-83.4030098153,852.397644043
35.5163402441,-83.4030080153,852.73059082
35.5164368451,-83.4029889153,852.836486816
35.5165305452,-83.4029586153,853.551391602
35.5166030452,-83.4029253152,854.106933594
35.5166723452,-83.4028858152,854.949645996
35.5167401452,-83.4028436152,856.159362793
35.5168119442,-83.4027882152,857.404724121
35.5168812462,-83.4027297152,858.343017578
35.5169596453,-83.4026847152,858.470275879
35.5170430453,-83.4026725152,856.930969238
35.5171275453,-83.4026773152,857.545593262
35.5172120443,-83.4026812152,858.249267578
35.5172966463,-83.4026804152,858.414306641
35.5173812453,-83.4026813152,859.642089844
35.5174659454,-83.4026814152,860.726318359
35.5175504464,-83.4026782152,860.802307129
35.5176346454,-83.4026693152,861.99798584
35.5177174454,-83.4026522152,863.488891602
35.5178083464,-83.4026261152,864.201293945
35.5178971465,-83.4025936152,865.6953125
35.5179809445,-83.4025498152,864.851013184
35.5180439445,-83.4024986152,864.415100098
35.5181018455,-83.4024417152,864.299560547
