lat,lng,ele
35.4457585235,-83.6030646697,611.717712402
35.4458595236,-83.6029798697,614.319152832
35.4459984226,-83.6028080696,618.555358887
35.4460916216,-83.6026678696,620.800415039
35.4461475216,-83.6025815696,621.395080566
35.4462300217,-83.6025181696,621.606994629
35.4463220217,-83.6024329695,621.361022949
35.4463955217,-83.6023692695,621.036132812
35.4464595227,-83.6023272695,620.784179688
35.4466039218,-83.6023208695,620.301696777
35.4467579218,-83.6022817695,619.951293945
35.4469035228,-83.6022203695,619.408813477
35.4470226228,-83.6021360695,620.057189941
35.4470785219,-83.6020497695,620.417480469
35.4471262229,-83.6019301694,620.132873535
35.4471572229,-83.6017438694,619.686462402
35.4472234229,-83.6016027694,621.528808594
35.4472340229,-83.6015260693,621.732543945
35.4472357219,-83.6014489693,621.717407227
