lat,lng,ele
35.5847105732,-83.0771592236,1466.23132324
35.5847074712,-83.0771681236,1466.19677734
35.5846840731,-83.0772503236,1465.75219727
35.5846661731,-83.0773338237,1465.13317871
35.5846524711,-83.0774182237,1464.2467041
35.5846411721,-83.0775029237,1463.35107422
35.5846329711,-83.0775880237,1462.27685547
35.5846309721,-83.0776734238,1460.97192383
35.5846386731,-83.0777585238,1460.37817383
35.5846535721,-83.0778288238,1459.70214844
35.5846745711,-83.0778974238,1458.99255371
35.5847139721,-83.0779769238,1458.30651855
35.5847688721,-83.0780467239,1457.44042969
35.5848346711,-83.0781064239,1456.83483887
35.5849073722,-83.0781575239,1456.5994873
35.5849841732,-83.0782024239,1456.28857422
35.5850629722,-83.0782435239,1455.72668457
35.5851424722,-83.078283424,1455.11340332
35.5852260732,-83.078317124,1453.56164551
35.5853135722,-83.078339124,1450.88415527
35.5854024733,-83.078354724,1448.2902832
35.5854914723,-83.078369424,1446.07958984
35.5855795713,-83.078388724,1444.61816406
35.5856649723,-83.078417724,1443.00695801
35.5857355713,-83.078447324,1442.2199707
35.5858054733,-83.0784784241,1441.71972656
35.5858726713,-83.0785148241,1440.79321289
35.5859343714,-83.0785600241,1439.36547852
35.5859845724,-83.0786166241,1438.01538086
35.5860267724,-83.0786797241,1435.94018555
35.5860689724,-83.0787427242,1434.31604004
35.5861191724,-83.0787994242,1433.15576172
35.5861776724,-83.0788396242,1432.67358398
35.5862401714,-83.0788736242,1432.57641602
35.5862987724,-83.0789137242,1432.23181152
35.5863597724,-83.0789852242,1431.19189453
35.5864090724,-83.0790655243,1429.55969238
35.5864577734,-83.0791461243,1427.83972168
35.5865169715,-83.0792192243,1425.85437012
35.5865870725,-83.0792722243,1424.46862793
35.5866625735,-83.0793177244,1423.05578613
35.5867341735,-83.0793688244,1421.54431152
35.5867982725,-83.0794280244,1419.91479492
35.5868584735,-83.0794912244,1418.70202637
35.5869137735,-83.0795587244,1417.56091309
35.5869626735,-83.0796310245,1416.53723145
35.5870024725,-83.0797025245,1414.96630859
35.5870371735,-83.0797767245,1413.5390625
35.5870664725,-83.0798531245,1412.28588867
35.5870895735,-83.0799316246,1411.0369873
35.5871094715,-83.0800228246,1409.68579102
35.5871193715,-83.0801155246,1408.67675781
35.5871176735,-83.0802044246,1407.26977539
35.5871015725,-83.0802916247,1404.74804688
35.5870676725,-83.0803677247,1403.57861328
35.5870160735,-83.0804329247,1401.57836914
35.5869625725,-83.0804646247,1400.11010742
35.5869029715,-83.0804829247,1398.61193848
35.5868312725,-83.0804737247,1396.62084961
35.5867624725,-83.0804490247,1394.64416504
35.5866921724,-83.0804538247,1394.5723877
35.5866523734,-83.0805074247,1391.484375
35.5866173724,-83.0805647247,1391.51196289
35.5865545734,-83.0806229247,1390.17431641
35.5864842734,-83.0806722247,1388.2532959
35.5864191714,-83.0807279248,1387.06994629
35.5863667714,-83.0808012248,1386.09338379
35.5863239723,-83.0808807248,1385.71948242
35.5862809723,-83.0809600248,1385.01318359
35.5862274723,-83.0810325248,1383.86657715
35.5861499733,-83.0810930248,1382.49291992
35.5860622723,-83.0811380249,1380.58703613
35.5859732733,-83.0811805249,1378.2845459
35.5858905712,-83.0812339249,1376.30395508
35.5858294732,-83.0812830249,1375.04736328
35.5857753722,-83.0813395249,1373.79418945
35.5857386732,-83.0813991249,1373.03845215
35.5857121732,-83.0814638249,1372.51062012
35.5857089732,-83.081538625,1372.10314941
35.5857176712,-83.081613425,1371.18591309
35.5857056722,-83.081685825,1370.37634277
35.5856430722,-83.081712725,1369.23535156
35.5855739722,-83.081712025,1368.36938477
35.5855061721,-83.081669125,1367.47729492
35.5854401731,-83.081622725,1366.21801758
35.5853777721,-83.081611325,1364.95678711
35.5853141721,-83.081612425,1363.43615723
35.5852211721,-83.081643625,1360.98828125
35.5851422721,-83.081702825,1359.29760742
35.5850730711,-83.081773325,1357.90625
35.585008072,-83.081847825,1357.02050781
35.584942273,-83.081921525,1356.2154541
35.584881172,-83.081986725,1355.31433105
35.584821773,-83.0820533251,1354.0213623
35.584765072,-83.0821222251,1352.51745605
35.584712072,-83.0821941251,1350.77233887
35.5846640719,-83.0822694251,1349.83630371
35.5846223729,-83.0823483251,1349.32568359
35.5845946709,-83.0824243251,1348.80627441
35.5845739719,-83.0825026252,1348.68383789
35.5845513719,-83.0825803252,1348.45373535
35.5845173719,-83.0826536252,1347.70263672
35.5844672719,-83.0827154252,1345.79797363
35.5844156709,-83.0827759252,1343.90576172
35.5843663729,-83.0828505253,1341.87817383
35.5843226709,-83.0829286253,1340.68127441
35.5842864728,-83.0830103253,1339.73510742
35.5842602728,-83.0830958253,1339.34228516
35.5842450718,-83.0831855254,1338.41809082
35.5842390718,-83.0832762254,1336.81433105
35.5842418708,-83.0833671254,1335.77233887
35.5842592718,-83.0834567254,1335.13122559
35.5842892718,-83.0835431255,1334.55322266
35.5843216728,-83.0836285255,1333.84887695
35.5843471718,-83.0837163255,1331.72167969
35.5843579718,-83.0837943255,1329.80236816
35.5843660728,-83.0838727256,1328.51477051
35.5843824708,-83.0839496256,1328.00769043
35.5844052718,-83.0840085256,1327.83349609
35.5844335708,-83.0840649256,1326.88427734
35.5844809718,-83.0841178256,1325.39904785
35.5845346718,-83.0841649257,1324.31860352
35.5845665719,-83.0842272257,1323.3927002
35.5845638728,-83.0842897257,1321.64331055
35.5845309728,-83.0843527257,1316.84130859
35.5844966718,-83.0844150257,1317.51916504
35.5844915718,-83.0844673257,1318.17980957
35.5844935728,-83.0845198258,1318.14355469
35.5845150708,-83.0845971258,1318.27026367
35.5845547718,-83.0846673258,1318.2442627
35.5845957718,-83.0847367258,1317.10668945
35.5846222718,-83.0848126259,1315.74291992
35.5846246708,-83.0848802259,1313.50476074
35.5846206718,-83.0849478259,1311.59130859
35.5846247718,-83.0850153259,1309.88842773
35.5846553708,-83.0850892259,1309.18908691
35.5846979718,-83.085157526,1309.25305176
35.5847303728,-83.085230726,1307.9979248
35.5847465718,-83.085308326,1305.64306641
35.5847489728,-83.085387326,1303.2142334
35.5847260718,-83.085451626,1300.89978027
35.5847027718,-83.0855157261,1298.7590332
35.5847228718,-83.0855953261,1298.76525879
35.5847673718,-83.0856656261,1298.85620117
35.5848174718,-83.0857321261,1298.14880371
35.5848492728,-83.0858040262,1295.58190918
35.5847825708,-83.0858084262,1294.22546387
35.5847168718,-83.0857914261,1292.7277832
35.5846591728,-83.0857564261,1291.98657227
35.5846266718,-83.0856877261,1292.24023438
35.5845924718,-83.0856201261,1291.29040527
35.5845396708,-83.0855858261,1288.75183105
35.5845344728,-83.0856736261,1287.29162598
35.5845441708,-83.0857634261,1285.56103516
35.5845679718,-83.0858506262,1283.35632324
35.5846038728,-83.0859335262,1281.64709473
35.5846523718,-83.0860096262,1280.55981445
35.5847110718,-83.0860595262,1280.05493164
35.5847776728,-83.0860989262,1278.84155273
35.5848366718,-83.0861486263,1276.7824707
35.5848797718,-83.0862109263,1275.37756348
35.5849143718,-83.0862782263,1273.74902344
35.5849400728,-83.0863495263,1272.01733398
35.5849555718,-83.0864269263,1270.14526367
35.5849638718,-83.0865054264,1268.48498535
35.5849608708,-83.0866027264,1266.21777344
35.5849454728,-83.0866990264,1264.55957031
35.5849314708,-83.0867955265,1262.59472656
35.5849335718,-83.0868928265,1260.82958984
35.5849571718,-83.0869888265,1259.03845215
35.5849925718,-83.0870812265,1256.93225098
35.5850370718,-83.0871696266,1253.66821289
35.5850934728,-83.0872477266,1252.01867676
35.5851492719,-83.0873262266,1250.8729248
35.5851768729,-83.0874022266,1248.54638672
35.5852117709,-83.0874744267,1246.41845703
35.5852789719,-83.0875012267,1246.74719238
35.5853489719,-83.0875220267,1245.57226562
35.5853929709,-83.0875645267,1243.19091797
35.5854380719,-83.0876057267,1241.10681152
35.5855221719,-83.0876135267,1240.81481934
