lat,lng,ele
35.6694909656,-83.6620891003,476.265228271
35.6692235666,-83.6620992003,476.069732666
35.6690779675,-83.6621607003,474.384552002
35.6689871665,-83.6621908003,474.206878662
35.6688973665,-83.6621768003,479.863800049
35.6688542675,-83.6620870002,480.281799316
35.6688233655,-83.6618540002,479.243865967
35.6687829675,-83.6616428001,476.560546875
35.6686315655,-83.6611515999,471.485778809
35.6686437655,-83.6610084999,472.459411621
35.6687397665,-83.6607465998,473.500946045
35.6687488655,-83.6606334998,473.301269531
35.6687522665,-83.6605922998,473.318115234
35.6687203675,-83.6604034997,472.099212646
35.6686244675,-83.6602566997,471.191864014
35.6684997665,-83.6601862997,471.968139648
35.6684267655,-83.6602280997,472.266418457
35.6683780675,-83.6603920997,473.274353027
35.6682922664,-83.6605990998,472.656158447
35.6682421664,-83.6608293998,473.764312744
35.6681367664,-83.6611130999,474.800567627
35.6680935664,-83.661432,476.416107178
35.6680889654,-83.6616418001,478.521606445
35.6680492673,-83.6618062001,481.24508667
35.6680173653,-83.6620260002,481.664978027
35.6679701663,-83.6621239002,483.807800293
35.6679063673,-83.6621549002,483.077911377
35.6677461663,-83.6620612002,486.45123291
35.6675862652,-83.6619565001,489.975952148
35.6675054662,-83.6619428001,490.021484375
35.6674772652,-83.6619970001,490.867858887
35.6675200652,-83.6620979002,492.991241455
35.6675954672,-83.6623544002,495.828552246
35.6677247662,-83.6626238003,500.703033447
35.6677500662,-83.6627020003,502.712463379
35.6677570662,-83.6627906004,503.041778564
35.6676816662,-83.6629427004,505.370788574
35.6676881652,-83.6630534004,507.188842773
35.6677302672,-83.6631873005,509.391876221
35.6677548662,-83.6632986005,511.468963623
35.6677431652,-83.6634197006,511.312072754
35.6676952662,-83.6635506006,513.59564209
35.6677002672,-83.6637275006,516.364257812
35.6677677652,-83.6639396007,518.987731934
35.6677747652,-83.6640282007,519.899658203
35.6676997662,-83.6641583008,520.312011719
35.6676797662,-83.6642460008,520.934509277
35.6677541662,-83.6645467009,523.723571777
35.6677948672,-83.6647468009,526.399902344
35.6677828662,-83.664879001,527.448486328
35.6677086651,-83.664975901,528.115844727
35.6673527661,-83.665174001,535.11529541
35.667287765,-83.6652602011,534.677429199
35.667303266,-83.6653711011,537.743652344
35.667345366,-83.6655051011,540.309509277
35.6674931671,-83.6657530012,543.832092285
35.6675179661,-83.6658532013,543.842285156
35.6674877671,-83.6659958013,546.56237793
35.6675210651,-83.6661184013,548.110229492
35.6676079651,-83.6662649014,549.57043457
35.6675967651,-83.6663639014,550.055297852
35.6675497671,-83.6664507014,550.008850098
35.667439767,-83.6665354015,552.586425781
35.667139866,-83.6666469015,558.053955078
35.6669762659,-83.6667078015,559.247009277
35.6668308659,-83.6667582015,559.678466797
35.6667223669,-83.6667766015,561.019042969
35.6666488669,-83.6668405015,563.267700195
35.6666463648,-83.6669508015,565.888122559
35.6667059659,-83.6671074016,566.765930176
35.6667753669,-83.6672313016,567.9921875
35.6668357669,-83.6673548017,569.749511719
35.6668868659,-83.6674890017,571.882507324
35.6669118669,-83.6675782017,572.553161621
35.6669011659,-83.6676552017,572.91217041
35.6668451649,-83.6677417018,574.57635498
35.6667705668,-83.6678496018,575.904418945
35.6666775668,-83.6679791018,578.017456055
35.6666573658,-83.6680778019,579.701660156
35.6666729658,-83.6681888019,581.357177734
35.6668291648,-83.668459102,582.211425781
35.6668885648,-83.668626702,583.780517578
35.6668853648,-83.6687702021,585.277709961
35.6668558658,-83.6688797021,585.978027344
35.6668086648,-83.6689775021,587.30090332
35.6667438658,-83.6690527021,588.598449707
35.6666903668,-83.6690288021,588.751220703
35.6666567658,-83.6689172021,588.890441895
35.6666587668,-83.6688289021,589.867370605
35.6666073648,-83.668705702,591.312683105
35.6665275658,-83.668647802,591.875061035
35.6664679667,-83.668491202,593.389038086
35.6664277647,-83.6682690019,594.824951172
35.6664309648,-83.6681255019,594.599304199
35.6664438658,-83.6679492018,594.603942871
35.6664468668,-83.6678168018,596.256530762
35.6664964648,-83.6676086017,596.167236328
35.6664987658,-83.6675092017,594.874633789
35.6664201658,-83.6673962016,595.849182129
35.6662057658,-83.6669030015,591.456176758
35.6661215648,-83.6666351014,589.319335938
35.6661069658,-83.6664800014,587.962158203
35.6661364658,-83.6663706013,587.514709473
35.6662391668,-83.6662083013,586.48828125
35.6662783658,-83.6660660012,584.748657227
35.6662998668,-83.6659121012,583.651428223
35.6662241648,-83.6656666011,580.226318359
35.6661229658,-83.665354001,575.395629883
35.6660262668,-83.665240301,571.603881836
35.6658558658,-83.665201501,571.049133301
35.6657578667,-83.6651540009,570.996948242
35.6656821647,-83.6649085009,569.009887695
35.6656974667,-83.6646219008,565.399353027
35.6657824668,-83.6644480007,565.287658691
35.6657841658,-83.6643707007,565.328857422
35.6656953658,-83.6643125007,564.229797363
35.6657179648,-83.6641034006,563.895751953
35.6657664668,-83.6639504006,563.9765625
35.6657428648,-83.6637950005,561.566467285
35.6656941658,-83.6635504005,558.268554688
35.6656640658,-83.6632843004,556.388000488
35.6655491668,-83.6631811004,556.15423584
35.6653794667,-83.6631092003,553.55065918
35.6653195657,-83.6633723004,551.369567871
35.6652521657,-83.6635688005,548.46673584
35.6651681657,-83.6636986005,547.064575195
35.6650018656,-83.6638808005,545.021362305
35.6648370656,-83.6639968006,543.229309082
35.6647182666,-83.6640702006,540.836669922
35.6645288655,-83.6640749006,540.623535156
35.6644219665,-83.6640162005,539.549438477
35.6643248665,-83.6639246005,537.505187988
35.6643007655,-83.6637912005,538.00390625
35.6642297655,-83.6637447004,536.35925293
35.6640846654,-83.6637841004,533.248291016
35.6639315654,-83.6637790004,530.47064209
35.6638153654,-83.6637309004,530.202575684
35.6636710644,-83.6637372004,526.51953125
35.6635451653,-83.6637220004,522.957946777
35.6634483653,-83.6636193004,521.996643066
35.6633594643,-83.6635612003,521.239379883
35.6632784653,-83.6635585003,521.320739746
35.6632263653,-83.6634684003,520.723327637
35.6631730663,-83.6634335003,520.758178711
35.6631586663,-83.6632673002,522.360534668
35.6632577663,-83.6628620001,524.841003418
35.6632699643,-83.6627188001,525.808288574
35.6631480653,-83.662527,527.458129883
35.6629720663,-83.6623334,529.460327148
35.6628853653,-83.6621758999,527.779296875
35.6627685642,-83.6621608999,528.09564209
35.6626164652,-83.6621116999,529.646728516
35.6625445652,-83.6620982999,529.347351074
35.6624908652,-83.6620853999,530.059448242
35.6624387642,-83.6619952998,531.218811035
35.6624143662,-83.6618728998,531.74597168
35.6624019642,-83.6616184997,531.964782715
35.6623525652,-83.6614069996,532.67590332
35.6622396642,-83.6612154996,536.483886719
35.6620911651,-83.6610006995,536.767944336
35.6618876661,-83.6608282994,537.731018066
35.6617287651,-83.6606793994,538.552978516
35.6616778651,-83.6605341993,537.122070312
35.6616532651,-83.6604228993,537.772155762
35.6615461641,-83.6603751993,538.768554688
35.661358466,-83.6603026993,539.703735352
35.661161364,-83.6602519992,540.451538086
35.6609563649,-83.6601457992,542.295898438
35.6607151659,-83.6600493991,543.403442383
35.6605457659,-83.6599664991,546.123596191
35.6603928648,-83.6599502991,546.28692627
35.6602068648,-83.659800599,551.796936035
35.6600544648,-83.659762399,552.622497559
35.6600384648,-83.659673499,556.384399414
35.6598509647,-83.659589999,557.516418457
35.6597465637,-83.6594208989,559.496948242
35.6596730637,-83.6590759988,561.538574219
35.6595591647,-83.6589286988,566.731018066
35.6594900647,-83.6587938987,567.865356445
35.6593038657,-83.6586551987,569.278198242
