lat,lng,ele
35.6447699636,-83.6338578905,864.975463867
35.6447044616,-83.6339266905,864.702758789
35.6446407626,-83.6339971906,864.978515625
35.6445845636,-83.6340666906,865.276916504
35.6445313626,-83.6341385906,865.486755371
35.6444772616,-83.6342097906,865.565124512
35.6444182625,-83.6342769906,865.722045898
35.6443604625,-83.6343340906,866.087097168
35.6442997625,-83.6343881907,866.365783691
35.6442345625,-83.6344365907,866.415039062
35.6441604635,-83.6344745907,866.668212891
35.6440826625,-83.6345046907,867.465820312
35.6440069625,-83.6345394907,867.785583496
35.6439473634,-83.6345755907,867.331298828
35.6438896624,-83.6346144907,867.613342285
35.6438331624,-83.6346552907,868.286132812
35.6437819624,-83.6346988907,868.986877441
35.6437321624,-83.6347441907,869.959594727
35.6436771624,-83.6347826907,871.15826416
35.6436242634,-83.6348075907,871.410949707
35.6435680613,-83.6348232907,871.316894531
35.6435051623,-83.6348147907,871.407348633
35.6434422623,-83.6348080907,871.423950195
35.6433941633,-83.6348231907,871.877685547
35.6433511623,-83.6348492907,872.434387207
35.6433090623,-83.6349300908,873.231628418
35.6432928613,-83.6350212908,873.123413086
35.6432733633,-83.6351116908,873.48059082
35.6432394633,-83.6352029908,874.067565918
35.6432031623,-83.6352933909,873.612304688
35.6431682612,-83.6353842909,873.497253418
35.6431442612,-83.6354580909,873.573242188
35.6431222612,-83.6355325909,873.315063477
35.6430991632,-83.6356066909,873.304626465
35.6430715622,-83.635679291,873.251464844
35.6430367622,-83.635752491,873.434509277
35.6429977622,-83.635823491,873.934326172
35.6429558622,-83.635892891,874.724060059
35.6429121622,-83.635961091,875.417724609
35.6428594632,-83.636027791,875.864013672
35.6428012621,-83.6360897911,876.418457031
35.6427469631,-83.6361551911,877.404052734
35.6427079631,-83.6362304911,878.028503418
35.6426885611,-83.6363022911,878.423217773
35.6426775621,-83.6363758911,878.489807129
35.6426760631,-83.6364502912,878.558898926
35.6426845621,-83.6365174912,878.773742676
35.6427002621,-83.6365834912,879.197387695
35.6427259611,-83.6366580912,879.700378418
35.6427601611,-83.6367290912,879.371398926
35.6427333621,-83.6367785913,879.696777344
35.6427039621,-83.6368265913,879.781616211
35.6426544621,-83.6369017913,879.641296387
35.6425926611,-83.6369664913,879.523254395
35.6425401621,-83.6369918913,879.68762207
35.642483663,-83.6370070913,879.917358398
35.642429762,-83.6370138913,880.091491699
35.642375361,-83.6370144913,879.736999512
35.642288663,-83.6370086913,878.676635742
35.642204663,-83.6369868913,877.660766602
35.642156962,-83.6369550913,877.696166992
35.642106762,-83.6369283913,877.584777832
35.642048562,-83.6369305913,877.243286133
35.6419979609,-83.6369579913,877.275390625
35.6419798619,-83.6370114913,876.995666504
35.6419685609,-83.6370673913,876.466552734
35.6419310629,-83.6371420913,875.827941895
35.6419021619,-83.6372197913,874.742553711
35.6419199609,-83.6372857914,874.10369873
35.6419541609,-83.6373459914,874.564147949
35.6419790609,-83.6374100914,874.425048828
35.6419817619,-83.6374913914,873.69354248
35.6419713629,-83.6375721914,873.261657715
35.6419557609,-83.6376521915,873.076660156
35.6419411619,-83.6377192915,873.069641113
35.6419226619,-83.6377852915,873.092834473
35.6418973619,-83.6378490915,873.311889648
35.6418544609,-83.6379071915,873.989868164
35.6418040619,-83.6379594915,874.449645996
35.6417673618,-83.6380213916,874.046264648
35.6417609618,-83.6380984916,873.23828125
35.6417549628,-83.6381755916,872.791503906
35.6417265628,-83.6382429916,872.730712891
35.6416890618,-83.6383059916,872.81262207
35.6416483608,-83.6383617917,872.780700684
35.6416029608,-83.6384138917,872.481201172
35.6415592618,-83.6384673917,872.231689453
35.6415099608,-83.6385376917,872.162536621
35.6414631618,-83.6386097917,872.04083252
35.6414192618,-83.6386836917,871.852844238
35.6413869617,-83.6387446918,871.578552246
35.6413563617,-83.6388066918,871.414978027
35.6413250617,-83.6388682918,871.39050293
35.6412852607,-83.6389455918,871.644104004
35.6412406617,-83.6390200918,871.369567871
35.6411750607,-83.6390923918,871.237792969
35.6410990617,-83.6391537919,871.805419922
35.6410201616,-83.6392115919,872.618774414
35.6409468606,-83.6392643919,873.042480469
35.6409006616,-83.6393180919,873.202087402
35.6408543616,-83.6393716919,872.438476562
35.6408081606,-83.6394253919,872.367919922
35.6408065606,-83.6394970919,872.775390625
35.6408049606,-83.639568892,874.044677734
35.6408242616,-83.639646792,874.655944824
35.6408436616,-83.639724792,875.180114746
35.6408629616,-83.639802692,875.440917969
35.6409083616,-83.6398896921,875.373840332
35.6409537616,-83.6399767921,876.216369629
35.6409991626,-83.6400638921,876.383422852
35.6410445626,-83.6401508921,876.777282715
35.6410848626,-83.6402294922,877.762207031
35.6411252616,-83.6403081922,878.213500977
35.6411655616,-83.6403867922,878.047180176
35.6411863616,-83.6404702922,877.25970459
35.6412070616,-83.6405537923,874.916137695
35.6411342616,-83.6405844923,875.237060547
35.6410850616,-83.6405662923,876.509521484
35.6410358616,-83.6405480923,877.6328125
35.6409814616,-83.6405628923,877.530212402
35.6409270606,-83.6405776923,876.253479004
35.6408643606,-83.6405589923,876.317504883
35.6408016625,-83.6405403922,876.665039062
35.6407647615,-83.6405832923,875.104125977
35.6407277615,-83.6406262923,876.314453125
35.6407502625,-83.6406969923,876.371520996
35.6407726605,-83.6407675923,877.656860352
35.6407951615,-83.6408382923,879.493041992
35.6408421615,-83.6408876923,878.618774414
35.6408891616,-83.6409370924,877.762878418
35.6409361616,-83.6409864924,876.780578613
35.6409529616,-83.6410422924,876.370117188
35.6409697626,-83.6410980924,875.381530762
35.6409497616,-83.6411856924,874.835876465
35.6409123605,-83.6412469925,874.77331543
35.6408749605,-83.6413083925,874.812011719
35.6408375605,-83.6413696925,875.006225586
35.6408085615,-83.6414625925,874.544555664
35.6407794615,-83.6415554925,874.361572266
35.6407774605,-83.6416492926,874.181091309
35.6407753615,-83.6417430926,874.413513184
35.6408094605,-83.6418324926,875.04864502
35.6408434615,-83.6419219927,874.781921387
35.6408240625,-83.6419875927,874.7890625
35.6408045625,-83.6420531927,874.42980957
35.6407714615,-83.6421238927,875.018188477
35.6407382615,-83.6421945927,876.149047852
35.6407604625,-83.6422762927,876.094177246
35.6407827615,-83.6423579928,875.588623047
35.6408049605,-83.6424396928,874.815124512
35.6407793605,-83.6425124928,874.997924805
35.6407536615,-83.6425851928,874.842041016
35.6407280614,-83.6426579929,874.103027344
35.6406729604,-83.6427058929,873.65020752
