lat,lng,ele
35.6790598682,-83.6473382965,511.595336914
35.6789841682,-83.6472854965,511.196166992
35.6789084692,-83.6472325965,510.911590576
35.6788326682,-83.6471796965,510.84072876
35.6787569691,-83.6471268964,511.07510376
35.6786920681,-83.6470731964,511.276489258
35.6786271681,-83.6470194964,511.551391602
35.6785622681,-83.6469657964,511.692565918
35.6785092681,-83.6469161964,511.846984863
35.6784562691,-83.6468665964,512.093200684
35.6784032691,-83.6468169963,512.062561035
35.6783772681,-83.6467718963,512.562011719
35.6783779691,-83.6467387963,512.688720703
35.6784210691,-83.6467057963,513.368408203
35.6784780691,-83.6466978963,514.102783203
35.6785445691,-83.6467069963,514.856506348
35.6786111681,-83.6467156963,516.061584473
35.6786793691,-83.6466858963,517.287719727
35.6787414702,-83.6466439963,517.991210938
35.6788080682,-83.6465972963,518.523254395
35.6788700682,-83.6465446963,518.995727539
35.6789300702,-83.6464749963,519.512145996
35.6789827702,-83.6463994962,520.009399414
35.6790370692,-83.6463251962,520.730041504
35.6790970692,-83.6462549962,521.721618652
35.6791586693,-83.6461860962,523.036682129
35.6792193683,-83.6461163962,524.424621582
35.6792711693,-83.6460527962,525.183959961
35.6793217693,-83.6459882961,526.121948242
35.6793724693,-83.6459237961,526.783081055
35.6794240693,-83.6458600961,527.55682373
35.6794761693,-83.6457973961,528.553771973
35.6795285694,-83.6457349961,529.442932129
35.6795822694,-83.6456736961,530.624816895
35.6796381694,-83.6456143961,531.390258789
35.6796967684,-83.645556796,532.173461914
35.6797575694,-83.645501396,532.721130371
35.6798227694,-83.645451196,533.426757812
35.6798861694,-83.645398896,534.082641602
35.6799196695,-83.645361096,534.355407715
35.6799534695,-83.645323696,534.849182129
35.6800196695,-83.645274896,535.831115723
35.6800878705,-83.645228796,536.79498291
35.6801494695,-83.645173496,537.830871582
35.6802069695,-83.6451138959,538.807006836
35.6802619695,-83.6450519959,539.876464844
35.6803160706,-83.6449892959,540.764953613
35.6803672686,-83.6449291959,542.078979492
35.6804170706,-83.6448679959,543.457275391
35.6804655696,-83.6448056959,544.884216309
35.6804819706,-83.6447219958,545.942871094
35.6804907696,-83.6446370958,546.124572754
35.6804816686,-83.6445409958,545.241210938
35.6804623696,-83.6444461958,543.926818848
