lat,lng,ele
35.6181137557,-83.6697517994,582.237670898
35.6180415557,-83.6697242994,581.220703125
35.6179700557,-83.6696948994,579.827636719
35.6178971556,-83.6696694994,578.073791504
35.6178323566,-83.6696559994,577.53112793
35.6177822546,-83.6696474994,579.91229248
35.6177325556,-83.6696368994,583.512634277
35.6176411556,-83.6696092994,585.749206543
35.6175549566,-83.6695686994,586.326904297
35.6174974566,-83.6695318993,586.811218262
35.6174413556,-83.6694928993,587.225280762
35.6173862565,-83.6694526993,587.739257812
35.6173122555,-83.6693989993,588.430358887
35.6172399545,-83.6693430993,589.234985352
35.6171737545,-83.6692800992,589.968139648
35.6171264545,-83.6692170992,590.452758789
35.6170774555,-83.6691554992,591.219421387
35.6169996555,-83.6690998992,591.999023438
35.6169174545,-83.6690507992,592.770385742
35.6168560565,-83.6690037991,592.723388672
35.6167933554,-83.6689583991,593.032104492
35.6167087544,-83.6689166991,594.024536133
35.6166238554,-83.6688754991,595.337768555
35.6165658564,-83.6688353991,596.054626465
35.6165084554,-83.6687943991,596.411804199
35.6164425544,-83.668752199,596.331481934
35.6163750564,-83.668712599,597.039794922
35.6163028564,-83.668678999,598.55090332
35.6162324553,-83.668641699,599.681640625
35.6161793553,-83.668595499,599.984558105
35.6161315563,-83.668543799,599.438903809
35.6160825553,-83.668493199,599.161560059
35.6160231553,-83.6684437989,600.259399414
35.6159623553,-83.6683960989,601.521057129
35.6159055553,-83.6683437989,603.600158691
35.6158505553,-83.6682740989,602.545654297
35.6158009553,-83.6682002988,603.002441406
35.6157481543,-83.6681288988,601.06439209
35.6157018553,-83.6680788988,601.144226074
35.6156535542,-83.6680306988,601.27923584
35.6156072552,-83.6679806988,602.38885498
35.6155562552,-83.6679204988,603.135131836
35.6155108552,-83.6678560987,604.741760254
35.6154786562,-83.6677916987,605.621398926
35.6154535552,-83.6677241987,605.742126465
35.6154341552,-83.6676547987,606.496765137
35.6154177552,-83.6675666986,607.265869141
35.6154110552,-83.6674773986,606.821411133
35.6154218542,-83.6673838986,607.687988281
35.6154332562,-83.6672904986,607.268798828
35.6154280552,-83.6672237985,608.198852539
35.6154176542,-83.6671576985,609.046142578
35.6154106542,-83.6670910985,609.534729004
35.6154117552,-83.6670138985,609.49987793
35.6154140562,-83.6669366985,609.760620117
35.6154091552,-83.6668518984,611.087280273
35.6154017552,-83.6667672984,612.630615234
35.6154016562,-83.6666823984,613.193603516
35.6154153563,-83.6665942984,614.012329102
35.6154325553,-83.6665067983,613.670776367
35.6154420553,-83.6664369983,613.723144531
35.6154508563,-83.6663671983,614.092773438
35.6154642563,-83.6662980983,614.919128418
35.6154845553,-83.6662382983,615.214904785
35.6155029563,-83.6661779982,615.368713379
35.6155089553,-83.6661044982,615.884521484
35.6155050553,-83.6660306982,616.580078125
35.6154988543,-83.6659570982,617.880004883
35.6154910553,-83.6658602981,618.502685547
