lat,lng,ele
35.5174063473,-83.3289090936,734.100646973
35.5175581473,-83.3291332937,736.812866211
35.5176158483,-83.3292479937,736.781433105
35.5176606493,-83.3293370937,736.563720703
35.5176815473,-83.3294283938,736.556396484
35.5177027483,-83.3295207938,736.613891602
35.5177273483,-83.3296278938,736.586242676
35.5177868483,-83.3296687938,737.191833496
35.5177886483,-83.3298161939,737.609619141
35.5177908473,-83.3299953939,738.766174316
35.5178568483,-83.330171894,739.872680664
35.5179017473,-83.330291994,740.095825195
35.5178988473,-83.3304267941,740.752319336
35.5178674493,-83.3305385941,741.59777832
35.5178346483,-83.3306773941,742.345397949
35.5178404483,-83.3308275942,743.02532959
35.5178444493,-83.3309338942,743.043029785
35.5178561483,-83.3312374943,744.53894043
35.5178876473,-83.3313872943,745.223510742
35.5179413473,-83.3316416944,746.939208984
35.5179986483,-83.3319132945,748.436218262
35.5180257473,-83.3320419945,749.006164551
35.5180608473,-83.3322081946,749.963195801
35.5181818483,-83.3324160947,750.67376709
35.5183013483,-83.3326214947,751.642028809
35.5184031473,-83.3327963948,755.134277344
35.5185477483,-83.3329324948,755.953979492
35.5186656484,-83.3330432949,757.59753418
35.5187934484,-83.3331634949,758.843566895
35.5189011484,-83.333264795,759.359313965
35.5189973484,-83.333396295,760.61541748
35.5191253494,-83.3335713951,764.193725586
35.5192038484,-83.3336428951,764.553222656
35.5193357485,-83.3337117951,763.265991211
35.5194443475,-83.3337684951,761.762695312
35.5196005495,-83.3339087952,764.896789551
35.5196882485,-83.3340002952,765.848815918
35.5197286485,-83.3341369953,768.435546875
35.5197795475,-83.3341985953,768.901550293
35.5199014486,-83.3343460953,768.768127441
35.5198958496,-83.3344373954,769.273681641
35.5198861485,-83.3345950954,770.054748535
35.5198511475,-83.3347189954,771.454284668
35.5198267485,-83.3347691954,772.542358398
35.5198540475,-83.3348769955,772.174926758
35.5199274495,-83.3351660956,775.210571289
35.5199222485,-83.3353900956,779.46697998
35.5198506485,-83.3354811957,777.862731934
35.5197816485,-83.3355689957,777.506164551
35.5196938495,-83.3356998957,778.676696777
35.5196147484,-83.3358651958,779.915466309
35.5195549474,-83.3359900958,780.632446289
35.5195368484,-83.3361339958,784.666320801
35.5195125484,-83.3363277959,789.471069336
35.5194693484,-83.336672796,790.169189453
35.5194500494,-83.3369239961,792.580871582
35.5194357484,-83.3372264961,795.804199219
35.5194249483,-83.3374540962,796.495910645
35.5194558473,-83.3376410963,798.308959961
35.5194698493,-83.3378157963,799.085571289
35.5194648483,-83.3379379964,800.3203125
35.5194551493,-83.3381723964,803.165466309
35.5194303483,-83.3383146965,803.707336426
35.5194078493,-83.3384446965,805.127746582
35.5194070483,-83.3386249966,807.565551758
35.5194223483,-83.3387673966,810.088806152
35.5194168473,-83.3390397967,811.76953125
35.5194661483,-83.3393130968,816.940246582
35.5194928493,-83.3394614968,818.816650391
35.5194667483,-83.3397227969,818.674072266
35.5194261472,-83.340128297,821.598022461
35.5194078492,-83.340310497,822.468811035
35.5194494472,-83.3405248971,824.096618652
35.5195350492,-83.3406893972,829.406616211
35.5195896492,-83.3407943972,830.036437988
35.5197458483,-83.3406773972,836.731445312
35.5198007483,-83.3405506971,838.988586426
35.5198601473,-83.3404415971,841.747192383
35.5200201494,-83.3403061971,847.305480957
35.5200924474,-83.3402673971,849.448669434
35.5201355494,-83.3402569971,850.595397949
35.5202682474,-83.3402352971,853.003967285
