lat,lng,ele
35.5169749471,-83.330344894,748.742370605
35.5168846481,-83.330353294,748.714172363
35.5168211491,-83.330373494,749.88067627
35.5167737481,-83.330426494,750.808959961
35.5167466491,-83.330492594,751.12286377
35.5167451471,-83.330547694,751.848571777
35.5167445481,-83.330602794,752.870300293
35.516707848,-83.3306813941,754.094909668
35.516660548,-83.3307547941,754.47277832
35.516626247,-83.3308401941,755.730529785
35.516595048,-83.3309268941,757.350585938
35.516547448,-83.3310050942,757.516601562
35.516479247,-83.3310474942,759.634887695
35.516410648,-83.3310892942,761.416992188
35.516364547,-83.3311430942,762.36151123
35.5163353489,-83.3312166942,763.364807129
35.5163218479,-83.3312950942,764.187072754
35.5163060469,-83.3313729942,765.279602051
35.5162787479,-83.3314655943,766.465209961
35.5162485469,-83.3315571943,767.179077148
35.5162105479,-83.3316458943,767.356811523
35.5161713479,-83.3317133943,767.844787598
35.5161268479,-83.3317775944,769.151306152
35.5160806489,-83.3318405944,770.796508789
35.5160282489,-83.3319102944,772.236877441
35.5159736468,-83.3319783944,774.992492676
35.5159171468,-83.3320448944,776.034667969
35.5158590478,-83.3321098944,777.124816895
35.5157972468,-83.3321747944,778.052856445
35.5157330468,-83.3322373945,779.2578125
35.5156668468,-83.3322977945,780.036865234
35.5155990487,-83.3323564945,781.237426758
35.5155299477,-83.3324135945,781.985595703
35.5154598477,-83.3324694945,782.703063965
35.5153891467,-83.3325245945,784.272521973
35.5153181487,-83.3325792945,785.403442383
35.5152434467,-83.3326326946,786.139099121
35.5151664466,-83.3326827946,787.676391602
35.5150893486,-83.3327327946,789.110534668
35.5150142486,-83.3327855946,790.370910645
35.5149434476,-83.3328440946,791.21295166
35.5148801476,-83.3329064946,791.300231934
35.5148196466,-83.3329717946,791.265319824
35.5147593475,-83.3330371946,792.435119629
35.5147070475,-83.3330991947,794.333557129
35.5146488475,-83.3331552947,796.069091797
35.5145666475,-83.3331789947,797.927001953
35.5144856485,-83.3332056947,799.344116211
35.5144447485,-83.3332452947,799.992919922
35.5144118465,-83.3332917947,800.730834961
35.5143905475,-83.3333398947,801.301757812
35.5143739474,-83.3333898947,801.599609375
35.5143539484,-83.3334657947,801.76763916
35.5143393464,-83.3335428948,801.727661133
35.5143243464,-83.3336199948,801.890686035
35.5143077474,-83.3336940948,802.492004395
35.5142908474,-83.3337680948,802.654907227
35.5142734484,-83.3338418948,803.691040039
35.5142555484,-83.3339156949,804.412963867
35.5142351464,-83.3339892949,805.41229248
35.5142130484,-83.3340624949,806.521728516
35.5141927474,-83.3341361949,807.289733887
35.5141777474,-83.334211095,808.313293457
35.5141711484,-83.334295395,808.817749023
35.5141695484,-83.334379895,809.745300293
35.5141638484,-83.334464295,810.621276855
35.5141459484,-83.3345555951,811.62902832
35.5141207463,-83.3346451951,813.131958008
35.5140950473,-83.3347345951,814.397827148
35.5140756463,-83.3348255951,815.093261719
35.5140693473,-83.3349064951,816.111450195
35.5140661473,-83.3349875952,817.013671875
35.5140529483,-83.3350674952,818.081237793
35.5140291473,-83.3351347952,819.114074707
35.5139963483,-83.3351980952,820.526916504
35.5139372483,-83.3352574952,821.882873535
35.5138769473,-83.3353158953,823.652770996
35.5138346483,-83.3353952953,823.834289551
35.5138016472,-83.3354790953,825.60559082
35.5137806482,-83.3355526953,827.006408691
35.5137662482,-83.3356279953,827.845092773
35.5137503462,-83.3357028954,829.217529297
35.5137237482,-83.3357745954,829.000915527
35.5136811472,-83.3358405954,830.97265625
35.5136300472,-83.3359004954,833.688476562
35.5135760472,-83.3359577954,835.269165039
35.5135116462,-83.3360220954,836.901245117
35.5134959462,-83.3361144955,838.396850586
35.5134900472,-83.3362088955,839.687988281
35.5134612471,-83.3362962955,839.975097656
35.5134552471,-83.3363566955,841.081787109
35.5134498481,-83.3364171956,841.148681641
