lat,lng,ele
35.6164784578,-83.6085339814,1237.50097656
35.6164101578,-83.6085393814,1237.14929199
35.6163428568,-83.6085516814,1237.08557129
35.6162488587,-83.6085795814,1237.79797363
35.6161610567,-83.6086230814,1238.9296875
35.6161086577,-83.6086632814,1239.4934082
35.6160600567,-83.6087080814,1240.0234375
35.6159977577,-83.6087723815,1241.22460938
35.6159401587,-83.6088409815,1242.62585449
35.6158877566,-83.6089135815,1244.20812988
35.6158409576,-83.6089898815,1245.59301758
35.6158004586,-83.6090697815,1246.40161133
35.6157671576,-83.6091528816,1246.88830566
35.6157420566,-83.6092387816,1247.14953613
35.6157340566,-83.6092940816,1246.58166504
35.6157216576,-83.6093484816,1246.11315918
35.6156625576,-83.6094130816,1247.17053223
35.6155841566,-83.6094543816,1248.8482666
35.6155300575,-83.6094701816,1250.16625977
35.6154753575,-83.6094839816,1251.12512207
35.6153980575,-83.6095259816,1251.43151855
35.6153203575,-83.6095671817,1251.6842041
35.6152476565,-83.6095803817,1253.24377441
35.6151754565,-83.6095955817,1255.06542969
35.6151084575,-83.6096297817,1256.83288574
35.6150483574,-83.6096750817,1258.49645996
35.6150011584,-83.6097334817,1259.28637695
35.6149803574,-83.6098059817,1258.7088623
35.6149530574,-83.6098753817,1258.58032227
35.6148712574,-83.6099058817,1260.38562012
35.6148089574,-83.6098706817,1261.68493652
35.6147902584,-83.6098212817,1262.6439209
35.6147750574,-83.6097702817,1263.32177734
35.6147072564,-83.6097079817,1263.60644531
35.6146240584,-83.6096659816,1264.22094727
35.6145704563,-83.6096422816,1264.91442871
35.6145169573,-83.6096183816,1265.65307617
35.6144369573,-83.6095607816,1267.36193848
35.6143571573,-83.6095027816,1268.88330078
35.6142926583,-83.6094672816,1269.90527344
35.6142232573,-83.6094432816,1271.0020752
35.6141506573,-83.6094487815,1271.59289551
35.6140817582,-83.6094732816,1272.15087891
35.6140146582,-83.6095026816,1272.68579102
35.6139439572,-83.6095343816,1273.22509766
35.6138761572,-83.6095716816,1273.89318848
35.6138138572,-83.6096175816,1275.03405762
35.6137533572,-83.6096870816,1276.40002441
35.6136936572,-83.6097571816,1277.02246094
35.6136289561,-83.6098039816,1278.36743164
35.6135654571,-83.6098523816,1279.6282959
35.6135230571,-83.6099056816,1280.02282715
35.6134819561,-83.6099600817,1280.29467773
35.6134277571,-83.6100143817,1281.40637207
35.6133715571,-83.6100667817,1282.72473145
35.6133101571,-83.6101341817,1283.88134766
35.613242558,-83.6101950817,1284.84631348
35.613198357,-83.6102184817,1285.42675781
35.613151556,-83.6102362817,1285.77172852
35.613101558,-83.6102446817,1286.41723633
35.613051957,-83.6102550817,1286.87976074
35.613005456,-83.6102855817,1286.87268066
35.612960457,-83.6103183817,1286.75427246
35.612876656,-83.6103558817,1287.20275879
