lat,lng,ele
35.7570717055,-83.1653984597,1508.84216309
35.7572349045,-83.1653475597,1508.65893555
35.7575134056,-83.1653993598,1505.39941406
35.7577855047,-83.1653072598,1502.06884766
35.7580840047,-83.1652489598,1502.66296387
35.7582744048,-83.1651877598,1501.88220215
35.7585093048,-83.1651609598,1499.92297363
35.7587069049,-83.1651994598,1499.62097168
35.7589402049,-83.1652610598,1500.94580078
35.7590667049,-83.1652424598,1500.65698242
35.759239106,-83.1651807598,1501.52258301
35.759346806,-83.1652058598,1502.94348145
35.759542804,-83.1653328599,1505.68981934
35.7597316061,-83.1653600599,1506.09875488
35.7598753051,-83.1653971599,1506.81066895
35.7599209051,-83.1653652599,1504.95861816
35.7599968061,-83.1651571599,1504.84606934
35.7601159052,-83.1650497598,1504.32861328
35.7602705042,-83.1649765598,1501.05529785
35.7603716052,-83.1648686598,1500.29785156
35.7604182052,-83.1647814598,1498.6027832
35.7604761053,-83.1645729597,1495.81262207
35.7605529063,-83.1643095596,1493.40917969
35.7606378053,-83.1641017596,1490.39978027
35.7607305053,-83.1639604595,1487.80065918
35.7609125044,-83.1638658595,1485.52209473
35.7610316054,-83.1637585595,1485.26733398
35.7611507054,-83.1636511595,1486.5904541
35.7612790065,-83.1635329595,1488.46923828
35.7615166055,-83.1633513594,1494.4296875
35.7616434045,-83.1633216594,1497.07971191
35.7617074056,-83.1632680594,1497.50708008
35.7618246046,-83.1632712594,1498.8951416
35.7620158056,-83.1631658594,1495.44165039
35.7620343056,-83.1631442594,1494.69836426
35.7620173046,-83.1630884594,1493.69543457
35.7619367066,-83.1630530593,1491.88269043
35.7618828056,-83.1630405593,1490.953125
35.7619020056,-83.1629747593,1488.7199707
35.7620753057,-83.1628688593,1485.11730957
35.7622483067,-83.1627739593,1482.86584473
35.7624645057,-83.1627798593,1481.06433105
35.7624477067,-83.1627130593,1481.22937012
35.7626197048,-83.1626734593,1484.11315918
35.7626637058,-83.1627299593,1484.01574707
35.7627450048,-83.1627210593,1486.06652832
35.7628183058,-83.1626566593,1489.4967041
35.7628773048,-83.1623817592,1495.71142578
35.7629694059,-83.1622736592,1497.25354004
35.7630264059,-83.1621093591,1497.80285645
35.7631095059,-83.1620009591,1497.234375
35.7631642069,-83.1619692591,1497.08349609
35.7631830059,-83.1619255591,1497.02099609
35.7631932059,-83.1618594591,1496.59106445
35.7632680059,-83.161706659,1498.20947266
35.763349907,-83.161664659,1498.55810547
35.763396207,-83.161599659,1497.95483398
35.763479806,-83.161458159,1499.36047363
35.763516707,-83.161414859,1500.42687988
35.763538706,-83.1612001589,1499.79003906
