lat,lng,ele
35.6866119908,-83.1419216487,1577.63293457
35.6865916908,-83.1418298486,1577.59545898
35.6865752908,-83.1417373486,1577.88781738
35.6865627908,-83.1416441486,1578.13122559
35.6865601898,-83.1415443485,1578.44775391
35.6865679908,-83.1414447485,1579.07128906
35.6865771908,-83.1413451485,1580.04296875
35.6865788908,-83.1412453485,1580.96313477
35.6865625908,-83.1411469484,1581.64709473
35.6865396898,-83.1410915484,1581.88952637
35.6865195898,-83.1410352484,1581.89624023
35.6865155908,-83.1409579484,1582.02502441
35.6865222908,-83.1408806483,1582.09216309
35.6865373918,-83.1407982483,1582.46789551
35.6865522908,-83.1407157483,1583.0592041
35.6865540899,-83.1406439483,1584.16333008
35.6865547909,-83.1405721483,1585.17565918
35.6865606909,-83.1404908482,1586.25097656
35.6865702919,-83.1404098482,1586.83154297
35.6865861909,-83.1403299482,1587.07788086
35.6866083899,-83.1402582482,1587.20922852
35.6866337909,-83.1401875482,1587.36413574
35.6866563899,-83.1401214481,1587.76074219
35.6866811919,-83.1400562481,1588.16601562
35.6867101909,-83.1399888481,1588.81311035
35.6867465909,-83.1399253481,1590.04272461
35.6867888919,-83.1398786481,1591.07214355
35.6868382909,-83.1398394481,1592.05712891
35.686920191,-83.1397974481,1592.39868164
35.686962891,-83.139745148,1593.00708008
35.686993391,-83.139684648,1594.13232422
35.687022391,-83.139623348,1595.49707031
35.687058791,-83.139547848,1596.92541504
35.687092192,-83.139470948,1598.10290527
35.687125691,-83.1393940479,1599.29821777
35.687164392,-83.1393061479,1600.55871582
35.68720249,-83.1392180479,1602.0612793
35.6872420921,-83.1391305479,1603.69482422
35.6872850911,-83.1390447479,1605.27966309
35.6873227911,-83.1389796478,1606.76574707
35.6873595911,-83.1389141478,1607.94470215
35.6873968911,-83.1388265478,1610.01818848
35.6874347921,-83.1387393478,1612.12426758
35.6874802911,-83.1386644478,1613.3581543
35.6875314911,-83.1385933477,1614.45385742
35.6875828911,-83.1385223477,1615.90356445
35.6876329902,-83.1384485477,1617.54260254
35.6876829912,-83.1383747477,1619.59814453
35.6877337912,-83.1383014477,1621.2623291
35.6877863902,-83.1382294476,1622.7088623
35.6878465912,-83.1381539476,1624.33483887
35.6879095912,-83.1380807476,1625.50622559
35.6879736903,-83.1380086476,1627.17443848
35.6880374923,-83.1379361476,1628.46826172
35.6880993913,-83.1378620476,1630.12463379
35.6881546913,-83.1377927475,1632.01135254
35.6882093913,-83.1377229475,1633.41174316
35.6882633913,-83.1376526475,1634.91381836
35.6883165903,-83.1375816475,1636.69458008
35.6883686904,-83.1375099475,1638.17919922
35.6884194904,-83.1374372474,1639.78149414
35.6884688914,-83.1373636474,1641.38208008
35.6885211914,-83.1372856474,1642.95043945
35.6885721924,-83.1372068474,1644.46191406
35.6886173914,-83.1371245474,1646.10546875
35.6886423914,-83.1370705474,1646.60705566
35.6886643914,-83.1370153473,1647.42907715
35.6886812914,-83.1369666473,1647.9609375
35.6886931914,-83.1369166473,1648.29040527
35.6886947914,-83.1368282473,1649.13745117
35.6886819914,-83.1367766473,1649.79772949
35.6886604904,-83.1367279473,1650.59985352
35.6886320914,-83.1366866472,1651.27172852
35.6885987904,-83.1366489472,1652.05932617
35.6885447904,-83.1366005472,1653.1607666
35.6884856914,-83.1365582472,1654.12365723
35.6884299924,-83.1365118472,1655.02197266
35.6883711924,-83.1364487472,1655.91894531
35.6883175914,-83.1363813471,1656.81335449
35.6882712914,-83.1363086471,1657.09960938
35.6882420904,-83.1362541471,1657.25195312
35.6882191914,-83.1361968471,1657.3248291
35.6882076914,-83.1361418471,1657.29785156
35.6882031914,-83.136085847,1657.19152832
35.6882039924,-83.136030247,1657.23547363
35.6882140914,-83.135975647,1657.20959473
35.6882478904,-83.135924747,1657.02270508
35.6882879914,-83.135878247,1656.95141602
35.6883222924,-83.135816547,1656.98999023
35.6883529904,-83.1357528469,1657.04833984
35.6883903904,-83.1356930469,1657.21801758
35.6884424904,-83.1356398469,1657.06945801
35.6885016915,-83.1355946469,1656.56762695
35.6885641925,-83.1355540469,1656.00524902
35.6886304915,-83.1355218469,1655.98730469
35.6886992915,-83.1354950469,1655.91064453
35.6887640915,-83.1354599469,1655.81335449
35.6888220925,-83.1354053469,1655.76647949
35.6888736915,-83.1353445469,1655.78601074
35.6889294926,-83.1352875468,1655.49658203
35.6890085916,-83.1352365468,1655.88525391
35.6890845916,-83.1351812468,1656.28991699
35.6891234926,-83.1351340468,1656.35412598
35.6891583906,-83.1350837468,1656.49523926
35.6892045916,-83.1350016468,1655.79077148
35.6892446906,-83.1349162468,1654.47351074
35.6892890906,-83.1348330467,1653.68432617
35.6893268917,-83.1347793467,1653.25341797
35.6893630917,-83.1347245467,1652.88024902
35.6893920917,-83.1346567467,1651.76477051
35.6894143917,-83.1345863467,1650.18737793
35.6894388927,-83.1345166466,1648.90466309
35.6894802917,-83.1344258466,1647.3605957
35.6895264907,-83.1343374466,1645.9296875
35.6895762927,-83.1342509466,1645.44262695
35.6896281917,-83.1341657466,1644.21582031
35.6896809918,-83.1340810465,1642.98693848
35.6897357928,-83.1340025465,1641.72131348
35.6897960918,-83.1339280465,1640.33654785
35.6898578928,-83.1338548465,1638.9251709
35.6899174918,-83.1337798465,1637.31835938
35.6899708918,-83.1337003464,1635.65283203
35.6900137928,-83.1336148464,1633.8614502
35.6900359919,-83.1335453464,1632.73742676
35.6900545919,-83.1334747464,1631.59765625
35.6900805929,-83.1334066464,1630.50805664
35.6901269909,-83.1333416463,1629.59155273
35.6901731919,-83.1332765463,1628.6862793
35.6902010929,-83.1331941463,1627.73425293
35.6902301929,-83.1331122463,1626.31616211
35.6902838929,-83.1330478463,1625.55786133
35.6903500909,-83.1329957463,1624.89245605
35.690413492,-83.1329403462,1624.17553711
35.690453893,-83.1328908462,1623.41271973
35.690496292,-83.1328431462,1622.89758301
35.690541392,-83.1328104462,1622.55322266
35.690587592,-83.1327792462,1622.20178223
35.690655692,-83.1327147462,1621.98364258
35.690717591,-83.1326441462,1621.37121582
35.690780493,-83.1325744462,1620.9473877
35.6908441911,-83.1325190461,1620.89990234
35.6908997911,-83.1324560461,1620.74645996
35.6909236931,-83.1323682461,1621.3828125
35.6909479911,-83.1322805461,1621.79833984
35.6909833931,-83.1322361461,1621.69848633
35.6910216921,-83.1321941461,1622.18151855
35.6910724921,-83.132118946,1622.62536621
35.6911158921,-83.132039246,1623.10998535
35.6911544912,-83.131957146,1623.6282959
35.6911907922,-83.131873946,1624.11169434
35.6912270922,-83.131790746,1624.37487793
35.6912596922,-83.1317084459,1624.27429199
35.6912887922,-83.1316248459,1624.25927734
35.6913199912,-83.1315420459,1623.91027832
35.6913590922,-83.1314627459,1624.05944824
35.6914043912,-83.1314006459,1624.35302734
35.6914541932,-83.1313420458,1624.16650391
35.6914975922,-83.1312786458,1623.92089844
35.6915265923,-83.1312134458,1623.95922852
35.6915539923,-83.1311475458,1623.73876953
35.6915938913,-83.1310779458,1623.5135498
35.6916285923,-83.1310058457,1623.62927246
35.6916369933,-83.1309338457,1623.79272461
35.6916491913,-83.1308627457,1623.47558594
35.6917008933,-83.1308113457,1624.52746582
35.6917590913,-83.1307662457,1625.85864258
35.6918028913,-83.1307088457,1626.84997559
35.6918398933,-83.1306468457,1627.74816895
35.6918704924,-83.1305813456,1628.37939453
35.6918952914,-83.1304938456,1628.84130859
35.6919186924,-83.1304058456,1629.88708496
35.6919538924,-83.1303269456,1630.43835449
35.6919960924,-83.1302514455,1630.96984863
35.6920399934,-83.1301769455,1632.08654785
35.6920874924,-83.1300959455,1633.29931641
35.6921367934,-83.1300160455,1633.88342285
35.6921882914,-83.1299374455,1634.54736328
35.6922422935,-83.1298606454,1635.42626953
35.6922992925,-83.1297860454,1636.13354492
35.6923506915,-83.1297272454,1636.58666992
35.6924004915,-83.1296672454,1637.18530273
35.6924342925,-83.1296050454,1637.92834473
35.6924747925,-83.1295476454,1638.05224609
35.6925473925,-83.1295164454,1638.46679688
35.6925846925,-83.1294511453,1638.2142334
35.6926752936,-83.1294203453,1638.28503418
35.6927393926,-83.1293827453,1638.34118652
35.6927984926,-83.1293374453,1638.50939941
35.6928579926,-83.1292926453,1638.56030273
35.6929348916,-83.1292413453,1638.90283203
35.6930124916,-83.1291910453,1639.36450195
35.6930903927,-83.1291411453,1639.88452148
35.6931679927,-83.1290909453,1640.62084961
35.6932397927,-83.1290475453,1641.06176758
35.6933114927,-83.1290040453,1641.55310059
35.6933777917,-83.1289528452,1642.16687012
35.6934434927,-83.1288783452,1642.78674316
35.6935066928,-83.1288015452,1643.04943848
35.6935702928,-83.1287400452,1643.28613281
35.6936364928,-83.1286812452,1643.85107422
35.6936991928,-83.1286188452,1644.69506836
35.6937617928,-83.1285451452,1645.62207031
35.6938190938,-83.1284673451,1646.35778809
35.6938493929,-83.1284021451,1647.32202148
35.6938753919,-83.1283349451,1648.14575195
35.6939214929,-83.1282821451,1649.10290527
35.6940025919,-83.1282843451,1649.82067871
35.6940395939,-83.1282300451,1650.58178711
35.6940795919,-83.1281493451,1651.75915527
35.6941146939,-83.128066245,1652.8795166
35.6941417929,-83.128003845,1653.94213867
35.6941688929,-83.127941545,1654.88879395
35.6941990939,-83.127880645,1655.93408203
35.694239593,-83.127814645,1657.8079834
35.694282494,-83.1277502449,1659.18859863
35.694332092,-83.1276733449,1660.57385254
35.694384293,-83.1275982449,1661.9822998
35.694441992,-83.1275236449,1663.2010498
35.694504294,-83.1274528449,1664.49353027
35.694577293,-83.1273934449,1665.90734863
35.6946361931,-83.1273670449,1666.76379395
35.6946953941,-83.1273413449,1667.77319336
35.6947504931,-83.1273026448,1668.39501953
35.6948011921,-83.1272583448,1668.92297363
35.6948508931,-83.1272128448,1669.47692871
35.6949057931,-83.1271588448,1670.3470459
35.6949590921,-83.1271033448,1671.30444336
35.6950159921,-83.1270515448,1672.10595703
35.6950969932,-83.1269956448,1672.98376465
35.6951830922,-83.1269479448,1673.33129883
35.6952709922,-83.1269035448,1674.98083496
35.6953493932,-83.1268679448,1676.2364502
35.6954288922,-83.1268351447,1677.61218262
35.6955071923,-83.1267993447,1679.12365723
35.6955787923,-83.1267587447,1680.2121582
35.6956482933,-83.1267144447,1681.25048828
35.6957177923,-83.1266702447,1682.47839355
35.6957896923,-83.1266300447,1683.81005859
35.6958615923,-83.1265971447,1685.0098877
35.6959347924,-83.1265670447,1686.2121582
35.6960076934,-83.1265363447,1687.27246094
35.6960684934,-83.1265090447,1688.46203613
35.6961291934,-83.1264813447,1689.56030273
35.6961893944,-83.1264527447,1690.52514648
35.6962631934,-83.1264179447,1691.99755859
35.6963349934,-83.1263792447,1693.2857666
35.6963885925,-83.1263340447,1694.46252441
35.6964388935,-83.1262849446,1695.36083984
