lat,lng,ele
35.7008649942,-83.1051151387,1281.62451172
35.7008603962,-83.1052039387,1281.91491699
35.7008438942,-83.1052913387,1282.98742676
35.7008167952,-83.1053586387,1284.12890625
35.7007814962,-83.1054222388,1285.20410156
35.7007502952,-83.1054878388,1285.97851562
35.7007258962,-83.1055829388,1287.4329834
35.7007151952,-83.1056805388,1288.93737793
35.7007115942,-83.1057787389,1290.71057129
35.7007092962,-83.1058770389,1292.51928711
35.7007026952,-83.1059750389,1293.84301758
35.7006858952,-83.106071839,1294.95629883
35.7006613941,-83.106160839,1296.34802246
35.7006329941,-83.106248539,1297.87988281
35.7006001951,-83.106334839,1299.43054199
35.7005681951,-83.106419539,1301.40185547
35.7005326951,-83.1065028391,1303.67895508
35.7004787951,-83.1065748391,1304.91870117
35.7004284951,-83.1066006391,1304.19055176
35.7003786951,-83.1066274391,1303.63269043
35.7003376941,-83.1066835391,1304.9185791
35.700309894,-83.1067475391,1306.45910645
35.700285295,-83.1068128391,1307.78088379
35.700255595,-83.1069057392,1309.85412598
35.700227996,-83.1069992392,1311.76159668
35.700202295,-83.1070731392,1312.31982422
35.700174596,-83.1071463392,1313.14672852
35.700142996,-83.1072179393,1314.38171387
35.700111795,-83.1072776393,1315.65734863
35.700077595,-83.1073356393,1317.18688965
35.700040794,-83.1073921393,1318.68041992
35.6999754959,-83.1074674393,1319.90759277
35.6999048959,-83.1075379393,1320.31591797
35.6998474949,-83.1076191394,1321.53198242
35.6998184949,-83.1077050394,1323.87890625
35.6998002949,-83.1077940394,1326.30810547
35.6997797949,-83.1078825394,1327.70825195
35.6997607939,-83.1079428394,1328.16052246
35.6997415959,-83.1080031395,1328.87243652
35.6997098949,-83.1080968395,1330.17041016
35.6996798959,-83.1081910395,1331.6730957
35.6996644949,-83.1082884395,1332.4588623
35.6996715958,-83.1083711396,1333.81872559
35.6996917939,-83.1084517396,1335.36999512
35.6997167949,-83.1085310396,1337.11450195
35.6997399959,-83.1086108396,1338.40893555
35.6997589949,-83.1086771397,1339.79663086
35.6997736949,-83.1087443397,1340.73400879
35.6997649939,-83.1088402397,1341.38977051
35.6997613958,-83.1089319397,1343.35400391
35.6998255959,-83.1088673397,1345.9107666
35.6998596949,-83.1087929397,1347.42724609
35.6998823949,-83.1087140397,1348.55725098
35.6998997959,-83.1086261397,1349.66088867
35.6999113949,-83.1085372396,1350.67626953
35.6999320939,-83.1084501396,1351.49060059
35.6999693949,-83.1083659396,1352.68615723
35.7000160959,-83.1082866396,1353.75939941
35.7000715949,-83.1082127395,1354.52685547
35.700135795,-83.1081461395,1355.98449707
35.700201096,-83.1080938395,1357.10314941
35.700272595,-83.1080502395,1358.54162598
35.700333995,-83.1080240395,1359.42492676
35.700398094,-83.1080049395,1360.54528809
35.700462995,-83.1079889395,1361.83520508
35.700543396,-83.1079674395,1362.7310791
35.7006257951,-83.1079600395,1364.09985352
35.7006814961,-83.1079722395,1365.4230957
35.7007332941,-83.1079960395,1366.34069824
35.7007801961,-83.1080388395,1367.6529541
35.7008218951,-83.1080869396,1369.00854492
35.7008836951,-83.1081584396,1370.89916992
35.7009421951,-83.1082327396,1372.65258789
35.7010000961,-83.1083074396,1374.2746582
35.7010600951,-83.1083805397,1376.25500488
35.7011160961,-83.1084424397,1377.32080078
35.7011738952,-83.1085026397,1378.36828613
35.7012326952,-83.1085618397,1379.06982422
35.7012914952,-83.1086211397,1379.41015625
35.7013492952,-83.1086813398,1379.8963623
35.7014052962,-83.1087432398,1381.41296387
35.7014511952,-83.1087945398,1382.42407227
35.7014963962,-83.1088464398,1382.53747559
35.7015377952,-83.1089014398,1383.21594238
35.7015853952,-83.1089889399,1385.46569824
35.7016250952,-83.1090803399,1387.33422852
35.7016682952,-83.1091701399,1389.78820801
35.7017091952,-83.1092408399,1390.6706543
35.7017521952,-83.10931014,1392.26098633
35.7017976953,-83.10937794,1393.61547852
35.7018456963,-83.10944394,1394.61499023
35.7018966953,-83.10950774,1395.67272949
35.7019452953,-83.1095620401,1396.70788574
35.7019960953,-83.1096144401,1398.30114746
35.7020471953,-83.1096664401,1399.67993164
35.7020994943,-83.1097274401,1402.08044434
35.7021517953,-83.1097883401,1404.7010498
35.7022154943,-83.1098366401,1406.87414551
35.7023058963,-83.1098452402,1406.93688965
35.7023956964,-83.1098253402,1406.56677246
35.7024863954,-83.1098106402,1406.65893555
35.7025827954,-83.1098110402,1408.40722656
35.7026789954,-83.1098168402,1410.94628906
35.7027744944,-83.1098292402,1413.84887695
35.7028569955,-83.1098412402,1415.61950684
35.7029360965,-83.1098666402,1416.9810791
35.7029979955,-83.1099130402,1418.57287598
35.7030514965,-83.1099691402,1419.63708496
35.7030988955,-83.1100331403,1420.76574707
35.7031379955,-83.1101025403,1422.01586914
35.7031710945,-83.1101750403,1423.07971191
35.7031997965,-83.1102493403,1424.08691406
35.7032254955,-83.1103256404,1425.32202148
35.7032460965,-83.1104035404,1426.32592773
35.7032587955,-83.1104830404,1427.84753418
35.7032570955,-83.1105769404,1429.82458496
35.7032555955,-83.1106708405,1431.67907715
35.7032657955,-83.1107205405,1431.85046387
35.7032717955,-83.1107707405,1432.02478027
35.7032431955,-83.1108583405,1433.34375
35.7032146955,-83.1109238405,1434.62268066
35.7031832955,-83.1109880405,1436.26953125
35.7031586955,-83.1110550406,1437.64880371
35.7031496945,-83.1111358406,1438.37524414
35.7031489945,-83.1112174406,1438.65246582
35.7031363955,-83.1112976406,1439.66699219
35.7031130954,-83.1113467406,1440.96850586
35.7030895944,-83.1113958407,1442.15966797
35.7030689954,-83.1114661407,1443.82299805
35.7030599954,-83.1115387407,1444.88012695
35.7030658964,-83.1116066407,1445.58190918
35.7030846964,-83.1116720407,1446.75488281
35.7031226954,-83.1117240408,1447.86950684
35.7031640954,-83.1117735408,1447.81213379
35.7032008954,-83.1118563408,1449.50366211
35.7032332964,-83.1119411408,1452.04296875
35.7032712955,-83.1120206409,1454.11987305
35.7033120955,-83.1120986409,1456.06506348
35.7033557945,-83.1121751409,1457.85888672
35.7034023965,-83.1122499409,1458.89404297
35.7034518965,-83.112322841,1459.953125
35.7034935955,-83.112375141,1460.66577148
35.7035367955,-83.112426141,1460.45141602
35.7035752965,-83.112480741,1460.73352051
35.7036171945,-83.112570741,1462.13598633
35.7036487965,-83.1126650411,1463.68762207
35.7036785945,-83.1127598411,1466.18554688
35.7037071955,-83.1128526411,1467.7598877
35.7037340965,-83.1129459412,1469.24475098
35.7037638945,-83.1130383412,1471.11169434
35.7037850955,-83.1131073412,1473.40734863
35.7038155965,-83.1131723412,1476.01989746
35.7038866955,-83.1132294412,1476.7467041
35.7039357965,-83.1132529413,1476.5291748
35.7039850956,-83.1132762413,1476.28735352
35.7040372956,-83.1133233413,1477.90222168
35.7040915956,-83.1133675413,1480.47009277
35.7041682956,-83.1133741413,1481.15075684
35.7042445956,-83.1133825413,1482.40844727
35.7042802966,-83.1134056413,1482.30187988
