lat,lng,ele
35.6538132724,-83.4348771327,1980.49304199
35.6538238724,-83.4347994327,1980.95800781
35.6538433724,-83.4347234327,1981.79772949
35.6538654724,-83.4346683327,1982.29296875
35.6538906724,-83.4346144327,1982.22827148
35.6539364725,-83.4345289326,1981.29040527
35.6539753725,-83.4344402326,1980.875
35.6539877725,-83.4343746326,1980.47094727
35.6539960725,-83.4343083326,1979.99145508
35.6540070725,-83.4342258326,1979.6270752
35.6540173735,-83.4341433325,1979.31506348
35.6540274725,-83.4340552325,1978.70385742
35.6540389725,-83.4339673325,1977.37878418
35.6540578725,-83.4338911325,1975.7277832
35.6540691735,-83.4338136324,1974.91796875
35.6540528735,-83.4337247324,1975.54406738
35.6540474715,-83.4336474324,1975.89001465
35.6540469725,-83.4335699324,1975.34216309
35.6540485725,-83.4334927324,1975.14538574
35.6540046715,-83.4334172323,1976.63232422
35.6539523725,-83.4333462323,1978.3157959
35.6539398725,-83.4332723323,1978.87145996
35.6539377735,-83.4331971323,1979.00219727
35.6539208735,-83.4331243322,1979.38061523
35.6538813725,-83.4330789322,1980.57922363
35.6538415735,-83.4330336322,1981.20385742
35.6538140725,-83.4329575322,1982.96105957
35.6537996725,-83.4328777322,1983.04052734
35.6537924715,-83.4327891321,1983.40942383
35.6537625725,-83.4326985321,1982.14099121
35.6537132725,-83.4326165321,1984.45654297
35.6536532725,-83.432541932,1985.05834961
35.6535825725,-83.432473532,1986.42041016
35.6535554725,-83.432414232,1987.00976562
35.6535399715,-83.432350732,1986.08496094
35.6535369725,-83.432300832,1985.75085449
35.6535329715,-83.432251132,1985.26257324
35.6534972725,-83.4321819319,1984.87597656
35.6534545735,-83.4321162319,1987.37658691
35.6534267735,-83.4320500319,1988.02648926
35.6534031714,-83.4319821319,1988.98486328
35.6533829734,-83.4319039318,1989.08459473
35.6533612734,-83.4318262318,1989.85864258
35.6533267734,-83.4317479318,1990.01477051
35.6533100724,-83.4316811318,1989.67456055
35.6532837724,-83.4316472318,1989.34008789
