lat,lng,ele
35.5162175481,-83.3012920854,621.78527832
35.5161919481,-83.3012140854,622.56048584
35.5161473491,-83.3011907854,622.815673828
35.5160207491,-83.3012092854,622.65826416
35.515812948,-83.3012363854,622.00213623
35.515749849,-83.3012345854,622.024291992
35.515732849,-83.3011789854,622.987609863
35.51567925,-83.3011553853,624.668945312
35.51560765,-83.3011311853,626.804931641
35.5154906489,-83.3011167853,627.954711914
35.5154653489,-83.3010278853,630.090026855
35.5154221489,-83.3009274853,633.355712891
35.5153515489,-83.3008482852,635.985717773
35.5152985489,-83.3007915852,637.744018555
35.5152460489,-83.3007128852,640.016296387
35.5151856489,-83.3005678851,643.058105469
35.5151873489,-83.3004796851,644.537902832
35.5152246489,-83.3004145851,646.053894043
35.5152973499,-83.3003835851,647.985717773
35.515370449,-83.3003305851,650.117248535
35.515628349,-83.300051285,657.38494873
35.51568535,-83.299898585,660.401855469
35.5157594501,-83.2997903849,663.895446777
35.5158334491,-83.2996932849,668.024475098
35.5158795491,-83.2996394849,670.224121094
35.5159340481,-83.2996189849,672.020568848
35.5159968491,-83.2996317849,673.653259277
35.5160515501,-83.2996002849,675.416564941
