lat,lng,ele
35.544481455,-83.3001477867,656.938354492
35.544447454,-83.3000365867,656.533752441
35.544422554,-83.2999255867,656.456604004
35.544406254,-83.2998368866,657.081176758
35.544354056,-83.2997360866,657.683288574
35.544309855,-83.2996906866,657.677856445
35.544373755,-83.2996483866,658.588317871
35.544392655,-83.2996047866,659.361083984
35.544384655,-83.2995494866,660.940490723
35.544296455,-83.2994476865,663.476501465
35.544253555,-83.2993361865,665.659545898
35.544246154,-83.2992476865,666.311279297
35.544274254,-83.2991933864,667.293823242
35.544392854,-83.2991195864,669.563415527
35.5445020561,-83.2990674864,670.950439453
35.5446114541,-83.2990044864,672.283874512
35.5447208551,-83.2989413864,674.084411621
