lat,lng,ele
35.5495253557,-83.31025239,674.112304688
35.5494852557,-83.31020289,674.372131348
35.5494369557,-83.31016159,674.667663574
35.5493672556,-83.31013949,675.246520996
35.5492933556,-83.31013689,676.123962402
35.5492213546,-83.3101223899,677.305969238
35.5491562556,-83.3100766899,677.797119141
35.5490982566,-83.3100217899,677.353942871
35.5490348556,-83.3099735899,677.152893066
35.5489436546,-83.3099434899,678.294250488
35.5488484545,-83.3099279899,677.304016113
35.5487567545,-83.3098994899,675.916137695
35.5486797555,-83.3098374898,678.242370605
35.5486197555,-83.3097583898,678.439941406
35.5485668545,-83.3096741898,678.476379395
35.5485131565,-83.3095905897,678.631835938
35.5484503555,-83.3095136897,680.764282227
35.5483687545,-83.3094581897,683.081359863
35.5482880555,-83.3094337897,683.998474121
35.5481980544,-83.3093939897,684.572143555
35.5481133564,-83.3093435897,684.814880371
35.5480300554,-83.3092909896,685.248718262
35.5479436564,-83.3092437896,686.183166504
35.5478506564,-83.3092116896,687.086486816
35.5477697564,-83.3091982896,688.469482422
35.5476989553,-83.3091300896,688.316833496
35.5476463553,-83.3090513895,688.939941406
35.5476427553,-83.3089851895,688.249755859
35.5476398553,-83.3089187895,687.82989502
35.5475963553,-83.3088403895,689.152404785
35.5475498553,-83.3087976895,689.904602051
35.5474986553,-83.3087603894,690.762084961
35.5474398553,-83.3087068894,691.134521484
35.5473821563,-83.3086521894,690.670471191
35.5473214543,-83.3086008894,690.912414551
35.5472440563,-83.3085544894,691.730773926
35.5471634553,-83.3085136894,692.92199707
35.5470897542,-83.3084618893,693.43927002
35.5470374552,-83.3083991893,693.515319824
35.5469839562,-83.3083374893,694.270812988
35.5469352552,-83.3082945893,694.684997559
35.5468771562,-83.3082682893,695.305053711
35.5468136542,-83.3082884893,696.519348145
35.5467469552,-83.3083053893,696.573913574
35.5466813542,-83.3083256893,696.430175781
35.5466317561,-83.3083714893,697.197998047
35.5466126541,-83.3084260893,697.99609375
35.5466478551,-83.3084712893,699.04309082
35.5467042562,-83.3084940893,699.974487305
35.5467643562,-83.3085076893,700.740112305
35.5468339552,-83.3085436893,701.858459473
35.5468980542,-83.3085886894,702.34753418
35.5469625542,-83.3086540894,702.474121094
35.5470216562,-83.3087245894,703.290161133
35.5470782542,-83.3087859894,704.270507812
35.5471360562,-83.3088463894,705.101867676
35.5471912552,-83.3089090895,705.190490723
35.5472397553,-83.3089769895,705.292785645
35.5472767543,-83.3090517895,705.55078125
35.5473013543,-83.3091285895,706.753479004
35.5473187553,-83.3092073896,707.583679199
35.5473220563,-83.3092957896,709.234741211
35.5473122552,-83.3093838896,710.389953613
35.5473038562,-83.3094721896,710.102722168
35.5473119552,-83.3095601897,709.728088379
35.5473289552,-83.3096157897,710.280883789
35.5474116553,-83.3096263897,709.826171875
35.5475001543,-83.3096206897,709.903381348
35.5475623563,-83.3096665897,711.159423828
35.5476243563,-83.3097235897,712.467285156
35.5476964553,-83.3097255897,710.950256348
35.5477406553,-83.3097709898,711.991149902
35.5477675563,-83.3098373898,711.545410156
35.5477921563,-83.3099048898,710.93371582
35.5478273543,-83.3099540898,710.319885254
35.5478715553,-83.3099953898,710.434020996
35.5479610554,-83.3100309898,709.295898438
35.5480102554,-83.3100805899,708.511413574
35.5480477554,-83.3101398899,707.705383301
35.5480839564,-83.3101999899,707.05255127
35.5481315564,-83.3102788899,706.097106934
35.5481801564,-83.31035719,705.667724609
35.5482259554,-83.31041219,706.062988281
35.5482680544,-83.31046999,705.982177734
35.5482998554,-83.31055709,705.733215332
35.5483187554,-83.31064799,704.94744873
35.5483285554,-83.3107212901,704.60559082
35.5483327554,-83.3107950901,704.524353027
35.5483325564,-83.3108690901,704.638366699
35.5483209554,-83.3109679901,704.980224609
35.5483107554,-83.3110669902,705.422790527
35.5483079564,-83.3111230902,705.51763916
35.5483176554,-83.3111774902,704.768920898
35.5483620544,-83.3112117902,705.800537109
35.5484439554,-83.3111700902,705.830749512
35.5484949544,-83.3111280902,705.312988281
35.5485447564,-83.3110846902,705.011352539
35.5486235555,-83.3110316902,705.555236816
35.5487088555,-83.3109901902,706.541320801
35.5487752545,-83.3109677902,706.989440918
35.5488446555,-83.3109609902,707.533447266
35.5489248545,-83.3109990902,707.92175293
35.5489960545,-83.3110535902,709.115539551
35.5490700555,-83.3111070902,710.081420898
35.5491381556,-83.3111678902,710.734191895
35.5491890566,-83.3112459903,712.493347168
35.5492306546,-83.3113296903,714.079772949
35.5492868566,-83.3114037903,713.467712402
35.5493339556,-83.3114358903,713.360412598
35.5493848556,-83.3114617903,714.383178711
35.5494765556,-83.3114824904,713.877685547
35.5495710556,-83.3114857904,713.351196289
35.5496635557,-83.3115028904,714.425964355
35.5497341557,-83.3115312904,716.337646484
35.5497973557,-83.3115728904,716.206848145
35.5498346547,-83.3116219904,716.32043457
35.5498675547,-83.3116741904,716.586303711
35.5499172557,-83.3117418905,716.812194824
35.5499689557,-83.3118081905,716.149841309
35.5500212567,-83.3118739905,716.206726074
35.5500724547,-83.3119404905,716.828674316
35.5501213547,-83.3120088906,717.456787109
35.5501662557,-83.3120798906,718.130432129
35.5502100557,-83.3121624906,718.976623535
35.5502495557,-83.3122471906,719.849365234
35.5502886558,-83.3123321907,719.747619629
35.5503310558,-83.3124154907,718.566467285
35.5503747548,-83.3124953907,718.701477051
35.5504189558,-83.3125749907,719.231140137
35.5504657568,-83.3126530908,719.873535156
35.5505173558,-83.3127280908,720.643676758
35.5505761558,-83.3127975908,721.555236816
35.5506370568,-83.3128436908,721.680114746
35.5507043558,-83.3128800908,721.716003418
35.5507684548,-83.3129216909,721.556274414
35.5508160568,-83.3129808909,721.41986084
35.5508417558,-83.3130478909,721.155212402
35.5508374568,-83.3131028909,721.732421875
35.5508306558,-83.3131577909,722.416381836
35.5508426548,-83.313227791,722.659545898
35.5508731558,-83.313291491,722.336303711
35.5509146558,-83.313320491,721.68145752
