lat,lng,ele
35.5533848574,-83.3125253909,704.129455566
35.5533472564,-83.3126014909,705.02935791
35.5533441564,-83.3126619909,705.941101074
35.5533449554,-83.312722791,706.778137207
35.5533172564,-83.312816091,707.869384766
35.5532873574,-83.312908691,708.580078125
35.5532750563,-83.312989391,709.013671875
35.5532705563,-83.3130707911,709.566467285
35.5532826553,-83.3131511911,710.670715332
35.5533260573,-83.3132406911,713.139709473
35.5533101553,-83.3133133911,713.660888672
35.5532707573,-83.3133783911,713.56048584
35.5532409563,-83.3134477912,713.582641602
35.5532373563,-83.3135414912,714.299560547
35.5532373563,-83.3136352912,715.473449707
35.5532264563,-83.3137010912,715.990844727
35.5532167573,-83.3137669913,716.565856934
35.5532154573,-83.3138331913,716.831604004
