lat,lng,ele
35.6831161763,-83.4899488506,683.163024902
35.6830436763,-83.4899686506,682.56060791
35.6829625773,-83.4899653506,682.342590332
35.6828815763,-83.4899636506,682.697631836
35.6828452772,-83.4899735506,682.749633789
35.6827823752,-83.4900485507,682.200439453
35.6827337752,-83.4901357507,682.215759277
35.6826963752,-83.4901783507,682.30065918
35.6826598772,-83.4902218507,681.929748535
35.6826228752,-83.4902872507,682.387207031
35.6825850762,-83.4903521507,682.018371582
35.6825453762,-83.4903967507,681.54876709
35.6825021762,-83.4904379507,681.726135254
35.6824287761,-83.4905019508,681.452087402
35.6824014761,-83.4905604508,681.008422852
35.6823811761,-83.4906219508,680.754394531
35.6823562771,-83.4907037508,681.191162109
35.6823327761,-83.4907859508,681.989013672
35.6822950761,-83.4908623509,682.242370605
35.6822581771,-83.4909053509,682.340515137
35.6821763771,-83.4909359509,682.657043457
35.6821047771,-83.4909116509,683.193054199
35.6820658751,-83.4908759509,683.69128418
35.682025076,-83.4908429508,684.117370605
35.681952977,-83.4908406508,684.782531738
35.681894076,-83.4908645508,685.29296875
35.681843576,-83.4909035508,686.149353027
35.681797377,-83.4909573509,686.74597168
35.681751977,-83.4910201509,687.105102539
35.681713576,-83.4910873509,687.148742676
35.681686875,-83.4911518509,686.797546387
35.681665677,-83.4912183509,686.633117676
35.6816497749,-83.4912895509,686.888549805
35.6816356769,-83.491361151,687.09185791
35.6816169759,-83.491438151,687.205810547
35.6815964759,-83.491514651,687.267883301
35.6815715759,-83.491591051,686.866394043
35.6815481749,-83.4916678511,685.784301758
35.6815336769,-83.4917368511,684.64251709
35.6815232759,-83.4918065511,684.285522461
35.6815168759,-83.4918767511,684.25994873
