lat,lng,ele
35.5072487389,-83.4882740397,903.642089844
35.5072710409,-83.4883255397,903.615600586
35.5072962399,-83.4883747397,902.333984375
35.5073856399,-83.4884106398,903.13458252
35.5074365399,-83.4884536398,902.584289551
35.5074828399,-83.4885019398,902.146484375
35.5075242389,-83.4885402398,900.783752441
35.5075623399,-83.4885815398,901.306274414
35.5075021409,-83.4885743398,899.556213379
35.5074384399,-83.4885518398,899.014465332
35.5073741399,-83.4885316398,897.106628418
35.5073158389,-83.4885184398,896.134033203
35.5072574399,-83.4885059398,895.136413574
35.5071952398,-83.4884893398,894.584289551
35.5071317408,-83.4884799398,893.962036133
35.5070716408,-83.4884893398,892.730712891
35.5070140398,-83.4885094398,891.198730469
35.5069545398,-83.4885459398,888.281982422
35.5068953388,-83.4885829398,885.698669434
35.5068073408,-83.4886203398,884.187805176
35.5067142397,-83.4886214398,882.448120117
35.5066435397,-83.4885530398,880.058959961
35.5066208397,-83.4884703397,880.34564209
35.5066019387,-83.4883864397,879.24432373
35.5065711407,-83.4883415397,877.976928711
35.5065406397,-83.4882963397,876.52722168
35.5065211397,-83.4882279397,875.086425781
35.5065138397,-83.4881570396,874.115844727
35.5065089387,-83.4880859396,873.447387695
35.5065086387,-83.4880357396,873.11907959
35.5065019397,-83.4879864396,873.085693359
35.5064556397,-83.4879540396,872.746398926
35.5064040407,-83.4879283396,872.329467773
35.5063508397,-83.4878553395,872.168762207
35.5063171407,-83.4877713395,872.522094727
35.5063075407,-83.4877217395,872.692932129
35.5063011407,-83.4876716395,872.983825684
35.5062935387,-83.4875942395,873.454101562
35.5062882397,-83.4875166394,873.828918457
35.5062789397,-83.4874394394,874.162780762
35.5062673387,-83.4873660394,874.340454102
35.5062458407,-83.4872951394,874.558898926
35.5062116407,-83.4872450393,874.678405762
35.5061665397,-83.4872044393,874.779602051
35.5061860397,-83.4871283393,875.094726562
35.5062040387,-83.4870518393,875.362731934
35.5062207397,-83.4869750393,875.771179199
35.5062360387,-83.4868979392,876.141906738
35.5062480397,-83.4868098392,876.61706543
35.5062582397,-83.4867214392,876.953369141
35.5062774397,-83.4866346392,876.288879395
35.5063101387,-83.4865599392,876.844787598
35.5063507387,-83.4864891391,877.236877441
35.5063901398,-83.4864176391,877.271240234
35.5064263398,-83.4863335391,877.448852539
35.5064610398,-83.4862487391,877.658508301
35.5065034408,-83.486167639,877.788391113
35.5065524398,-83.486101539,877.921508789
35.5066052398,-83.486038439,878.332763672
35.5066649398,-83.485968339,878.723510742
35.5067253399,-83.485898839,879.134765625
35.5067729389,-83.485846339,879.303710938
35.5068205389,-83.485793739,879.694458008
35.5068639409,-83.4857377389,880.158874512
35.5069029389,-83.4856661389,880.291259766
35.5069363399,-83.4855916389,880.488952637
35.5069765399,-83.4855207389,880.672363281
35.5070337399,-83.4854615389,881.051757812
35.5071019399,-83.4854152389,881.395385742
35.50717384,-83.4853747389,882.420471191
35.507243939,-83.4853313388,882.48046875
35.50730614,-83.4852773388,882.583679199
35.50735274,-83.4852224388,883.156677246
35.50739584,-83.4851648388,883.350341797
35.50743584,-83.4851049388,883.547058105
35.507473041,-83.4850413388,883.805908203
35.507506941,-83.4849759388,884.329650879
35.5075390401,-83.4849096387,884.590148926
35.5075757401,-83.4848270387,885.063232422
35.5076098411,-83.4847432387,885.524169922
35.5076433411,-83.4846593387,886.001403809
35.5076757391,-83.4845797387,886.593933105
35.5077077401,-83.4845000386,887.013244629
35.5077384401,-83.4844197386,887.23614502
35.5077647401,-83.4843370386,887.741455078
35.5077958411,-83.4842561386,888.004638672
35.5078425392,-83.4841804385,888.359069824
35.5078889402,-83.4841330385,888.800292969
35.5079434412,-83.4840953385,889.320861816
35.5080079402,-83.4840776385,889.327819824
35.5080704392,-83.4840551385,889.540222168
35.5081064412,-83.4840148385,889.645996094
35.5081353402,-83.4839689385,890.11114502
35.5081639412,-83.4839020385,890.344299316
35.5081833402,-83.4838318385,890.280456543
35.5082026412,-83.4837615384,890.441650391
35.5082272412,-83.4836852384,890.811828613
35.5082517403,-83.4836089384,891.512817383
