lat,lng,ele
35.5323351464,-83.4542129312,1293.45141602
35.5322490454,-83.4542186312,1293.82727051
35.5321635464,-83.4542297312,1295.21203613
35.5320945464,-83.4542396312,1296.4095459
35.5320277464,-83.4542586312,1298.109375
35.5319730463,-83.4542901312,1299.30285645
35.5319450473,-83.4543389312,1299.02685547
35.5319169453,-83.4543876312,1298.13989258
35.5318622473,-83.4544190312,1298.04431152
35.5317990453,-83.4544094312,1298.79394531
35.5317365463,-83.4543931312,1300.46740723
35.5316557463,-83.4544143312,1301.91784668
35.5315821463,-83.4544546312,1302.62683105
35.5315224462,-83.4545079312,1302.46142578
35.5314627472,-83.4545612313,1302.59729004
35.5313855452,-83.4545921313,1303.94909668
35.5313082462,-83.4546227313,1305.35754395
35.5312538452,-83.4546629313,1305.55126953
35.5312049452,-83.4547098313,1305.62463379
35.5311612462,-83.4547615313,1306.79492188
35.5311202451,-83.4548320313,1307.75634766
35.5310869471,-83.4549066313,1308.08374023
35.5310486451,-83.4549787314,1308.0378418
35.5310036451,-83.4550483314,1308.24169922
35.5309468461,-83.4551079314,1308.3659668
35.5308983461,-83.4551273314,1309.15795898
35.5308470451,-83.4551379314,1309.95288086
35.5307523471,-83.4551402314,1311.17138672
35.530657646,-83.4551432314,1311.93579102
35.530588145,-83.4551649314,1312.74401855
35.530521446,-83.4551941314,1313.31213379
35.530456946,-83.4552269314,1313.79772949
35.530395246,-83.4552647314,1314.52966309
35.530338746,-83.4553099314,1316.15466309
35.530276446,-83.4553834314,1317.4029541
35.5302185459,-83.4554606315,1317.49377441
35.5301647449,-83.4555265315,1317.60778809
35.5301076459,-83.4555895315,1318.60559082
35.5300616459,-83.4556379315,1319.26757812
35.5300067469,-83.4556747315,1319.68017578
35.5299565459,-83.4556746315,1320.15991211
35.5299079459,-83.4556606315,1320.3470459
35.5298492469,-83.4556049315,1320.88330078
35.5298042448,-83.4555361314,1321.48876953
35.5297401458,-83.4554901314,1321.09875488
35.5296583458,-83.4555207314,1320.4296875
35.5296083448,-83.4555812314,1321.10754395
35.5295765458,-83.4556537315,1320.93151855
35.5295459468,-83.4557268315,1320.63244629
35.5295103458,-83.4557976315,1320.71606445
35.5294768458,-83.4558694315,1320.65930176
35.5294514458,-83.4559444315,1320.35961914
35.5294412458,-83.4560048316,1319.73876953
35.5294309447,-83.4560651316,1319.17053223
35.5294099457,-83.4561445316,1318.37084961
35.5293737447,-83.4562177316,1317.68481445
35.5293248447,-83.4562598316,1317.24316406
35.5292642457,-83.4562806316,1316.73254395
35.5291748457,-83.4562448316,1315.82287598
35.5291310457,-83.4561749316,1316.40979004
35.5290967457,-83.4560990316,1317.19543457
35.5290595467,-83.4560335315,1317.05151367
35.5290196447,-83.4559698315,1316.71801758
35.5289651457,-83.4559186315,1315.95703125
35.5289131466,-83.4558977315,1314.39624023
35.5288575466,-83.4558933315,1315.74389648
35.5288031456,-83.4559337315,1315.69042969
35.5287636446,-83.4559906315,1314.93713379
35.5287192446,-83.4560434315,1314.31323242
35.5286683466,-83.4560867315,1314.24401855
35.5286096446,-83.4561173315,1313.92590332
35.5285447446,-83.4561076315,1314.0020752
35.5284841456,-83.4560804315,1313.9128418
35.5284087455,-83.4560347315,1313.7565918
35.5283420465,-83.4559768315,1313.86352539
35.5282792455,-83.4559021315,1313.97351074
35.5282280445,-83.4558189314,1313.39575195
35.5282016455,-83.4557391314,1313.42126465
35.5281681455,-83.4556627314,1313.34997559
35.5281237455,-83.4556259314,1313.62792969
35.5280702455,-83.4556046314,1313.62854004
35.5280097445,-83.4556117314,1313.36108398
35.5279524455,-83.4556341314,1313.40808105
35.5278804454,-83.4556704314,1312.31530762
35.5278154444,-83.4557181314,1311.66308594
35.5277564454,-83.4557945314,1311.63342285
35.5276952464,-83.4558688314,1310.46728516
35.5276218454,-83.4559091314,1309.42651367
35.5275407454,-83.4559303314,1309.07214355
35.5274626443,-83.4559349314,1309.15710449
35.5273878443,-83.4559146314,1309.04699707
35.5273461453,-83.4558634314,1308.90759277
35.5273172443,-83.4558032314,1308.7520752
35.5272831453,-83.4557460314,1308.61975098
35.5272436463,-83.4557060313,1307.52050781
35.5272036453,-83.4556664313,1305.87133789
35.5271477453,-83.4555866313,1305.64318848
35.5270896463,-83.4555086313,1306.52807617
35.5270195453,-83.4554484313,1306.23010254
35.5269385443,-83.4554047312,1305.73059082
35.5268644452,-83.4554037312,1305.57434082
35.5267933462,-83.4554276312,1306.05639648
35.5267229452,-83.4554534312,1305.64331055
35.5266489462,-83.4554620312,1306.16796875
35.5265663452,-83.4554439312,1306.60253906
35.5264876452,-83.4554130312,1305.43505859
35.5264249442,-83.4553671312,1304.93322754
35.5263712441,-83.4553104312,1304.86279297
35.5263160451,-83.4552553312,1304.95349121
35.5262482441,-83.4552183311,1304.11462402
35.5261810461,-83.4552157311,1305.84436035
35.5261145461,-83.4552277311,1306.47229004
35.5260493461,-83.4552453311,1306.63110352
35.5259695441,-83.4552698311,1307.98596191
35.525894845,-83.4553067311,1310.06738281
35.525834646,-83.4553602312,1310.73217773
35.525784045,-83.4554231312,1309.51489258
35.525737945,-83.4554894312,1308.49072266
35.525703946,-83.4555427312,1308.45666504
35.525672644,-83.4555977312,1308.76428223
35.525639046,-83.4556693312,1309.51159668
35.525609545,-83.4557427313,1309.68383789
35.525578044,-83.4558153313,1309.11413574
35.5255312449,-83.4558989313,1307.3815918
35.5254780439,-83.4559785313,1306.89416504
35.5254239459,-83.4560575313,1306.85070801
35.5253743449,-83.4561395314,1306.64123535
35.5253353449,-83.4562269314,1305.68334961
35.5253150439,-83.4563034314,1305.16503906
35.5252991449,-83.4563809314,1305.35339355
35.5252764449,-83.4564567315,1305.35119629
35.5252414459,-83.4565285315,1304.84851074
35.5252014448,-83.4565977315,1304.03527832
35.5251644458,-83.4566612315,1303.26269531
35.5251252438,-83.4567233315,1303.1652832
35.5250805448,-83.4567815315,1303.51123047
35.5250161458,-83.4568457315,1303.29846191
35.5249632448,-83.4567890315,1302.32897949
35.5249689438,-83.4567229315,1302.03210449
35.5249839438,-83.4566573315,1302.27453613
35.5249683438,-83.4565748315,1301.67626953
35.5249394458,-83.4564956314,1300.51000977
35.5249258448,-83.4564129314,1299.29956055
35.5249409448,-83.4563472314,1299.37133789
35.5249555438,-83.4562815314,1299.58349609
35.5249518448,-83.4562147314,1299.8359375
35.5249402448,-83.4561487313,1300.28295898
35.5249177458,-83.4560735313,1300.80334473
35.5248881448,-83.4560006313,1300.24414062
35.5248637458,-83.4559259313,1299.91113281
35.5248522458,-83.4558537312,1300.22265625
35.5248395438,-83.4557818312,1300.99597168
35.5248085438,-83.4557056312,1300.78381348
35.5247688458,-83.4556335312,1300.20581055
35.5247359438,-83.4555581312,1299.3560791
35.5247244438,-83.4555078311,1299.61132812
35.5247109458,-83.4554581311,1300.12597656
35.5246648448,-83.4553854311,1300.10437012
35.5246055458,-83.4553226311,1300.0859375
35.5245392448,-83.4552594311,1300.81335449
35.5244636457,-83.455208031,1300.88330078
35.5243696457,-83.455187631,1300.49890137
35.5242751437,-83.455169231,1300.28894043
35.5242241447,-83.455143431,1300.89477539
35.5241772457,-83.455110931,1301.27966309
35.5241186447,-83.455047831,1301.35095215
35.5240718437,-83.4549754309,1300.79187012
35.5240399437,-83.4549011309,1299.71228027
35.5240191437,-83.4548230309,1298.61181641
35.5240034457,-83.4547436309,1297.47241211
35.5239880457,-83.4546641308,1297.23181152
35.5239763437,-83.4545744308,1296.64257812
35.5239555437,-83.4544867308,1295.57275391
35.5239212447,-83.4544319308,1293.04150391
35.5238765457,-83.4543851308,1296.25610352
35.5238209457,-83.4543513307,1295.6817627
35.5237605456,-83.4543264307,1295.03747559
35.5236852446,-83.4542996307,1294.43322754
35.5236082446,-83.4542777307,1293.50830078
35.5235271446,-83.4542662307,1291.31079102
35.5234451436,-83.4542661307,1289.63256836
35.5233631446,-83.4542658307,1288.47375488
35.5232823445,-83.4542527307,1288.1809082
35.5232130445,-83.4542105307,1288.33825684
35.5231709435,-83.4541287306,1289.50854492
35.5231418455,-83.4540407306,1290.4050293
35.5230918445,-83.4539642306,1290.00939941
35.5230114455,-83.4539287306,1288.18969727
35.5229391445,-83.4539231306,1287.48400879
35.5228675445,-83.4539133306,1286.3470459
35.5227927445,-83.4538539305,1285.38745117
35.5227351444,-83.4537770305,1284.18066406
35.5227092444,-83.4537134305,1283.7935791
35.5226905454,-83.4536471305,1283.9074707
35.5226578444,-83.4535872305,1283.46801758
35.5226134444,-83.4535527304,1283.69628906
35.5225587444,-83.4535841304,1283.91442871
35.5225038444,-83.4536626305,1283.2512207
35.5224562444,-83.4537464305,1281.70837402
35.5224285454,-83.4537786305,1281.53942871
35.5223877444,-83.4538434305,1280.37475586
35.5223522434,-83.4539115305,1278.54748535
35.5223074434,-83.4539734305,1277.04040527
35.5222473453,-83.4540214306,1276.87036133
35.5221795453,-83.4540577306,1276.82409668
35.5221179433,-83.4540820306,1276.16052246
35.5220527433,-83.4540870306,1275.41833496
35.5219961453,-83.4540564306,1274.48083496
35.5219552453,-83.4540068305,1273.57348633
35.5219454443,-83.4539356305,1273.95446777
35.5219491453,-83.4538633305,1273.69348145
35.5219577453,-83.4537919305,1273.08886719
35.5219610433,-83.4537203305,1272.66369629
35.5219309453,-83.4536378304,1271.87585449
35.5218831443,-83.4535636304,1272.4050293
35.5218288443,-83.4535054304,1270.98950195
35.5217634453,-83.4534597304,1268.84118652
35.5216940442,-83.4534202303,1269.98962402
35.5216254432,-83.4533793303,1271.56359863
35.5215799442,-83.4533519303,1271.54125977
35.5215365452,-83.4533215303,1270.56896973
35.5214874432,-83.4532449303,1270.25976562
35.5214313442,-83.4531749303,1267.62719727
35.5213412442,-83.4531722303,1269.85375977
35.5212537452,-83.4532005303,1269.70068359
35.5211760451,-83.4532503303,1268.67834473
35.5211041451,-83.4533083303,1267.61572266
35.5210296441,-83.4533694303,1266.04833984
35.5209617431,-83.4534376303,1263.31884766
35.5209194451,-83.4535232303,1263.26318359
35.5209193441,-83.4536060304,1263.14428711
35.5209250441,-83.4536888304,1262.04504395
35.5209269441,-83.4537733304,1260.98730469
35.5209268431,-83.4538577304,1260.0769043
35.5208930441,-83.4539303305,1259.40112305
35.520829945,-83.4539284304,1258.55895996
35.520769144,-83.4538871304,1257.7611084
35.520714643,-83.4538367304,1258.07727051
35.520642345,-83.4537911304,1257.9777832
35.520566645,-83.4537514304,1257.59631348
35.520487644,-83.4537188304,1256.15148926
35.520405643,-83.4536948304,1253.91052246
35.5203212429,-83.4536814303,1254.02539062
35.5202401439,-83.4536789303,1255.47900391
35.5202017429,-83.4537404304,1254.06176758
35.5201743439,-83.4538092304,1252.05603027
35.5201206439,-83.4538775304,1250.47119141
35.5200723429,-83.4539495304,1249.88549805
35.5200615439,-83.4540277304,1248.76513672
35.5200422429,-83.4541029305,1247.60180664
35.5199694439,-83.4541338305,1245.23461914
35.5199068438,-83.4540898304,1244.08520508
35.5198641438,-83.4540221304,1244.03198242
35.5198106438,-83.4539635304,1243.42492676
35.5197633438,-83.4539399304,1242.83813477
35.5197122438,-83.4539275304,1242.49230957
35.5196412438,-83.4539513304,1242.06298828
35.5195758438,-83.4539895304,1241.28771973
35.5194990438,-83.4540188304,1240.43591309
35.5194301437,-83.4540622304,1238.8302002
35.5193944427,-83.4541314304,1238.08203125
35.5193641427,-83.4542035304,1237.71728516
35.5193188437,-83.4542737305,1238.39367676
35.5192666427,-83.4543388305,1238.72924805
35.5192069437,-83.4543972305,1238.89013672
35.5191539437,-83.4544368305,1239.42004395
35.5190972427,-83.4544710305,1239.70422363
35.5190124436,-83.4545062305,1239.91027832
35.5189235436,-83.4545294305,1239.79919434
35.5188342426,-83.4545512305,1239.59423828
35.5187566436,-83.4545652305,1239.57214355
35.5186787436,-83.4545779305,1239.85266113
35.5186076426,-83.4546105305,1240.24023438
35.5185561445,-83.4546742305,1240.72363281
35.5185212435,-83.4547486306,1241.22546387
35.5184933435,-83.4548261306,1241.96264648
35.5184664425,-83.4549039306,1242.94116211
35.5184449445,-83.4549812306,1243.40612793
35.5184183435,-83.4550567306,1243.73535156
35.5183499435,-83.4551195306,1245.08544922
35.5182649435,-83.4551598307,1246.92041016
35.5181897434,-83.4552152307,1248.40991211
35.5181443434,-83.4552835307,1248.91918945
35.5181057434,-83.4553559307,1249.57666016
35.5180741434,-83.4554282307,1250.01953125
35.5180483444,-83.4555029307,1250.36621094
35.5180226434,-83.4555775308,1250.35119629
35.5179915424,-83.4556501308,1251.09545898
35.5179621424,-83.4557109308,1252.04821777
35.5179304424,-83.4557705308,1252.50488281
35.5178888444,-83.4558234308,1253.16967773
35.5178257433,-83.4558553308,1254.13781738
35.5177558433,-83.4558702308,1254.48352051
35.5176890433,-83.4558945308,1254.70922852
35.5176157433,-83.4559477308,1256.12329102
35.5175514423,-83.4560116309,1258.39440918
35.5175075433,-83.4560744309,1259.71716309
35.5174724443,-83.4561425309,1260.58532715
35.5174415422,-83.4562127309,1260.01525879
35.5174107442,-83.4562829309,1259.11132812
35.5173794442,-83.456368731,1258.05981445
35.5173542422,-83.456456531,1256.26647949
35.5173245422,-83.456542831,1256.05310059
35.5172776432,-83.456620831,1260.26452637
35.5172303432,-83.456667031,1263.8671875
35.5171767432,-83.456705931,1266.48730469
35.5171336432,-83.4567335311,1267.42797852
35.5170857442,-83.4567472311,1267.03381348
35.5170456431,-83.456685831,1267.36730957
35.5170254421,-83.456613131,1268.12219238
35.5170183441,-83.456546531,1269.55334473
35.5170100421,-83.456480231,1270.82250977
35.5169651431,-83.4563925309,1271.17016602
35.5168961431,-83.4563224309,1272.29736328
35.5168167421,-83.4563065309,1272.61254883
35.5167348441,-83.4563181309,1272.96679688
35.5166529431,-83.4563150309,1274.01953125
35.5165725421,-83.4562824309,1275.03210449
35.5165013431,-83.4562332309,1273.77990723
35.516449744,-83.4561483308,1274.46838379
35.516396543,-83.4560646308,1275.87475586
35.516332743,-83.4560327308,1276.23864746
35.516261942,-83.4560204308,1277.27880859
35.516190342,-83.4560142308,1278.95031738
35.516092542,-83.4560195308,1281.44702148
35.515998343,-83.4560472308,1283.22192383
35.5159076429,-83.4560853308,1283.36804199
35.5158175429,-83.4561247308,1282.59301758
35.5157249439,-83.4561576308,1283.23181152
35.5156281439,-83.4561735308,1284.69250488
35.5155510429,-83.4561788308,1284.98095703
35.5154750438,-83.4561688308,1285.05529785
35.5154211418,-83.4561296308,1285.62719727
35.5153685428,-83.4560884308,1286.34265137
35.5152944428,-83.4560607307,1286.60522461
35.5152160428,-83.4560507307,1286.76989746
35.5151599438,-83.4560517307,1287.03552246
35.5151075438,-83.4560694307,1287.50830078
35.5150757428,-83.4561100307,1288.10583496
35.5150516418,-83.4561559308,1288.41638184
35.5150089427,-83.4562454308,1289.16784668
35.5149847427,-83.4563413308,1289.38427734
35.5149836417,-83.4563964308,1289.42150879
35.5149192427,-83.4564606308,1290.81323242
35.5148557417,-83.4565201309,1291.63684082
35.5147906427,-83.4565779309,1291.77856445
35.5147211437,-83.4566355309,1291.55480957
35.5146502437,-83.4566914309,1291.66186523
35.5145798426,-83.4567479309,1292.12023926
35.5145239436,-83.4567849309,1293.51843262
35.5144789436,-83.4568330309,1294.6784668
35.5144782436,-83.4568992309,1293.79333496
35.5144853416,-83.456965531,1292.6953125
35.5144727426,-83.457046031,1292.46838379
35.5144487426,-83.457124131,1294.05847168
35.5144254426,-83.457202331,1296.01147461
35.5144157416,-83.4572832311,1297.29333496
35.5144340426,-83.4573689311,1297.43273926
35.5144629436,-83.4574519311,1296.54431152
35.5144736426,-83.4575386311,1296.87670898
35.5144644426,-83.4575948311,1297.40148926
35.5144443426,-83.4576479312,1297.60668945
35.5143866416,-83.4576901312,1298.3927002
35.5143168425,-83.4577102312,1298.87719727
35.5142221425,-83.4577169312,1299.58703613
35.5141276425,-83.4577044312,1300.38977051
35.5140432425,-83.4576826311,1301.33654785
35.5139625415,-83.4576498311,1301.97814941
35.5138840425,-83.4576117311,1301.92492676
35.5138057424,-83.4575733311,1301.83239746
35.5137368434,-83.4575419311,1302.2052002
35.5136682414,-83.4575099311,1303.03649902
35.5136014414,-83.4574745311,1303.9798584
35.5135382424,-83.457432931,1305.26147461
35.5134820424,-83.457390631,1306.02941895
35.5134319434,-83.457341431,1306.51831055
35.5134001424,-83.457279431,1307.16650391
35.5133774424,-83.457213231,1307.97265625
35.5133456434,-83.4571513309,1308.84619141
35.5132733423,-83.4571038309,1309.29772949
35.5131872413,-83.4570880309,1310.38562012
35.5130997423,-83.4570811309,1310.67492676
35.5130139433,-83.4570640309,1311.48425293
35.5129300423,-83.4570296309,1311.88684082
35.5128475413,-83.4569917309,1311.94921875
35.5127637432,-83.4569571309,1312.22094727
35.5126921432,-83.4569329308,1312.23461914
35.5126192432,-83.4569452308,1312.74829102
35.5125558422,-83.4569839309,1314.05004883
35.5125116412,-83.4570584309,1314.71228027
35.5124716432,-83.4571356309,1314.77038574
35.5124072422,-83.4571998309,1315.21508789
35.5123539422,-83.4572129309,1315.56604004
35.5122989421,-83.4572075309,1315.76403809
35.5122302421,-83.4571648309,1316.78479004
35.5121655411,-83.4571153309,1317.60974121
35.5120742421,-83.4570793309,1317.6619873
35.5119773421,-83.4570654308,1318.26025391
35.5118973431,-83.4570837308,1318.01733398
35.511823042,-83.4571194309,1319.04492188
35.511750041,-83.4571577309,1319.39746094
35.511663342,-83.4572045309,1320.49694824
35.511576841,-83.4572517309,1322.0098877
35.511509741,-83.4572852309,1323.54016113
35.511440442,-83.4573137309,1324.71569824
35.5113584419,-83.4573217309,1325.34313965
35.5112757429,-83.4573187309,1326.14050293
35.5111965409,-83.4573393309,1327.3190918
35.5111515419,-83.4573832309,1328.30029297
35.5111046419,-83.4574247309,1328.73181152
35.5110416419,-83.4574295309,1328.92956543
35.5109783419,-83.4574319309,1328.45092773
35.5109105408,-83.4574880309,1328.85302734
35.5108612428,-83.4575622309,1329.55578613
35.5108118418,-83.4576363309,1330.4453125
35.5107613418,-83.457700131,1331.33068848
35.5107114408,-83.457764431,1332.58544922
35.5106637428,-83.457830331,1333.39916992
35.5106124418,-83.457911431,1334.52978516
35.5105612407,-83.457992531,1335.45898438
35.5105042427,-83.4580670311,1335.92419434
35.5104499427,-83.4581435311,1336.65637207
35.5104115417,-83.4582291311,1337.29260254
35.5103813407,-83.4583181311,1337.76757812
35.5103455407,-83.4584049311,1338.87158203
35.5103100407,-83.4584795312,1339.87463379
35.5102615417,-83.4585456312,1340.29589844
35.5101977416,-83.4585767312,1340.5402832
35.5101356416,-83.4585308312,1341.44836426
35.5100730416,-83.4584581311,1342.26721191
35.5100124426,-83.4583837311,1343.6842041
35.5099608416,-83.4583354311,1344.29602051
35.5099055416,-83.4582914311,1344.99658203
35.5098437406,-83.4582573311,1345.4831543
35.5097867416,-83.4582376311,1346.12573242
35.5097270426,-83.4582317311,1346.92016602
35.5096526405,-83.4582764311,1349.01599121
35.5095809415,-83.4583264311,1349.56298828
