lat,lng,ele
35.4994604455,-83.3036133851,604.669128418
35.4994271455,-83.3035410851,604.904724121
35.4993988445,-83.3034666851,604.817260742
35.4993757455,-83.303390485,604.734619141
35.4993579445,-83.303312885,604.756530762
35.4993461445,-83.303214185,604.584960938
35.4993441465,-83.303114685,604.949584961
35.4993463455,-83.3030152849,605.098266602
35.4993476465,-83.3029157849,605.198852539
35.4993481455,-83.3028168849,605.329101562
35.4993507455,-83.3027179848,605.631530762
35.4993546455,-83.3026191848,606.021057129
