lat,lng,ele
35.5448796551,-83.3005341869,662.80871582
35.5449247551,-83.3005354869,664.261535645
35.5450317551,-83.3005936869,667.424438477
35.5451568561,-83.3006523869,670.906982422
35.5452096542,-83.300720087,673.590332031
35.5452991542,-83.300755687,676.450866699
35.5453802562,-83.300758087,678.728942871
35.5454784542,-83.300804987,681.96307373
35.5456301562,-83.300886487,686.446716309
35.5457552553,-83.300945287,689.531494141
35.5458534553,-83.3009921871,691.553100586
35.5459513563,-83.3010611871,694.918823242
35.5459955543,-83.3011064871,696.853515625
35.5460852563,-83.3011311871,698.247253418
35.5460305553,-83.3011626871,698.804260254
