lat,lng,ele
35.602177262,-83.4265889272,1469.45166016
35.602172563,-83.4265907272,1469.46325684
35.602152063,-83.4265997272,1469.51013184
35.602131862,-83.4266096272,1469.54382324
35.602113362,-83.4266196272,1469.55065918
35.602095362,-83.4266306273,1469.515625
35.602072962,-83.4266477273,1469.29382324
35.602049662,-83.4266623273,1468.86547852
35.602025261,-83.4266639273,1468.36218262
35.602000862,-83.4266603273,1467.91186523
35.601977563,-83.4266601273,1467.2355957
35.601998761,-83.4266791273,1467.36096191
35.602021962,-83.4266946273,1467.50366211
35.602044761,-83.4267093273,1467.58337402
35.602068461,-83.4267219273,1467.65722656
35.602093361,-83.4267298273,1467.88928223
35.602111561,-83.4267287273,1468.12878418
35.602129363,-83.4267309273,1468.25793457
35.602140863,-83.4267456273,1468.06921387
35.602146762,-83.4267646273,1467.53222656
35.602131462,-83.4267851273,1466.6192627
35.602110062,-83.4267966273,1465.80822754
35.602088762,-83.4267965273,1465.37145996
35.602068162,-83.4267892273,1465.21789551
35.602047162,-83.4267836273,1464.96191406
35.602021663,-83.4267837273,1464.40527344
35.601996262,-83.4267873273,1463.70214844
35.601971062,-83.4267925273,1462.92321777
35.601945963,-83.4267979273,1462.49536133
35.601920662,-83.4268019273,1462.20263672
35.601898963,-83.4268055273,1462.09313965
35.601877263,-83.4268103273,1462.04016113
35.601855561,-83.4268143273,1462.06835938
35.601833763,-83.4268150273,1462.11096191
35.6018122619,-83.4268097273,1462.06665039
35.6017932609,-83.4267969273,1461.96740723
35.6017760619,-83.4267806273,1461.45056152
35.6017591619,-83.4267639273,1460.78259277
35.6017405609,-83.4267481273,1459.79870605
35.6017237619,-83.4267297273,1458.65283203
35.6017181609,-83.4266991272,1457.93701172
35.6017249619,-83.4266681272,1457.92419434
35.6017345619,-83.4266382272,1458.1920166
35.6017428619,-83.4266077272,1458.41906738
35.6017448619,-83.4265758272,1458.31591797
35.6017411609,-83.4265530272,1458.07922363
35.6017356629,-83.4265306272,1457.82080078
35.6017282619,-83.4265091272,1457.49816895
35.6017136609,-83.4264834272,1456.83618164
35.6016953619,-83.4264614272,1455.74914551
35.6016761619,-83.4264408272,1454.6505127
35.6016579619,-83.4264187272,1453.6171875
35.6016442629,-83.4263995272,1452.85192871
35.6016308629,-83.4263801272,1452.13879395
35.6016178619,-83.4263603271,1451.40466309
35.6016054619,-83.4263399271,1450.61608887
35.6015923619,-83.4263185271,1449.82800293
35.6015798619,-83.4262967271,1449.01794434
35.6015707629,-83.4262726271,1448.28063965
35.6015677619,-83.4262432271,1447.83483887
35.6015695609,-83.4262137271,1447.76452637
35.6015724609,-83.4261843271,1447.64416504
35.6015767619,-83.4261539271,1447.56396484
35.6015828619,-83.4261239271,1447.52954102
35.6015889629,-83.4260940271,1447.46984863
35.6015929619,-83.4260636271,1447.20202637
35.6015946619,-83.426037927,1446.85070801
35.6015953629,-83.426012127,1446.34130859
35.6015945619,-83.425986327,1445.80895996
35.6015921629,-83.425958227,1445.00231934
35.6015866619,-83.425930927,1444.06079102
35.6015780619,-83.425908627,1442.84814453
35.6015600619,-83.425908027,1441.53857422
