lat,lng,ele
35.7077468858,-83.3801372199,516.194702148
35.7077964858,-83.3800792199,515.712280273
35.7078368868,-83.3800130199,516.134460449
35.7078882858,-83.3799585199,516.445007324
35.7079477868,-83.3799881199,516.304382324
35.7079978858,-83.3800321199,516.104553223
35.7080390858,-83.3800845199,516.003723145
35.7080690858,-83.3801675199,515.703125
35.7080835868,-83.38025502,515.43359375
35.7081059868,-83.38034072,514.919006348
35.7081412858,-83.38041132,514.331115723
35.7081831859,-83.38047832,514.069091797
35.7082281859,-83.38054332,513.686706543
35.7082727869,-83.3806086201,513.348876953
35.7083248869,-83.3806677201,513.104309082
35.7083782869,-83.3806972201,512.755187988
35.7084318859,-83.3807262201,512.31427002
35.7084816859,-83.3807816201,511.917266846
35.7085287869,-83.3808396201,511.495788574
35.7085844849,-83.3808899202,511.067840576
35.7086442859,-83.3809353202,510.651062012
35.7087063859,-83.3809775202,510.60067749
35.708779085,-83.3810195202,510.425750732
35.708854386,-83.3810568202,510.151245117
35.708929386,-83.3810946202,509.944519043
35.709007786,-83.3811354203,509.694885254
35.709085885,-83.3811768203,509.449859619
35.709161186,-83.3812231203,509.039306641
35.709233086,-83.3812685203,508.517944336
35.709294386,-83.3813265203,507.962585449
35.709320586,-83.3814043204,507.823150635
35.7093452871,-83.3814828204,507.317901611
35.7093863861,-83.3815377204,506.801330566
35.7094376871,-83.3815833204,506.421173096
35.7094958851,-83.3816199204,506.031433105
35.7095840851,-83.3816455204,505.731445312
35.7096753861,-83.3816584205,506.104644775
35.7097601851,-83.3816757205,505.998962402
35.7098450861,-83.3816925205,505.569702148
35.7099305852,-83.3817059205,505.171386719
35.7100167872,-83.3817128205,504.841827393
35.7100982872,-83.3817124205,504.728973389
35.7101795862,-83.3817070205,504.361022949
35.7102605872,-83.3816979205,503.934692383
35.7103269862,-83.3816850205,503.513916016
35.7103927863,-83.3816695205,503.182678223
35.7104596873,-83.3816596205,503.032836914
35.7105317863,-83.3816606205,502.740203857
35.7106037863,-83.3816639205,502.60635376
35.7106961873,-83.3816606205,502.322418213
35.7107881863,-83.3816519205,501.844787598
35.7108798864,-83.3816398205,501.272644043
35.7109713874,-83.3816264205,501.047973633
35.7110628864,-83.3816134205,500.853363037
35.7111547874,-83.3816030205,500.602874756
35.7112500854,-83.3815987205,500.299224854
35.7113444865,-83.3815865205,500.030273438
35.7114179865,-83.3815574205,499.977081299
35.7114898865,-83.3815245205,499.86038208
35.7115824855,-83.3814905205,499.813140869
35.7116762865,-83.3814602205,499.629394531
35.7117711866,-83.3814334205,499.156280518
35.7118453876,-83.3814099205,499.312103271
35.7119201876,-83.3813884205,499.264343262
35.7119974866,-83.3813849205,498.872558594
35.7120515856,-83.3814018205,498.507232666
