lat,lng,ele
35.673432073,-83.4970601521,770.868164062
35.673388475,-83.4969925521,770.91619873
35.673332474,-83.4969281521,770.346923828
35.673271774,-83.4968681521,770.15234375
35.673221174,-83.4967995521,770.27142334
35.673190075,-83.496725252,770.473449707
35.673168874,-83.496647552,771.009338379
35.673154875,-83.496568152,772.094421387
35.673146474,-83.496487952,773.552429199
35.673145174,-83.4963995519,775.174194336
35.673151473,-83.4963112519,776.028991699
35.673160975,-83.4962232519,776.281921387
35.673167574,-83.4961566519,776.582641602
35.673175975,-83.4960902518,777.28302002
35.673192174,-83.4960253518,777.919799805
35.673220574,-83.4959599518,778.18762207
