lat,lng,ele
35.465647322,-83.7204462052,521.361938477
35.4657060221,-83.7203907052,522.019958496
35.4657482221,-83.7203218052,523.161560059
35.4657674221,-83.7202674052,524.078552246
35.4658130211,-83.7202469052,523.815246582
35.4658578221,-83.7202594052,524.918029785
35.4659013221,-83.7203004052,525.667663574
35.4659461221,-83.7203395052,525.518310547
35.4660091221,-83.7203417052,525.937927246
35.4660819221,-83.7203111052,526.496398926
35.4661280221,-83.7202685052,527.22442627
35.4661903222,-83.7202585052,527.111633301
35.4662543232,-83.7202618052,526.918151855
35.4663180222,-83.7202554052,527.379394531
35.4663809212,-83.7202440052,528.080932617
35.4664430222,-83.7202199052,529.157165527
35.4665022222,-83.7201892052,530.266479492
35.4665630232,-83.7201620052,531.304870605
35.4666265223,-83.7201421052,531.819580078
35.4666543223,-83.7201100052,533.164245605
35.4666646233,-83.7200552052,534.270568848
35.4666383223,-83.7200213051,535.388122559
35.4666025223,-83.7200091051,536.243469238
35.4665389222,-83.7200219051,536.98651123
35.4664757222,-83.7200379051,537.40838623
35.4664219222,-83.7200250051,538.149902344
35.4663778222,-83.7199795051,539.982299805
35.4663526222,-83.7199015051,542.503234863
35.4663420222,-83.7198465051,543.232177734
35.4663370222,-83.7197908051,543.967041016
35.4663394222,-83.719724605,545.088012695
35.4663490222,-83.719659005,546.358276367
35.4663697212,-83.719581605,547.578735352
35.4663975212,-83.719506405,548.830627441
35.4664286222,-83.719435005,549.803710938
35.4664638223,-83.7193654049,550.085449219
35.4664932223,-83.7193174049,550.892272949
35.4665201223,-83.7192681049,552.465759277
35.4665353213,-83.7192137049,552.702819824
35.4665496233,-83.7191590049,552.185119629
35.4665826223,-83.7190940049,552.523620605
35.4666156223,-83.7190290049,553.796142578
35.4666331223,-83.7189751048,554.433227539
35.4666451233,-83.7189198048,555.39831543
35.4666456223,-83.7188592048,556.704101562
35.4666478223,-83.7187987048,557.786743164
35.4666743213,-83.7187382048,558.907043457
35.4667046233,-83.7186794048,559.927612305
35.4667177233,-83.7186242047,560.904846191
35.4667341223,-83.7185701047,561.964111328
35.4667989214,-83.7184952047,563.239929199
35.4668381224,-83.7184149047,564.624633789
35.4668647234,-83.7183294047,566.315673828
35.4668947234,-83.7182450046,567.551879883
35.4669342224,-83.7181596046,569.543334961
35.4669772234,-83.7180760046,571.423095703
35.4670265224,-83.7179960046,573.671569824
35.4670751224,-83.7179312046,574.879638672
35.4671285225,-83.7178702045,576.140441895
35.4671862235,-83.7178133045,577.702026367
35.4672482235,-83.7177611045,579.56842041
35.4672932225,-83.7177285045,580.289489746
35.4673397225,-83.7176981045,580.770812988
35.4673938225,-83.7176656045,580.942565918
35.4674493215,-83.7176357045,582.636657715
