lat,lng,ele
35.6856436756,-83.5217696601,564.489562988
35.6856900756,-83.5217048601,565.840576172
35.6857006756,-83.5216503601,566.625366211
35.6857013766,-83.5215946601,567.391967773
35.6856903756,-83.5215338601,568.357055664
35.6856859756,-83.52147266,569.237487793
35.6857233766,-83.52140756,571.037353516
35.6857899746,-83.52140336,572.714050293
35.6858584756,-83.52141186,574.018005371
35.6859312756,-83.52138096,575.874267578
35.6859699757,-83.52132476,576.908508301
35.6859968757,-83.52126156,577.183227539
35.6860283747,-83.52117496,576.816772461
35.6860546757,-83.5210865599,576.312744141
35.6860746747,-83.5210210599,575.494995117
35.6860934767,-83.5209551599,575.160766602
35.6861061757,-83.5208942599,574.929504395
35.6861230757,-83.5208345599,575.121643066
35.6861478747,-83.5207892599,575.065917969
35.6861789757,-83.5207479599,575.140686035
35.6862398767,-83.5207033598,574.868408203
35.6863105747,-83.5206756598,574.386474609
35.6863793758,-83.5206437598,574.20300293
35.6864256758,-83.5206128598,574.46661377
35.6864708758,-83.5205803598,574.617126465
35.6865277768,-83.5205403598,575.03704834
35.6865808768,-83.5204954598,575.642089844
35.6866210758,-83.5204493598,575.975097656
35.6866549768,-83.5203983598,576.263671875
35.6866786768,-83.5203327598,577.10144043
35.6867027758,-83.5202672597,578.359802246
35.6867583759,-83.5202084597,579.69934082
35.6868133759,-83.5201492597,580.537414551
35.6868343749,-83.5201008597,580.938964844
35.6868515749,-83.5200509597,581.278808594
35.6868803749,-83.5199635597,582.035705566
35.6869176769,-83.5199218597,582.551940918
35.6869630769,-83.5198887597,582.74786377
35.6870445769,-83.5198518596,583.18927002
35.6871268759,-83.5198165596,584.817260742
35.687174176,-83.5197811596,585.950500488
35.687218576,-83.5197421596,586.931274414
35.687261176,-83.5197004596,587.824462891
35.687301477,-83.5196563596,588.641540527
35.687358876,-83.5195820596,589.414794922
35.687412775,-83.5195051596,589.83605957
35.687462975,-83.5194327595,590.680908203
35.687511777,-83.5193593595,591.555053711
35.6875596761,-83.5192854595,592.505310059
35.6876071761,-83.5192112595,593.192077637
35.6876548761,-83.5191371595,594.149291992
35.6876971771,-83.5190724595,594.867797852
35.6877386771,-83.5190072594,595.631958008
35.6877824771,-83.5189240594,596.225769043
35.6878322761,-83.5188444594,596.656860352
35.6878908751,-83.5187955594,597.662353516
35.6879513762,-83.5187487594,598.273864746
35.6879898772,-83.5187069594,598.602172852
35.6880253772,-83.5186626594,599.116577148
35.6880735762,-83.5185856593,600.67010498
35.6881145752,-83.5185044593,601.601501465
35.6881565762,-83.5184237593,602.682739258
35.6881869762,-83.5183632593,603.437316895
35.6882173762,-83.5183028593,603.594482422
35.6882593752,-83.5182501592,603.757263184
35.6883349763,-83.5182211592,604.886962891
35.6884136773,-83.5181997592,606.247924805
35.6884801753,-83.5181533592,606.773254395
35.6885405753,-83.5180989592,607.075256348
35.6886060773,-83.5180511592,608.223022461
35.6886771763,-83.5180196592,609.261047363
35.6887517774,-83.5179975592,609.759216309
35.6888280764,-83.5179825592,610.174316406
35.6889051774,-83.5179721592,610.718933105
35.6889817764,-83.5179621592,611.048522949
35.6890585774,-83.5179659592,611.187683105
35.6891225754,-83.5179979592,611.535522461
35.6891832754,-83.5180361592,612.221557617
35.6892307765,-83.5180634593,612.627502441
35.6892814765,-83.5180834593,613.185241699
35.6893717775,-83.5180752593,612.708984375
35.6894539755,-83.5180225593,612.945739746
35.6895111755,-83.5179453592,614.356994629
35.6895564775,-83.5178600592,615.384216309
35.6895838765,-83.5178052592,616.435119629
35.6896128765,-83.5177513592,617.487915039
35.6896773756,-83.5176815592,619.444641113
35.6897419766,-83.5176117591,621.357727051
35.6897793766,-83.5175299591,621.973388672
35.6898174766,-83.5174484591,622.549560547
35.6898803766,-83.5173827591,623.497802734
35.6899463776,-83.5173198591,624.762145996
35.6899975756,-83.5172441591,625.508666992
35.6900486757,-83.517168459,625.890625
35.6901045777,-83.517105859,626.421875
35.6901660767,-83.517048659,626.926452637
35.6902325767,-83.516997459,628.157653809
