lat,lng,ele
35.6392714815,-83.1279897418,910.463500977
35.6392920805,-83.1280716418,910.686035156
35.6392955805,-83.1281559418,910.614562988
35.6392646815,-83.1282430418,909.114624023
35.6392384815,-83.1283311419,910.035949707
35.6392496815,-83.1283815419,910.66998291
35.6392636815,-83.1284312419,911.329162598
35.6392660825,-83.1285307419,911.247009277
35.6392690805,-83.128630142,911.282043457
35.6392943815,-83.128702242,911.685546875
35.6393288815,-83.128770642,911.893798828
35.6393554815,-83.128842242,911.787353516
35.6393630815,-83.128933142,912.316711426
35.6393556805,-83.1290242421,913.77520752
35.6393445815,-83.1291149421,914.901550293
35.6393400815,-83.1292062421,915.71472168
35.6393508805,-83.1293034422,917.150512695
35.6393693805,-83.1293995422,918.858703613
35.6393833825,-83.1294964422,920.263244629
35.6393782825,-83.1295938422,920.862121582
35.6393437825,-83.1296808423,920.976806641
35.6393120815,-83.1297687423,922.604980469
35.6393142815,-83.1298429423,923.844116211
35.6393278805,-83.1299162423,925.558898926
35.6393351805,-83.1299902424,927.18762207
35.6393227804,-83.1300740424,927.894104004
35.6392982814,-83.1301552424,927.454284668
35.6392728804,-83.1302361424,927.815307617
35.6392572814,-83.1303194424,929.14831543
35.6392525814,-83.1303911425,930.280761719
35.6392546804,-83.1304629425,930.826538086
35.6392668814,-83.1305308425,931.868835449
35.6392883814,-83.1305963425,933.719421387
35.6393147804,-83.1306411425,934.530212402
35.6393408824,-83.1306861426,935.114685059
35.6393555824,-83.1307644426,935.257385254
35.6393741804,-83.1308415426,935.645507812
35.6394202814,-83.1308846426,937.1328125
35.6394719804,-83.1309214426,938.146728516
35.6395272805,-83.1309733427,938.87890625
35.6395789825,-83.1310288427,940.789428711
35.6396221805,-83.1310911427,941.375915527
35.6396466815,-83.1311537427,941.014648438
35.6396648815,-83.1312187427,941.013793945
35.6396909815,-83.1312806428,941.133850098
35.6397349805,-83.1313316428,942.572998047
35.6397792815,-83.1313824428,944.239746094
35.6398117815,-83.1314564428,944.922119141
35.6398299815,-83.1315354428,944.470031738
35.6398444815,-83.1316152429,944.481567383
35.6398639815,-83.1316938429,944.843322754
35.6398925805,-83.1317780429,946.030761719
35.6399240815,-83.1318611429,947.233764648
35.6399524815,-83.131929043,948.04876709
35.6399847815,-83.131995243,948.755615234
35.6400296805,-83.132049843,950.000854492
35.6400792815,-83.132100543,951.755065918
35.6401080815,-83.132164143,951.794677734
35.6401070815,-83.1322193431,949.482055664
35.6400606805,-83.1322954431,951.279785156
35.6400313815,-83.1323816431,952.65246582
35.6400124815,-83.1324708431,953.077331543
35.6399934825,-83.1325616432,952.79888916
35.6399798815,-83.1326534432,952.79699707
35.6399805815,-83.1327460432,953.257385254
35.6400000815,-83.1328242432,954.066955566
35.6400228825,-83.1329017433,954.383605957
35.6400362825,-83.1329924433,954.841674805
35.6400422815,-83.1330838433,955.18927002
35.6400460815,-83.1331754433,956.173583984
35.6400524815,-83.1332669434,956.584838867
35.6400651815,-83.1333610434,957.349487305
35.6400806815,-83.1334548434,958.461791992
35.6400939815,-83.1335488434,959.659179688
35.6400998825,-83.1336436435,960.225708008
35.6400970805,-83.1337135435,960.367919922
35.6400912825,-83.1337833435,960.725036621
35.6400870825,-83.1338531435,961.197570801
35.6400856815,-83.1339395436,961.816833496
35.6400863815,-83.1340259436,961.358764648
35.6400896824,-83.1341123436,960.63092041
35.6400961814,-83.1341985436,960.212646484
35.6401064814,-83.1342843437,960.335876465
35.6401173814,-83.1343552437,959.87121582
35.6401304814,-83.1344256437,959.659667969
35.6401478804,-83.1344952437,960.665039062
35.6401734804,-83.1345732438,962.744873047
35.6401800824,-83.1346344438,963.313781738
35.6401893824,-83.1346951438,963.731750488
35.6402330815,-83.1347736438,965.547973633
35.6402408805,-83.1348400438,965.428833008
35.6402353824,-83.1349219439,965.724243164
35.6402136824,-83.1350012439,966.036865234
35.6401846804,-83.1350782439,967.102966309
