lat,lng,ele
35.6082014559,-83.6371721893,800.472290039
35.6081590549,-83.6371445893,800.32623291
35.6081123539,-83.6371250893,800.038574219
35.6080495549,-83.6371153893,799.405029297
35.6079861549,-83.6371209893,798.482543945
35.6079348549,-83.6371381893,798.404174805
35.6078861549,-83.6371618893,798.453186035
35.6078068538,-83.6372121893,799.138122559
35.6077305548,-83.6372670893,801.002807617
35.6076683558,-83.6373120893,801.899414062
35.6076025558,-83.6373511893,802.801147461
35.6075450558,-83.6373718893,803.272155762
35.6074847548,-83.6373804893,804.008178711
35.6074129548,-83.6373670893,805.207885742
35.6074340548,-83.6373104893,806.227416992
35.6074693538,-83.6372584893,807.190490723
35.6075312558,-83.6371808893,808.04510498
35.6076017548,-83.6371106893,807.825805664
35.6076636538,-83.6370330892,808.301940918
35.6076960548,-83.6369676892,809.08416748
35.6077295548,-83.6369028892,810.398803711
35.6077733549,-83.6368507892,810.423828125
35.6078230559,-83.6368039892,810.291687012
35.6078681559,-83.6367528892,810.620544434
35.6079094539,-83.6366763891,811.361022949
35.6079525539,-83.6366010891,812.01550293
35.6080036559,-83.6365571891,811.54486084
35.6080608559,-83.6365210891,811.023681641
35.6081085549,-83.6364737891,811.841186523
35.6081367549,-83.6363861891,812.879821777
35.608166455,-83.6362990891,813.3671875
35.608212755,-83.636245489,812.482299805
35.608232355,-83.636168789,813.053710938
35.608252155,-83.636092189,813.760681152
35.608316655,-83.636028089,813.45513916
35.608371655,-83.635985789,813.455444336
35.608398054,-83.635927089,814.293457031
35.608419355,-83.6358658889,815.126098633
35.608461954,-83.6358070889,815.579345703
35.608503055,-83.6357472889,816.278015137
35.6085280561,-83.6356776889,816.142822266
35.6085422551,-83.6356050889,816.11138916
35.6085416551,-83.6355307889,816.431274414
35.6085305551,-83.6354572888,817.435180664
35.6085200561,-83.6353835888,817.86517334
35.6085104561,-83.6352915888,818.761352539
35.6085017551,-83.6351994888,820.064880371
35.6084990541,-83.6351069887,820.744750977
35.6085042551,-83.6350334887,820.745422363
35.6085133561,-83.6349602887,821.166625977
35.6085218551,-83.6348869887,822.146179199
35.6085266551,-83.6348152886,822.752441406
35.6085340551,-83.6347438886,823.414489746
35.6085493551,-83.6346837886,824.418884277
35.6085637551,-83.6346234886,824.965881348
35.6085614551,-83.6345568886,824.83203125
35.6085666551,-83.6344910885,824.032287598
35.6085945561,-83.6344478885,823.927368164
35.6086374541,-83.6343912885,824.379516602
35.6086870551,-83.6343404885,825.222473145
35.6087459552,-83.6342942885,826.364257812
35.6088148552,-83.6342674885,827.456787109
35.6088798552,-83.6342906885,827.778625488
35.6089397542,-83.6343266885,828.492370605
35.6090100542,-83.6343653885,829.147338867
35.6090824552,-83.6343976886,829.948852539
35.6090431552,-83.6343360885,830.555114746
35.6089950542,-83.6342779885,831.35723877
35.6089511562,-83.6342167885,832.165283203
35.6089100542,-83.6341274885,833.48236084
35.6088789562,-83.6340340884,835.552612305
35.6088498562,-83.6339400884,837.376953125
35.6088150562,-83.6338480884,838.945678711
