lat,lng,ele
35.4482916196,-83.6657365882,534.054931641
35.4483133216,-83.6657193882,534.309326172
35.4483347216,-83.6657016882,534.606811523
35.4483559206,-83.6656835882,534.800842285
35.4483764206,-83.6656647882,534.85949707
35.4483964196,-83.6656452882,534.91583252
35.4484162216,-83.6656254882,535.104064941
35.4484364196,-83.6656060882,535.276611328
35.4484571216,-83.6655877882,535.418945312
35.4484791216,-83.6655701881,535.565490723
35.4485014206,-83.6655530881,535.849182129
35.4485241207,-83.6655366881,536.231506348
35.4485471207,-83.6655212881,536.74230957
35.4485705217,-83.6655066881,537.328613281
35.4485944207,-83.6654931881,537.735351562
35.4486189207,-83.6654812881,538.135986328
35.4486437217,-83.6654706881,538.507446289
35.4486690197,-83.6654616881,538.886657715
35.4486944207,-83.6654537881,539.280334473
35.4487201217,-83.6654467881,539.786071777
35.4487459207,-83.6654406881,540.369384766
35.4487718207,-83.6654350881,540.965454102
35.4487977207,-83.6654298881,541.627502441
35.4488237197,-83.6654247881,542.270080566
35.4488497207,-83.6654196881,542.823486328
35.4488756207,-83.6654143881,543.282714844
35.4489005207,-83.6654089881,543.65802002
35.4489253217,-83.6654035881,544.011108398
35.4489502217,-83.6653980881,544.510925293
35.4489750208,-83.6653927881,545.138793945
35.4490000208,-83.6653877881,545.454406738
35.4490249208,-83.6653830881,545.554260254
35.4490500198,-83.6653787881,545.652587891
35.4490750208,-83.6653750881,545.769714355
35.4491002208,-83.6653721881,545.939758301
35.4491254198,-83.6653700881,546.099609375
35.4491506218,-83.6653688881,546.296569824
35.4491759198,-83.6653688881,546.477539062
35.4492012208,-83.6653700881,546.542175293
35.4492278208,-83.6653725881,546.483764648
35.4492544218,-83.6653762881,546.22668457
35.4492809208,-83.6653810881,546.134338379
35.4493071208,-83.6653867881,546.216796875
35.4493334218,-83.6653932881,546.293212891
35.4493594208,-83.6654005882,546.175415039
35.4493854208,-83.6654084882,545.740112305
35.4494112208,-83.6654170882,545.427368164
35.4494369218,-83.6654261882,545.734985352
35.4494624209,-83.6654356882,546.163269043
35.4494879209,-83.6654455882,546.53515625
35.4495128209,-83.6654566882,546.851928711
35.4495371209,-83.6654694882,547.20098877
35.4495609219,-83.6654836882,547.589538574
35.4495844209,-83.6654988882,548.028625488
35.4496074209,-83.6655146882,548.445617676
35.4496304209,-83.6655306882,548.887329102
35.4496534209,-83.6655466882,549.299255371
35.4496767199,-83.6655622882,549.632385254
35.4497002209,-83.6655771882,549.875244141
35.4497241209,-83.6655909882,550.142944336
35.4497487209,-83.6656032882,550.408508301
35.4497738199,-83.6656133882,550.580932617
35.4497995209,-83.6656210882,550.720825195
35.4498239219,-83.6656250882,550.867736816
35.4498484209,-83.6656263882,551.073608398
35.4498730209,-83.6656262882,551.277038574
35.4498976209,-83.6656260882,551.208312988
35.4499222209,-83.6656269883,551.210571289
35.4499466209,-83.6656303883,551.303955078
35.44997042,-83.6656377883,551.488220215
35.449992621,-83.6656498883,551.711486816
35.450013321,-83.6656652883,552.000427246
35.450033121,-83.6656823883,552.37689209
35.450052921,-83.6656997883,552.868103027
35.450073121,-83.6657161883,553.355834961
35.450094622,-83.6657299883,553.823791504
35.450119721,-83.6657414883,554.364196777
35.45014582,-83.6657497883,554.914306641
35.450172221,-83.6657547883,555.431152344
35.450199122,-83.6657569883,555.96661377
35.450226022,-83.6657567883,556.479980469
35.450252822,-83.6657543883,556.868591309
35.45027942,-83.6657502883,557.215515137
35.450306021,-83.6657447883,557.588623047
35.450332221,-83.6657380883,557.987915039
35.450358521,-83.6657305883,558.412963867
35.450384522,-83.6657223883,558.643005371
35.450410521,-83.6657137883,558.849182129
35.450436421,-83.6657048883,558.955932617
35.4504622201,-83.6656960883,559.018676758
35.4504881201,-83.6656873883,559.419067383
35.4505142221,-83.6656789883,559.865112305
35.4505402201,-83.6656709883,560.192382812
35.4505664201,-83.6656637883,560.413574219
35.4505929201,-83.6656576883,560.553649902
35.4506194221,-83.6656525883,560.731506348
35.4506462221,-83.6656490883,560.954589844
35.4506718221,-83.6656469883,561.271118164
35.4506974201,-83.6656458883,561.666259766
35.4507231211,-83.6656452883,562.061767578
35.4507488221,-83.6656451883,562.543029785
35.4507745211,-83.6656450883,563.156311035
35.4508002211,-83.6656448883,563.804199219
35.4508258221,-83.6656442883,564.204833984
35.4508515211,-83.6656430883,564.484741211
35.4508771211,-83.6656408883,564.787231445
35.4509027211,-83.6656375883,565.246398926
35.4509280212,-83.6656326883,565.633300781
35.4509531202,-83.6656260883,565.946411133
35.4509770222,-83.6656171883,566.148925781
35.4510002212,-83.6656060883,566.226074219
35.4510230222,-83.6655938883,566.259460449
35.4510458202,-83.6655814883,566.190490723
35.4510689212,-83.6655699883,566.088134766
35.4510926212,-83.6655605883,566.061828613
35.4511170202,-83.6655543883,566.218444824
35.4511415212,-83.6655532883,566.773864746
35.4511661212,-83.6655562883,567.593322754
35.4511904212,-83.6655614883,568.499084473
35.4512145202,-83.6655671883,569.411437988
35.4512388202,-83.6655719883,570.102233887
35.4512634202,-83.6655739883,570.537902832
35.4512879222,-83.6655710883,570.626831055
35.4513111212,-83.6655613883,570.418273926
35.4513326212,-83.6655463883,569.952941895
35.4513523212,-83.6655282883,569.271789551
35.4513711202,-83.6655085883,568.796325684
35.4513895213,-83.6654883883,568.052734375
35.4514080213,-83.6654686883,567.427307129
35.4514275213,-83.6654500883,567.11895752
35.4514486213,-83.6654342883,567.129943848
35.4514714223,-83.6654228883,567.421813965
35.4514927213,-83.6654161883,567.819458008
35.4515143203,-83.6654108883,568.123840332
35.4515360203,-83.6654070883,568.267211914
35.4515580223,-83.6654049883,568.513977051
35.4515800223,-83.6654044883,568.847106934
35.4516036213,-83.6654067883,569.129577637
35.4516269213,-83.6654119883,569.282470703
35.4516502213,-83.6654184883,569.431945801
35.4516733213,-83.6654250883,569.614624023
35.4516966213,-83.6654303883,569.62701416
35.4517212213,-83.6654363883,569.571044922
35.4517457213,-83.6654430883,569.540527344
35.4517706203,-83.6654472883,569.62121582
35.4517954223,-83.6654445883,569.940979004
35.4518146223,-83.6654319883,570.189697266
35.4518304213,-83.6654132883,570.331237793
35.4518449214,-83.6653931883,570.203735352
35.4518602214,-83.6653740883,569.960998535
35.4518784214,-83.6653592883,570.170898438
35.4519007214,-83.6653522883,570.283325195
35.4519238214,-83.6653499883,570.318237305
35.4519468214,-83.6653476883,570.663635254
35.4519690224,-83.6653401883,571.155944824
35.4519869204,-83.6653207883,571.374633789
35.4519974224,-83.6652941883,571.649841309
35.4520035224,-83.6652656883,571.983215332
35.4520076224,-83.6652364883,572.409545898
35.4520110214,-83.6652071883,572.95880127
35.4520149214,-83.6651779882,573.670349121
35.4520207224,-83.6651492882,574.399719238
35.4520302214,-83.6651220882,574.902954102
35.4520464204,-83.6651003882,574.946716309
35.4520686214,-83.6650874882,574.455444336
35.4520924204,-83.6650801882,573.781494141
35.4521168214,-83.6650750882,572.97076416
35.4521410204,-83.6650692882,572.314208984
35.4521644214,-83.6650602882,572.555847168
35.4521868214,-83.6650457882,573.893981934
35.4522071204,-83.6650272882,574.624572754
35.4522257214,-83.6650062882,575.018127441
35.4522430214,-83.6649838882,575.683654785
35.4522598225,-83.6649606882,576.303039551
35.4522765205,-83.6649374882,576.738342285
35.4522935215,-83.6649145882,577.298278809
35.4523115215,-83.6648928882,577.871826172
35.4523312215,-83.6648733882,578.305603027
35.4523528225,-83.6648574882,578.649902344
35.4523766215,-83.6648468882,579.125671387
35.4523998205,-83.6648423882,579.708618164
35.4524233215,-83.6648409882,580.412414551
35.4524468205,-83.6648409882,581.155944824
35.4524703215,-83.6648410882,581.829650879
35.4524939215,-83.6648397882,582.431945801
35.4525206205,-83.6648358882,583.107543945
35.4525470215,-83.6648302882,583.730895996
35.4525732215,-83.6648231882,584.395202637
35.4525993215,-83.6648150882,585.029968262
35.4526251225,-83.6648059882,585.593444824
35.4526507205,-83.6647963882,586.08416748
35.4526763205,-83.6647862882,586.523864746
35.4527018226,-83.6647761882,586.895202637
35.4527274206,-83.6647660882,587.053771973
35.4527531216,-83.6647563882,587.125427246
35.4527789216,-83.6647472882,587.26171875
35.4528049216,-83.6647390882,587.518005371
35.4528311216,-83.6647321882,587.823303223
35.4528577226,-83.6647266882,588.284484863
35.4528843206,-83.6647228882,588.76385498
35.4529111226,-83.6647213882,589.189758301
35.4529373226,-83.6647216882,589.513671875
35.4529634216,-83.6647233882,589.811096191
35.4529894226,-83.6647261882,590.179077148
35.4530153226,-83.6647297882,590.470947266
