lat,lng,ele
35.4482916196,-83.6657365882,534.054931641
35.4483559206,-83.6656835882,534.800842285
35.4484571216,-83.6655877882,535.418945312
35.4485944207,-83.6654931881,537.735351562
35.4488756207,-83.6654143881,543.282714844
35.4492012208,-83.6653700881,546.542175293
35.4494879209,-83.6654455882,546.53515625
35.4497995209,-83.6656210882,550.720825195
35.44997042,-83.6656377883,551.488220215
35.450094622,-83.6657299883,553.823791504
35.4506462221,-83.6656490883,560.954589844
35.4509531202,-83.6656260883,565.946411133
35.4511170202,-83.6655543883,566.218444824
35.4512879222,-83.6655710883,570.626831055
35.4514714223,-83.6654228883,567.421813965
35.4515800223,-83.6654044883,568.847106934
35.4516966213,-83.6654303883,569.62701416
35.4517954223,-83.6654445883,569.940979004
35.4518784214,-83.6653592883,570.170898438
35.4519690224,-83.6653401883,571.155944824
35.4520464204,-83.6651003882,574.946716309
35.4521644214,-83.6650602882,572.555847168
35.4523766215,-83.6648468882,579.125671387
35.4524939215,-83.6648397882,582.431945801
35.4529111226,-83.6647213882,589.189758301
35.4531448206,-83.6647510882,591.430786133
35.4534143217,-83.6647930882,590.743896484
35.4535336217,-83.6646977882,592.345092773
