lat,lng,ele
35.5323351464,-83.4542129312,1293.45141602
35.5323737464,-83.4541776312,1292.20019531
35.5324176464,-83.4541492312,1290.63549805
35.5324710475,-83.4541312312,1289.99865723
35.5325263475,-83.4541195312,1290.4543457
35.5326079455,-83.4540999312,1291.01696777
35.5326491455,-83.4540680312,1289.74401855
35.5326903455,-83.4540362312,1288.0892334
35.5327619455,-83.4540281312,1287.54187012
35.5328346465,-83.4540296312,1286.60791016
35.5329153456,-83.4540139312,1285.13085938
35.5329941466,-83.4539902312,1284.27526855
35.5330704466,-83.4539596312,1283.59106445
35.5331517476,-83.4539110312,1281.07202148
35.5332346456,-83.4538653312,1279.74584961
35.5333012466,-83.4538441312,1279.16345215
35.5333704457,-83.4538364312,1278.31079102
35.5334473467,-83.4538635312,1278.21789551
35.5335224467,-83.4538962312,1277.45019531
35.5335758477,-83.4539083312,1276.8692627
35.5336303467,-83.4539105312,1276.18823242
35.5336858457,-83.4538869312,1274.66259766
35.5337395457,-83.4538587312,1273.12585449
35.5338070467,-83.4538425312,1272.17285156
35.5338753458,-83.4538297312,1271.4921875
35.5339483468,-83.4538115312,1270.45690918
35.5340204458,-83.4537900312,1270.01477051
35.5341079478,-83.4537568312,1268.43566895
35.5341932468,-83.4537181312,1267.2746582
35.5342592468,-83.4536777312,1266.35241699
35.5343233479,-83.4536343312,1264.88806152
35.5343938469,-83.4536029312,1264.30285645
35.5344657469,-83.4535906312,1264.1895752
35.5345382469,-83.4535963312,1263.59692383
35.5346088459,-83.4536363312,1263.09155273
35.5346715469,-83.4536886312,1262.07055664
35.5347365479,-83.4537424312,1260.82324219
35.534795446,-83.4538026312,1260.13244629
35.534842048,-83.4538822313,1259.43310547
35.534891346,-83.4539599313,1258.37719727
35.534944547,-83.4540057313,1257.42980957
35.534998046,-83.4540141313,1256.65283203
35.535052648,-83.4540090313,1255.62988281
35.535130747,-83.4540012313,1253.87976074
35.535206446,-83.4539806313,1251.64282227
35.535253446,-83.4539568313,1252.24255371
35.5352976471,-83.4539282313,1251.99682617
35.5353575481,-83.4538634313,1249.94555664
35.5354262481,-83.4538108313,1247.97827148
35.5354712471,-83.4538122313,1247.9630127
35.5355525461,-83.4538036313,1247.78686523
35.5356433471,-83.4537733313,1247.70581055
35.5356749461,-83.4537225313,1246.60424805
35.5356906471,-83.4536645312,1245.67614746
35.5356836471,-83.4535650312,1243.66015625
35.5356812482,-83.4534933312,1242.28063965
35.5356865472,-83.4534218312,1241.40002441
35.5357046462,-83.4533462312,1240.62268066
35.5357435482,-83.4532801311,1239.76013184
35.5358250482,-83.4532606311,1239.27148438
35.5358808472,-83.4532307311,1238.16503906
35.5359256472,-83.4531864311,1237.33569336
35.5359428472,-83.4530942311,1236.22314453
35.5359475462,-83.4529996311,1235.1027832
35.5359611472,-83.452920131,1234.21984863
35.5359787472,-83.452841331,1232.67224121
35.5360152482,-83.452770131,1231.11486816
35.5360922483,-83.452728431,1229.96228027
35.5361787473,-83.452708831,1228.33764648
35.5362462483,-83.452697831,1227.51245117
35.5363143483,-83.452690931,1227.44958496
35.5364087473,-83.452674931,1227.15454102
35.5365039464,-83.452674731,1226.86987305
35.5365607484,-83.452691631,1226.27319336
35.5366111474,-83.452722131,1225.33862305
35.5366363474,-83.452785431,1224.93579102
35.5366472474,-83.4528537311,1224.43774414
35.5366794474,-83.4529116311,1223.94604492
35.5367334474,-83.4529133311,1222.21337891
35.5368014464,-83.4528845311,1220.44067383
35.5368611484,-83.4528400311,1220.34887695
35.5369285474,-83.4527789311,1218.85754395
35.5369899485,-83.452711631,1217.6315918
35.5370494465,-83.452648431,1217.3392334
35.5371057465,-83.452582531,1215.37304688
35.5371473475,-83.452506731,1213.82348633
35.5371563475,-83.452411331,1212.02490234
35.5371493475,-83.4523151309,1209.92431641
35.5371622465,-83.4522204309,1208.44116211
35.5371998475,-83.4521667309,1208.71484375
35.5372365475,-83.4521124309,1209.0814209
35.5372558485,-83.4520202309,1209.19848633
35.5372583475,-83.4519256308,1207.81738281
35.5372508475,-83.4518482308,1205.66296387
35.5372434465,-83.4517708308,1202.98486328
35.5372490475,-83.4517048308,1201.13085938
35.5372552466,-83.4516388307,1200.32116699
35.5372513486,-83.4515392307,1199.6229248
35.5372413476,-83.4514399307,1198.91601562
35.5372300466,-83.4513458307,1198.24707031
35.5372180476,-83.4512517306,1197.31616211
35.5372116476,-83.4511778306,1195.78466797
35.5372059476,-83.4511038306,1194.4864502
35.5371955466,-83.4510304306,1194.38708496
35.5371709476,-83.4509413305,1194.65563965
35.5371450466,-83.4508525305,1194.29699707
35.5371220466,-83.4507593305,1194.12634277
35.5371128476,-83.4506640305,1193.00378418
35.5371392466,-83.4505881304,1192.27209473
35.5371610476,-83.4505111304,1191.16540527
35.5371445476,-83.4504334304,1189.14794922
35.5370970486,-83.4503921304,1187.62060547
35.5370470476,-83.4503532304,1186.31201172
35.5370225486,-83.4502997303,1186.40026855
35.5370132486,-83.4502419303,1186.20056152
35.5370257486,-83.4501904303,1185.4822998
35.5370513466,-83.4501438303,1184.67028809
35.5371043486,-83.4501099303,1185.22021484
35.5371607476,-83.4500810303,1186.28186035
35.5372235486,-83.4500070303,1185.52636719
35.5372632466,-83.4499187302,1183.27294922
35.5372740486,-83.4498308302,1179.74072266
35.5372246476,-83.4497576302,1181.34753418
35.5371595476,-83.4496950302,1179.72229004
35.5371125476,-83.4496250301,1178.52697754
35.5370718466,-83.4495513301,1177.93688965
35.5370469476,-83.4494710301,1177.46398926
35.5370400476,-83.4493935301,1176.92456055
35.5370501476,-83.4493167301,1176.05822754
35.5370837476,-83.44925663,1175.18481445
35.5371334486,-83.44920893,1174.06726074
35.5371929466,-83.44919573,1173.32116699
35.5372511466,-83.44917943,1172.95703125
35.5372862467,-83.44912893,1171.7578125
35.5373074477,-83.44907093,1170.43640137
35.5373080477,-83.44900433,1168.81945801
35.5372956477,-83.44893853,1167.80029297
35.5372935487,-83.4488718299,1167.84985352
35.5373283477,-83.4487891299,1169.04064941
35.5373689487,-83.4487087299,1167.78747559
35.5373900487,-83.4486331299,1165.6237793
35.5374050477,-83.4485560299,1164.96630859
35.5374186477,-83.4484786298,1165.17077637
35.5374254477,-83.4484175298,1164.70007324
35.5374391477,-83.4483579298,1163.97961426
35.5374885467,-83.4483143298,1163.55773926
35.5375400467,-83.4482728298,1162.44128418
35.5375682478,-83.4481873298,1161.17492676
35.5375796468,-83.4480975297,1159.90734863
35.5375833478,-83.4480039297,1158.37548828
35.5375834488,-83.4479102297,1157.03503418
35.5375820478,-83.4478157296,1155.76220703
35.5375962468,-83.4477231296,1154.85839844
35.5376437478,-83.4476759296,1155.20812988
35.5376884478,-83.4476266296,1155.02404785
35.5376836478,-83.4475547296,1152.99707031
35.5376733478,-83.4474828296,1151.75598145
35.5376894478,-83.4473985295,1151.29724121
35.5377217478,-83.4473189295,1150.88037109
35.5377795478,-83.4472561295,1149.74841309
35.5378325478,-83.4471899295,1149.16784668
35.5378412479,-83.4471243295,1148.01330566
35.5378442469,-83.4470579294,1146.62414551
