lat,lng,ele
35.6867818818,-83.3969760236,675.884643555
35.6866951807,-83.3969399236,676.171569824
35.6866116807,-83.3968968236,675.067687988
35.6865319817,-83.3968470235,673.411193848
35.6864757797,-83.3968010235,674.023010254
35.6864222807,-83.3967519235,674.57220459
35.6863634807,-83.3967094235,675.339660645
35.6862707807,-83.3966750235,676.890686035
35.6861753796,-83.3966485235,678.361572266
35.6861083806,-83.3966280234,679.071289062
35.6860415806,-83.3966067234,680.058227539
35.6859785806,-83.3965763234,680.318115234
35.6859245806,-83.3965275234,680.444702148
35.6858764816,-83.3964726234,679.805847168
35.6858192816,-83.3964279234,680.575500488
35.6857385806,-83.3964034234,682.061096191
35.6856608795,-83.3964196234,683.305908203
35.6855845805,-83.3964430234,684.612487793
35.6854897815,-83.3964400234,685.160705566
35.6853956805,-83.3964263233,685.774353027
35.6853046805,-83.3964149233,686.727844238
35.6852142805,-83.3963998233,687.832519531
35.6851262804,-83.3963741233,688.315246582
35.6850393804,-83.3963304233,688.986206055
35.6849578804,-83.3962771233,688.716491699
35.6848768814,-83.3962230233,688.307373047
35.6848189814,-83.3961820232,689.057373047
35.6847614814,-83.3961404232,690.017883301
35.6846988794,-83.3961072232,691.143798828
35.6846503804,-83.3960913232,691.739440918
35.6846002803,-83.3960821232,691.972717285
35.6845641803,-83.3960810232,691.990478516
35.6845094803,-83.3960878232,692.463867188
35.6844556793,-83.3960999232,693.241699219
35.6843721803,-83.3961254232,693.363037109
35.6842923793,-83.3961610232,693.291809082
35.6842155803,-83.3962028232,693.485168457
35.6841404802,-83.3962474232,694.086547852
35.6840654792,-83.3962922232,695.103088379
35.6839888802,-83.3963344232,695.954956055
35.6839094812,-83.3963708232,696.903076172
35.6838340812,-83.3963986232,697.812011719
35.6837579812,-83.3964248232,698.379272461
35.6836824801,-83.3964524232,699.452331543
35.6835964801,-83.3964894233,700.424987793
35.6835097791,-83.3965246233,700.542907715
35.6834202791,-83.3965537233,701.148986816
35.6833284811,-83.3965744233,702.613647461
35.68326098,-83.3965831233,703.448059082
35.68319318,-83.3965814233,704.159423828
35.68311718,-83.3965462232,704.573242188
35.68304138,-83.3965105232,704.930358887
35.68296148,-83.3965167232,706.590576172
35.682884679,-83.3965418232,707.625976562
35.682805981,-83.3965587232,709.054016113
35.6827519809,-83.3965565232,709.989440918
35.6826978799,-83.3965555232,710.239379883
35.6826211799,-83.3965800232,710.224914551
35.6825518809,-83.3966218232,710.350097656
35.6824828809,-83.3966641232,710.779724121
35.6824066799,-83.3966904232,711.849731445
35.6823296798,-83.3966820232,712.366210938
35.6822535798,-83.3966858232,712.573059082
35.6822009808,-83.3967457232,713.022399902
35.6821607788,-83.3968156233,713.695678711
35.6821267798,-83.3968747233,714.309631348
35.6820953798,-83.3969352233,714.588928223
35.6820674788,-83.3970009233,714.995117188
35.6820420798,-83.3970676233,715.426635742
35.6820102788,-83.3971315233,715.377990723
35.6819546787,-83.3972072234,715.464050293
35.6818907787,-83.3972495234,716.53729248
35.6818188797,-83.3972363234,716.318481445
35.6817751797,-83.3971955234,716.937744141
35.6817303797,-83.3971563233,717.815368652
35.6816582797,-83.3971541233,718.36907959
35.6815830797,-83.3971719233,719.119445801
35.6815130797,-83.3972050233,720.59753418
35.6814504796,-83.3972574234,720.629394531
35.6813965806,-83.3973191234,720.832214355
35.6813383796,-83.3973766234,721.340393066
35.6812868796,-83.3974190234,721.694152832
35.6812287806,-83.3974506234,721.99786377
35.6811386806,-83.3974479234,721.379943848
35.6811059796,-83.3974965234,721.191101074
