lat,lng,ele
35.4535336217,-83.6646977882,592.345092773
35.4536115217,-83.6648435882,594.22454834
35.4536268217,-83.6649652883,594.165527344
35.4536692207,-83.6650878883,595.698669434
35.4536930217,-83.6652318884,597.078186035
35.4536721207,-83.6653633884,597.124084473
35.4535694227,-83.6655251884,601.366638184
35.4535139207,-83.6655894885,603.145141602
35.4534932217,-83.6657099885,604.375305176
35.4534652217,-83.6657530885,605.274841309
35.4533576207,-83.6657274885,607.284851074
35.4532137226,-83.6657117885,609.49822998
35.4531585206,-83.6657649885,611.352783203
35.4531470206,-83.6658747885,614.854187012
35.4531804216,-83.6659970886,618.467834473
35.4531872226,-83.6660963886,620.490478516
35.4532297226,-83.6662079886,622.021179199
35.4533274216,-83.6662772886,625.021606445
