lat,lng,ele
35.6430434823,-83.1282776421,938.417602539
35.6432871813,-83.1282619421,939.891418457
35.6434563824,-83.1283769421,940.862182617
35.6435797824,-83.1285347422,942.101501465
35.6437578814,-83.1286609422,944.237060547
35.6438297814,-83.1286739422,945.443664551
35.6439190825,-83.1287204423,946.304138184
35.6440720815,-83.1287355423,948.542297363
35.6441723815,-83.1286719423,950.718139648
35.6442175825,-83.1286621423,951.875976562
35.6442712825,-83.1286856423,952.932373047
35.6443245825,-83.1287312423,953.244384766
35.6443758835,-83.1288873423,953.448486328
35.6444367826,-83.1290104424,955.186828613
35.6444708816,-83.1291217424,956.054016113
35.6445059836,-83.1291779424,956.751220703
35.6446126836,-83.1292580425,959.46697998
35.6446747816,-83.1293149425,959.853027344
35.6448449826,-83.1293746425,964.795471191
35.6450774817,-83.1294802425,966.543334961
35.6452220827,-83.1294619425,969.482971191
35.6454566827,-83.1294461426,971.066162109
35.6455213818,-83.1293594425,977.072021484
35.6456116828,-83.1293508425,977.281860352
35.6456649828,-83.1293964426,973.8203125
35.6457379838,-83.1293431425,977.116577148
35.6458646828,-83.1293133425,979.551330566
35.6461620839,-83.1293212426,981.394897461
35.646478784,-83.1292523426,984.406433105
35.646605883,-83.1292005426,986.455078125
35.646759684,-83.1291714426,985.959716797
35.6468603821,-83.1290857425,989.453491211
35.6470142831,-83.1290457425,990.811645508
35.6471584841,-83.1290495425,991.811035156
35.6473200832,-83.1290869426,994.46697998
35.6474626832,-83.1291790426,995.358947754
35.6476140832,-83.1292825426,997.156677246
35.6478106832,-83.1293871427,1000.94445801
35.6480409823,-83.1296141428,1003.51843262
35.6481374823,-83.1297602428,1003.70678711
35.6482242843,-83.1299503429,1003.25372314
35.6483313843,-83.1300083429,1008.9798584
35.6484101833,-83.1301431429,1009.65484619
35.6485159834,-83.130278443,1013.74139404
35.6485227843,-83.130400143,1011.26348877
35.6486455824,-83.1305911431,1013.86413574
35.6487055844,-83.1307694431,1014.22662354
35.6487639834,-83.1310360432,1014.91650391
35.6488604834,-83.1311821433,1016.4385376
35.6489568824,-83.1313393433,1019.64373779
35.6490077834,-83.1315174434,1020.87365723
35.6490236824,-83.1316393434,1020.19451904
35.6492003824,-83.1318428435,1022.54864502
35.6492816835,-83.1318339435,1027.00805664
35.6494869845,-83.1319498435,1026.6998291
35.6496214835,-83.1319865435,1028.90283203
35.6497911835,-83.1320793436,1030.25561523
35.6500332836,-83.1321520436,1031.84204102
35.6502669836,-83.1321914436,1035.14978027
35.6503556827,-83.1322711437,1033.2010498
35.6504273837,-83.1322951437,1032.90930176
35.6505544827,-83.1322432437,1037.46484375
35.6506894837,-83.1322578437,1038.88964844
35.6508510838,-83.1322953437,1041.25244141
35.6509851848,-83.1323541437,1041.38134766
35.6510737828,-83.1324448438,1041.37438965
35.6511900828,-83.1324920438,1045.50512695
35.6513583839,-83.1326622439,1047.53430176
35.6514458839,-83.1328081439,1049.01293945
35.6516670839,-83.133046044,1054.33154297
35.6518354839,-83.133205144,1055.74816895
35.6519250849,-83.1332406441,1057.29858398
35.652024183,-83.1332433441,1059.9342041
35.652122885,-83.1332680441,1060.99230957
35.652185784,-83.1332807441,1060.82458496
35.652192784,-83.1333913441,1062.77575684
35.652181685,-83.1335125441,1064.39770508
35.652197685,-83.1336234442,1064.46533203
35.652267784,-83.1337357442,1065.2010498
35.652455484,-83.1338291443,1071.83935547
35.6525974851,-83.1339543443,1074.48999023
35.6527212841,-83.1340902444,1074.01452637
35.6528992841,-83.1342164444,1076.86853027
35.6530604841,-83.1342759444,1081.15905762
35.6532910842,-83.1344919445,1083.2166748
35.6533974832,-83.1345941445,1083.89465332
35.6535231842,-83.1346196446,1085.1697998
35.6537928843,-83.1346599446,1087.32055664
35.6541447844,-83.1346472446,1092.49401855
35.6544869844,-83.1346673446,1095.12243652
35.6547472855,-83.1347295447,1097.59729004
35.6549264845,-83.1347895447,1099.19494629
35.6551227855,-83.1349053447,1097.96447754
35.6552396846,-83.1349194447,1099.02575684
35.6553029846,-83.1349101447,1100.17602539
35.6554927846,-83.1348820447,1099.20031738
35.6555756856,-83.1347848447,1102.69104004
35.6556306837,-83.1347310447,1104.35620117
35.6557215847,-83.1346893447,1104.03466797
35.6558038837,-83.1346252447,1105.13269043
35.6559215847,-83.1345952447,1103.77990723
35.6560952858,-83.1344562447,1107.67175293
35.6562582858,-83.1344164447,1108.75769043
35.6565013848,-83.1344339447,1108.74182129
35.6566186849,-83.1344260447,1110.47937012
35.6567171859,-83.1344617447,1109.70007324
35.657039185,-83.1346028448,1110.54943848
35.657145184,-83.1347272448,1110.33544922
35.657297785,-83.1347644448,1112.45605469
35.657538886,-83.1348923449,1111.92590332
35.6575917851,-83.1349599449,1110.71777344
35.6576724841,-83.1349842449,1110.66601562
35.6577451851,-83.1349530449,1113.52905273
35.6577885851,-83.1350425449,1111.1842041
35.6579852861,-83.135136145,1113.77770996
35.6581989852,-83.135285445,1115.00183105
35.6583769852,-83.1354116451,1116.10498047
35.6585115852,-83.1354484451,1118.45275879
35.6585734852,-83.1355163451,1114.3951416
35.6585908862,-83.1355499451,1112.12243652
35.6586165842,-83.1356279452,1113.52429199
35.6586518852,-83.1356730452,1115.02197266
