lat,lng,ele
35.5252845508,-83.3046717869,632.909057617
35.5253620499,-83.304861487,634.86541748
35.5254587509,-83.304985487,637.920288086
35.5255201519,-83.3050754871,639.590026855
35.5255279509,-83.3051418871,640.243591309
35.5254807509,-83.3052507871,641.030578613
35.5255676509,-83.3054186872,643.241333008
35.5255842509,-83.3054963872,644.152832031
35.5255811509,-83.3056506872,645.452819824
35.5255870499,-83.3058161873,646.867431641
35.5256308509,-83.3058835873,647.765197754
35.5256844519,-83.3059071873,648.814453125
35.5257726519,-83.3060089874,650.575012207
35.5258614519,-83.3060776874,651.866149902
35.5258958509,-83.3061668874,652.92755127
35.5259295519,-83.3062890875,654.360229492
35.5260527509,-83.3064470875,657.202819824
35.526167151,-83.3065936876,659.42199707
35.526200852,-83.3067158876,660.920959473
35.526189052,-83.3068590876,662.39630127
35.5261333509,-83.3069456877,663.202453613
35.5260851519,-83.3071096877,665.438720703
35.5260184499,-83.3072951878,667.922058105
35.5260079499,-83.3073720878,668.962768555
35.5260155499,-83.3074494878,669.761779785
35.5259683509,-83.3075584878,671.709655762
35.5259042509,-83.3076117878,674.800964355
35.5258415509,-83.3075878878,676.752380371
35.5257714498,-83.3074866878,677.655700684
