lat,lng,ele
35.5913371418,-83.8528665514,519.724975586
35.5913116428,-83.8529521514,519.708496094
35.5912678418,-83.8530298515,519.684143066
35.5911967428,-83.8530822515,519.455566406
35.5911154428,-83.8530904515,519.064819336
35.5910288428,-83.8530679514,518.879821777
35.5909488418,-83.8530265514,518.559814453
35.5908653427,-83.8529932514,518.184692383
35.5907845437,-83.8529793514,518.208740234
35.5907040417,-83.8529544514,518.326843262
35.5906243427,-83.8529540514,518.975891113
35.5905472427,-83.8529741514,519.458862305
35.5904773427,-83.8530125514,519.791564941
35.5904249426,-83.8530625514,520.135070801
35.5903821426,-83.8531210514,520.515991211
35.5903470436,-83.8531845514,520.815551758
35.5903240436,-83.8532602515,521.106079102
35.5903100416,-83.8533383515,521.447631836
35.5902875426,-83.8534141515,521.933349609
35.5902423426,-83.8534858515,523.397277832
35.5901841416,-83.8535476515,525.847167969
35.5901203426,-83.8536037515,527.300170898
35.5900564425,-83.8536596516,528.539306641
35.5899989425,-83.8537099516,529.877075195
35.5899398435,-83.8537584516,531.347167969
35.5898816425,-83.8538079516,532.971862793
35.5898324425,-83.8538540516,534.287231445
35.5897840425,-83.8539008516,535.552734375
35.5897341415,-83.8539461516,536.823669434
35.5896664424,-83.8540022516,537.53527832
35.5895964424,-83.8540554517,538.477111816
35.5895231434,-83.8541041517,539.830505371
35.5894542424,-83.8541404517,540.975280762
35.5893832414,-83.8541725517,541.492126465
35.5893134424,-83.8542070517,542.152160645
35.5892277423,-83.8542570517,544.292785645
35.5891442423,-83.8543104517,546.396484375
35.5890628423,-83.8543672517,547.907348633
35.5889837413,-83.8544270517,549.846801758
35.5889196423,-83.8544769517,550.893798828
35.5888571433,-83.8545287517,551.424499512
35.5887996432,-83.8545860518,552.425354004
35.5887429422,-83.8546568518,553.585510254
35.5886928432,-83.8547324518,554.540405273
35.5886500432,-83.8548124518,554.929199219
35.5886155432,-83.8549052518,555.440795898
35.5885895422,-83.8550009519,556.672180176
35.5885621432,-83.8550961519,558.132263184
35.5885288422,-83.8551866519,559.367919922
35.5884942422,-83.8552766519,560.907836914
35.5884656431,-83.855368652,562.405883789
35.5884461431,-83.855455552,563.525695801
35.5884316421,-83.855543352,564.26361084
35.5884233421,-83.855632052,564.676147461
35.5884211421,-83.8557170521,565.557495117
35.5884245421,-83.8558019521,566.528747559
35.5884353411,-83.8558862521,567.035583496
35.5884551411,-83.8559659521,567.780639648
35.5884820411,-83.8560436522,568.426818848
35.5885108421,-83.8561206522,569.013549805
35.5885434421,-83.8562033522,569.807006836
35.5885783421,-83.8562851522,571.069335938
35.5886131421,-83.8563670523,572.414123535
35.5886458421,-83.8564386523,573.340515137
35.5886728411,-83.8565125523,574.521789551
35.5886840421,-83.8565894523,575.236328125
35.5886845431,-83.8566671524,576.269042969
35.5886763411,-83.8567444524,577.530517578
35.5886554431,-83.8568273524,578.827392578
35.5886273431,-83.8569081524,579.962036133
35.5885913411,-83.8569959524,581.112121582
35.5885508421,-83.8570818525,582.144165039
35.5885130411,-83.8571689525,583.449462891
35.5884878421,-83.8572334525,584.354858398
35.5884641411,-83.8572985525,585.196899414
35.5884452411,-83.8573651525,586.020263672
35.5884354421,-83.8574456526,587.078796387
35.5884321411,-83.8575266526,588.454040527
35.588421543,-83.8576070526,589.266967773
35.588399541,-83.8576914526,590.190246582
35.588363542,-83.8577704527,591.268005371
35.588303341,-83.8578227527,592.634460449
35.588235142,-83.8578652527,594.111877441
35.588169242,-83.8579163527,595.219848633
35.588103341,-83.8579673527,596.787841797
35.588033341,-83.8580125527,598.275512695
35.5879637419,-83.8580401527,598.940429688
35.5878918419,-83.8580617527,600.098083496
35.5878240419,-83.8580933527,601.540710449
35.5877682419,-83.8581322527,602.758972168
35.5877172409,-83.8581772527,603.118347168
35.5876765419,-83.8582315528,603.797058105
35.5876521419,-83.8582786528,604.725158691
35.5876381419,-83.8583294528,606.159301758
35.5876699409,-83.8584082528,607.051391602
35.5877341429,-83.8584652528,607.65826416
35.5878238419,-83.8584795528,608.770996094
35.5878927409,-83.8584463528,610.462890625
35.5879504419,-83.8583942528,610.931396484
35.5880161419,-83.8583539528,611.575622559
35.5880897419,-83.8583407528,612.632446289
35.588164341,-83.8583428528,613.147277832
35.588232043,-83.8583726528,613.286499023
35.588275342,-83.8584318529,613.64642334
35.588310142,-83.8584968529,614.091247559
35.588347441,-83.8585541529,614.365478516
35.588383042,-83.8586123529,615.461914062
35.588405042,-83.8586767529,617.200744629
35.588407541,-83.858754553,618.546813965
35.588392342,-83.858830753,619.840270996
35.588347141,-83.858903853,622.155212402
35.588281142,-83.858959153,622.524291992
35.5882149419,-83.858980453,621.978271484
35.5881453419,-83.858987453,621.788696289
35.5880701419,-83.858985353,621.743347168
35.5879955429,-83.858974353,621.935119629
35.5879204429,-83.858968453,622.256103516
35.5878231419,-83.858977053,622.944396973
35.5877268408,-83.858994253,623.688659668
35.5876309408,-83.859013253,624.368103027
35.5875556418,-83.859029853,624.747009277
35.5874805418,-83.859047653,624.727783203
35.5874045418,-83.859060453,624.677062988
35.5873144418,-83.859067053,624.233642578
35.5872241407,-83.859065053,623.452819824
35.5871300417,-83.859044953,622.999206543
35.5870358427,-83.8590252529,622.91394043
35.5869634417,-83.8590280529,622.603942871
35.5868915417,-83.8590377529,622.291137695
35.5868191427,-83.8590395529,621.607116699
35.5867438406,-83.8590143529,621.750854492
35.5866717416,-83.8589802529,621.498962402
35.5865953416,-83.8589764529,620.091430664
35.5865565406,-83.8590506529,619.757751465
35.5865385426,-83.859133953,620.922668457
35.5865175406,-83.859216453,622.135925293
35.5864922426,-83.859281853,623.038696289
35.5864657406,-83.859346753,623.927429199
35.5864408406,-83.859412253,624.504211426
35.5864130406,-83.859487153,625.210327148
35.5863855405,-83.8595622531,625.916381836
35.5863633415,-83.8596389531,625.672485352
35.5863524415,-83.8597180531,625.210144043
35.5863592415,-83.8598118531,624.483703613
35.5863786415,-83.8599039532,623.80859375
35.5863999405,-83.8599956532,622.798217773
35.5864180415,-83.8600708532,621.888977051
35.5864388425,-83.8601454532,621.154724121
35.5864586425,-83.8602202533,620.8671875
35.5864738415,-83.8602961533,620.152648926
35.5864829425,-83.8603881533,619.01940918
35.5864871425,-83.8604805533,617.629516602
35.5864943415,-83.8605727534,616.58807373
35.5865110415,-83.8606651534,615.296691895
35.5865306405,-83.8607570534,613.962768555
35.5865417425,-83.8608502535,613.010559082
35.5865418405,-83.8609352535,612.444519043
35.5865352415,-83.8610200535,611.992614746
35.5865177415,-83.8611031535,611.34954834
35.5864862405,-83.8611801535,610.299743652
35.5864439425,-83.8612518536,609.042724609
35.5863954405,-83.8613194536,607.926818848
35.5863372425,-83.8613842536,607.04876709
35.5862711404,-83.8614410536,606.631286621
35.5862006414,-83.8614923536,606.227111816
35.5861287414,-83.8615416536,605.692321777
35.5860614424,-83.8615827536,605.640197754
35.5859915404,-83.8616192536,605.510925293
35.5859216414,-83.8616558537,604.937255859
35.5858546424,-83.8616974537,603.955444336
35.5857760423,-83.8617494537,601.891967773
35.5857077403,-83.8618135537,602.438537598
35.5856765413,-83.8619053537,602.930358887
35.5856720413,-83.8620030537,602.215820312
35.5856724413,-83.8621009538,601.079345703
35.5856625413,-83.8621981538,600.362182617
35.5856380403,-83.8622868538,600.997009277
35.5856075413,-83.8623736538,601.661376953
35.5855754403,-83.8624598539,601.95111084
35.5855460403,-83.8625470539,602.27911377
35.5855169402,-83.8626409539,602.61114502
35.5854892412,-83.8627353539,602.884033203
35.5854672412,-83.862831154,603.880493164
35.5854551412,-83.862913354,604.07019043
35.5854452422,-83.862995954,604.027770996
35.5854341402,-83.863083854,604.028808594
35.5854250412,-83.8631532541,604.841125488
35.5854163412,-83.8632228541,605.31439209
35.5854111402,-83.8632926541,605.908081055
35.5854113412,-83.8633738541,606.524047852
35.5854161412,-83.8634549541,607.211975098
35.5854234412,-83.8635358542,607.88861084
35.5854356412,-83.8636108542,608.788818359
35.5854525412,-83.8636849542,609.499023438
35.5854667402,-83.8637595542,610.309692383
