lat,lng,ele
35.6750661748,-83.4864948491,795.550170898
35.6749990748,-83.4865662492,796.174133301
35.6749252747,-83.4865912492,796.323852539
35.6748646757,-83.4865879492,796.283447266
35.6748063747,-83.4865702492,796.429504395
35.6747374757,-83.4865148491,797.731750488
35.6746634747,-83.4864703491,799.270202637
35.6746146747,-83.4865042491,799.857910156
35.6745637747,-83.4865334491,800.881958008
35.6745203747,-83.4865170491,801.469787598
35.6744965737,-83.4864786491,802.418823242
35.6745105757,-83.4864067491,802.673950195
35.6745583747,-83.4863421491,803.603393555
35.6746014747,-83.4862752491,804.0703125
35.6745991737,-83.486215949,804.603393555
35.6745796737,-83.486160049,805.36895752
35.6745096737,-83.486109549,806.743591309
35.6744445747,-83.486125449,807.743041992
35.6743794746,-83.486142149,808.602600098
35.6743353746,-83.486118149,809.01953125
35.6742984746,-83.486083749,809.509521484
35.6742679756,-83.486042049,809.83203125
35.6742433756,-83.485996649,810.040344238
35.6742189746,-83.4859276489,811.202270508
35.6742029746,-83.4858559489,812.840759277
35.6741836736,-83.4857852489,813.422363281
35.6741462736,-83.4856943489,814.653869629
35.6741021736,-83.4856065488,815.348388672
35.6740530746,-83.4855213488,816.386657715
35.6740002736,-83.4854384488,818.111083984
35.6739523746,-83.4853658488,819.413024902
35.6739025746,-83.4852946487,820.329528809
35.6738475746,-83.4852273487,821.277770996
35.6737841756,-83.4851679487,822.458251953
35.6737109755,-83.4851282487,823.781433105
35.6736410735,-83.4850836486,824.839477539
35.6736081745,-83.4850378486,825.827575684
35.6735759745,-83.4849915486,826.667785645
35.6735062745,-83.4849449486,828.195861816
35.6734274755,-83.4849144486,829.414855957
35.6733565755,-83.4848695486,830.344238281
35.6733060755,-83.4847938485,831.844543457
35.6732675745,-83.4847110485,832.831848145
35.6732242755,-83.4846307485,834.145996094
35.6731761745,-83.4845631485,835.422729492
35.6731240745,-83.4844985484,836.70324707
35.6730662744,-83.4844390484,837.997253418
35.6729996734,-83.4843911484,839.143676758
35.6729282754,-83.4843505484,840.070678711
35.6728603744,-83.4843045484,841.161743164
35.6727942744,-83.4842352484,842.922607422
35.6727338744,-83.4841609483,844.706115723
35.6726645744,-83.4840950483,846.15020752
35.6725951744,-83.4840592483,847.405151367
35.6725215733,-83.4840328483,848.966674805
35.6724504743,-83.4840005483,850.698486328
35.6723890743,-83.4839553482,851.536499023
35.6723327743,-83.4839037482,852.581176758
35.6722761743,-83.4838527482,853.081054688
35.6722134733,-83.4838093482,854.250427246
35.6721377743,-83.4837836482,854.712890625
35.6720594733,-83.4837663482,854.18939209
35.6719876742,-83.4837318482,854.863952637
35.6719351742,-83.4836672481,855.433837891
35.6718941752,-83.4835943481,856.927124023
35.6718472742,-83.4835252481,858.810058594
35.6717817742,-83.4834600481,859.239257812
35.6717096742,-83.483402348,860.554748535
35.6716324732,-83.483351448,862.304077148
35.6715475742,-83.483304648,864.312805176
35.6714572752,-83.483269548,866.021606445
35.6713811741,-83.483262048,867.449890137
35.6713045731,-83.483265048,867.422912598
35.6712286741,-83.483256048,866.27166748
35.6711506741,-83.483223748,866.501525879
35.6710778741,-83.4831809479,866.437133789
35.6710105731,-83.4831172479,868.570678711
35.6709549731,-83.4830427479,870.907531738
35.6708979751,-83.4829694479,872.101989746
35.670825775,-83.4829117478,872.981750488
35.670765274,-83.4828978478,873.000976562
35.670708974,-83.4828744478,873.905517578
35.670692374,-83.4827945478,875.612060547
35.670679375,-83.4827133478,877.390625
35.670650474,-83.4826716478,878.480895996
35.670614573,-83.4826356478,878.935302734
35.670529374,-83.4826032477,880.032958984
35.670436674,-83.4826013477,882.125732422
35.670346574,-83.4825830477,883.538635254
35.6702850749,-83.4825458477,884.876098633
35.6702286739,-83.4825013477,886.220825195
35.6701773749,-83.4824509477,887.593200684
35.6701271749,-83.4823886476,888.891906738
35.6700837729,-83.4823214476,889.843017578
35.6700463729,-83.4822506476,891.966430664
35.6700062739,-83.4821747476,892.848510742
35.6699703739,-83.4820969476,893.757629395
35.6699677729,-83.4820136475,895.455749512
35.6700040739,-83.4819767475,895.914916992
35.6700490739,-83.4819506475,896.511169434
35.6701369739,-83.4819686475,897.831604004
35.6702153749,-83.4820193475,897.558776855
35.670303074,-83.4820321476,898.353210449
35.670364373,-83.4819745475,900.13482666
35.670357174,-83.4818859475,901.140686035
35.670299775,-83.4818148475,902.474060059
35.670241174,-83.4818000475,903.425354004
35.670181374,-83.4817890475,904.150390625
35.6701301739,-83.4817392475,905.082336426
35.6700798749,-83.4816885474,905.882568359
35.6700080729,-83.4816707474,906.28717041
35.6699368739,-83.4816511474,906.56652832
35.6698873739,-83.4815898474,908.360412598
35.6698393739,-83.4815271474,910.108398438
35.6697885739,-83.4815018474,911.148498535
35.6697392729,-83.4814741474,912.007324219
35.6697112739,-83.4813839473,913.311950684
35.6697107749,-83.4812875473,914.961914062
35.6696972739,-83.4811926473,916.117248535
35.6696517739,-83.4811050472,917.352600098
35.6695960729,-83.4810234472,918.980834961
35.6695333748,-83.4809528472,920.260742188
35.6694654738,-83.4808871472,921.891296387
35.6694096748,-83.4808112471,923.21496582
35.6693786738,-83.4807294471,924.412231445
35.6693597738,-83.4806440471,924.901306152
35.6693476738,-83.4805572471,925.78137207
35.6693384748,-83.480470147,926.869689941
35.6693426728,-83.480380047,927.730712891
35.6693575738,-83.480290947,928.616943359
35.6693679738,-83.480201247,930.041503906
35.6693383738,-83.4801199469,931.146118164
35.6692600738,-83.4800962469,932.296508789
35.6691834748,-83.4801065469,933.619812012
35.6691134748,-83.4801413469,934.553833008
35.6690443738,-83.4801779469,934.897949219
35.6689689748,-83.4801963469,935.843505859
35.6688952727,-83.4801940469,937.284973145
35.6688257737,-83.4801714469,938.361083984
35.6687753747,-83.4801195469,939.286254883
35.6687416737,-83.4800555469,940.22467041
35.6687441737,-83.4799771469,941.499206543
35.6687650737,-83.4799005468,942.609008789
