lat,lng,ele
35.7026668856,-83.357518013,632.571228027
35.7026531856,-83.3574276129,633.064086914
35.7026466856,-83.3573363129,633.557617188
35.7026420866,-83.3572449129,634.20526123
35.7026386856,-83.3571534128,634.644226074
35.7026362856,-83.3570619128,635.025085449
35.7026354846,-83.3569704128,635.002197266
35.7026415856,-83.3569038128,635.148132324
35.7026560856,-83.3568384128,634.820556641
35.7026826867,-83.3567646127,633.547546387
35.7027219867,-83.3566967127,634.275024414
35.7027680847,-83.3566489127,634.009277344
35.7028227857,-83.3566112127,633.241027832
35.7029023857,-83.3565845127,629.520690918
35.7029857857,-83.3565718127,629.467773438
35.7030643857,-83.3565684127,632.38470459
35.7031431868,-83.3565702127,633.888427734
35.7032204858,-83.3565566127,634.38269043
35.7033023848,-83.3565148127,635.271240234
35.7033347858,-83.3564744127,635.329589844
35.7033581858,-83.3564281127,635.261047363
35.7033746858,-83.3563519127,635.891723633
35.7033792858,-83.3562739126,636.512756348
35.7033763858,-83.3561772126,637.350585938
35.7033634848,-83.3560813126,638.130249023
35.7033487848,-83.3559856125,638.847717285
35.7033338858,-83.3558895125,639.530639648
35.7033162858,-83.3557939125,640.003173828
35.7032970858,-83.3556985125,640.577392578
35.7032775858,-83.3556033124,641.067565918
35.7032589848,-83.3555078124,641.583251953
35.7032441868,-83.3554301124,642.116516113
35.7032291868,-83.3553525124,642.537597656
35.7032147868,-83.3552747123,643.008056641
35.7032019868,-83.3551967123,643.470825195
35.7031882868,-83.3551120123,644.081787109
35.7031760868,-83.3550272123,644.595031738
35.7031709868,-83.3549416122,645.391662598
35.7031779858,-83.3548645122,646.085021973
35.7031829858,-83.3547872122,646.721069336
35.7031665848,-83.3547039122,647.331604004
35.7031501858,-83.3546205121,648.115661621
35.7031560848,-83.3545466121,648.768859863
35.7031710848,-83.3544739121,649.737060547
35.7031815848,-83.3544004121,650.720397949
35.7031795859,-83.354317012,651.583435059
35.7031697849,-83.354234012,652.661560059
35.7031584859,-83.354151212,653.314453125
35.7031519859,-83.354068012,653.776306152
35.7031492869,-83.3539906119,654.439086914
35.7031488859,-83.3539131119,655.035827637
35.7031565869,-83.3538361119,655.838623047
35.7031775859,-83.3537458119,656.452453613
35.7032140859,-83.3536609119,657.001159668
35.7032643849,-83.3536025118,657.512390137
35.7033242859,-83.3535537118,658.057006836
35.7034080859,-83.3535016118,658.848937988
35.703497385,-83.3534593118,659.636901855
35.703562885,-83.3534378118,660.722167969
35.703624585,-83.3534078118,661.781005859
35.703673387,-83.3533473118,662.829711914
35.703708285,-83.3532776118,664.388305664
35.703725686,-83.3532127118,665.227661133
35.703734886,-83.3531459117,665.845092773
35.703748286,-83.3530799117,666.625610352
35.703784385,-83.3529991117,667.774047852
35.703814586,-83.3529161117,669.192565918
35.703815685,-83.3528489117,670.058166504
35.703805785,-83.3527823116,671.028381348
35.703791486,-83.3527165116,672.010864258
35.703767786,-83.3526317116,673.268493652
35.703736085,-83.3525496116,674.268920898
35.703697186,-83.3524706115,674.863586426
35.703658486,-83.3524067115,676.539672852
35.703614486,-83.3523463115,677.944885254
35.703565486,-83.3522899115,678.602172852
35.703523686,-83.3522471115,678.727294922
35.703476885,-83.3522099114,679.061096191
35.703387486,-83.3521741114,680.219543457
35.703328587,-83.3521823114,680.72454834
35.703269886,-83.3521928114,680.623291016
35.7032189849,-83.3521862114,680.943603516
35.7031712869,-83.3521678114,681.47088623
35.7031192849,-83.3521176114,683.107543945
35.7030832859,-83.3520547114,684.509216309
35.7030675859,-83.3519998114,685.538391113
35.7030584869,-83.3519434113,686.137512207
35.7030547859,-83.3518551113,687.032775879
35.7030607849,-83.3517668113,688.151611328
35.7030635869,-83.3516784113,689.903259277
35.7030583859,-83.3515932112,691.364318848
35.7030501869,-83.3515083112,692.205566406
35.7030415869,-83.3514234112,693.473815918
35.7030374849,-83.3513454112,694.656005859
35.7030265849,-83.3512683111,694.756896973
35.7029923869,-83.3511928111,695.067565918
35.7029482869,-83.3511223111,695.937866211
35.7028999869,-83.3510535111,696.927734375
35.7028476849,-83.350987611,697.352966309
35.7027989869,-83.350919011,698.270141602
35.7027517849,-83.350835011,699.028930664
35.7027092849,-83.350748511,699.04675293
35.7026688859,-83.3506610109,699.705688477
35.7026266859,-83.3505729109,700.234558105
35.7025912869,-83.3504819109,701.355895996
35.7025705849,-83.3503883109,702.525817871
35.7025588859,-83.3502931108,703.419311523
35.7025550859,-83.3501990108,704.763793945
35.7025589869,-83.3501048108,705.895568848
35.7025691859,-83.3500111107,706.847717285
35.7025841859,-83.3499181107,708.026062012
35.7025983849,-83.3498343107,708.815429688
35.7026234859,-83.3497535107,709.493286133
35.7026734849,-83.3496897107,710.307006836
35.7027339859,-83.3496352106,711.078308105
35.702797286,-83.3495860106,711.739013672
35.702865686,-83.3495442106,712.670288086
35.702934487,-83.3495029106,713.702270508
35.702998886,-83.3494551106,714.840332031
35.703066885,-83.3493942106,716.084533691
35.703127585,-83.3493262106,717.17010498
35.703168686,-83.3492569106,718.023742676
35.7032012861,-83.3491832105,719.080749512
35.7032309861,-83.3491083105,720.012145996
35.7032591871,-83.3490261105,721.261901855
35.7032882871,-83.3489442105,722.523681641
35.7033205871,-83.3488786105,723.623779297
35.7033539861,-83.3488135104,724.7109375
35.7033889871,-83.3487379104,725.658081055
35.7034200861,-83.3486607104,726.456848145
35.7034504861,-83.3485690104,727.287414551
35.7034687861,-83.3484743103,727.668457031
35.7034679851,-83.3484078103,728.180236816
35.7034622861,-83.3483415103,728.688598633
35.7034499871,-83.3482473103,729.940551758
35.7034389861,-83.3481529102,731.061462402
35.7034328862,-83.3480531102,731.956542969
35.7034428862,-83.3479541102,732.66003418
35.7034665872,-83.3478974102,733.063415527
35.7034991872,-83.3478452102,733.241577148
35.7035592872,-83.3477936102,733.411193848
35.7036309852,-83.3477585101,734.22454834
35.7036998872,-83.3477185101,735.102294922
35.7037675862,-83.3476633101,736.093383789
35.7038283873,-83.3476007101,737.15020752
35.7038788873,-83.3475214101,738.29901123
35.7039217853,-83.3474377101,739.457214355
35.7039610853,-83.34735111,740.668640137
35.7039965853,-83.34726281,741.813903809
35.7040349863,-83.34717581,742.877990723
35.7040738853,-83.34710071,743.790405273
35.7041151863,-83.34702691,744.516479492
35.7041583863,-83.3469542099,745.163452148
35.7042029854,-83.3468823099,745.503234863
35.7042491864,-83.3468135099,746.143005371
35.7042968874,-83.3467458099,747.013305664
35.7043421864,-83.3466764099,747.72064209
35.7043835854,-83.3466096099,748.56048584
35.7044227874,-83.3465416098,749.705627441
35.7044543864,-83.3464698098,750.41394043
35.7044811864,-83.3463834098,750.726867676
35.7044938864,-83.3462941098,750.731384277
35.7044858864,-83.3462213097,750.707397461
35.7044696864,-83.3461497097,750.874328613
35.7044406874,-83.3460548097,750.687072754
35.7044037864,-83.3459626097,750.495239258
35.7043669864,-83.3458703096,750.119995117
35.7043423864,-83.3457992096,749.748779297
35.7043179874,-83.3457280096,749.382568359
35.7042899864,-83.3456581096,749.022705078
35.7042529864,-83.3455918095,748.705871582
35.7042204874,-83.3455234095,748.364746094
35.7042084864,-83.3454577095,748.114990234
35.7042057874,-83.3453910095,747.934692383
35.7042063864,-83.3453241095,747.469238281
