lat,lng,ele
35.704090384,-83.4054626271,633.768859863
35.704037483,-83.4054058271,633.292602539
35.703985884,-83.4052827271,633.235473633
35.703933084,-83.405214827,633.354003906
35.703852685,-83.405179227,634.19921875
35.703797783,-83.405221827,634.468688965
35.7037261829,-83.405197527,635.122802734
35.7036922829,-83.405086027,635.354858398
35.7036483839,-83.405029427,637.004516602
35.7036149829,-83.4048958269,640.21685791
35.7035987839,-83.4048069269,641.430358887
35.7035275839,-83.4047605269,639.629882812
35.7034196829,-83.4047462269,639.822143555
35.7032860829,-83.4046648268,640.096923828
35.7031959829,-83.4046621268,640.314697266
35.7030964838,-83.4046812268,640.616088867
35.7030428828,-83.4046575268,641.629760742
35.7029991838,-83.4045898268,644.100830078
35.7029551838,-83.4045333268,645.381164551
35.7029393828,-83.4044223267,647.159667969
35.7029514828,-83.4042679267,648.970397949
35.7029804838,-83.4041693267,650.473632812
35.7030191848,-83.4040379266,652.243469238
35.7030666839,-83.4039178266,654.291992188
35.7030864839,-83.4038299266,654.972839355
35.7030982839,-83.4036866265,656.739746094
35.7030914829,-83.4035759265,657.275268555
35.7030225839,-83.4034191264,657.343078613
