lat,lng,ele
35.6103115496,-83.782759432,580.768127441
35.6103443496,-83.7828087321,580.684387207
35.6103723506,-83.7828609321,580.171264648
35.6103966506,-83.7829496321,579.765075684
35.6104096496,-83.7830409321,579.119750977
35.6104382486,-83.7831280322,579.076171875
35.6105033506,-83.7831834322,580.33026123
35.6105852486,-83.7832110322,581.442199707
35.6106694496,-83.7832308322,582.353820801
35.6107506496,-83.7832603322,583.124023438
35.6108103496,-83.7832948322,583.607177734
35.6108688497,-83.7833313322,584.060974121
35.6109284507,-83.7833658323,584.336791992
35.6110214507,-83.7834004323,584.789306641
35.6111068487,-83.7834492323,585.250244141
35.6111475497,-83.7835020323,585.669311523
35.6111763497,-83.7835620323,586.328125
35.6111869507,-83.7836115323,586.876159668
35.6111920507,-83.7836619324,587.399597168
35.6111857487,-83.7837480324,587.999816895
35.6111641497,-83.7838319324,588.092346191
35.6111430497,-83.7839160324,588.559326172
35.6111391497,-83.7840022325,589.081298828
35.6111505507,-83.7840703325,589.306274414
35.6111720487,-83.7841358325,589.032592773
35.6112155497,-83.7842035325,588.391845703
35.6112511497,-83.7842430325,588.12322998
35.6112858497,-83.7842832325,588.049743652
35.6113175497,-83.7843611326,588.467590332
35.6113266507,-83.7844450326,588.910095215
35.6113226497,-83.7845294326,589.226867676
35.6113115497,-83.7846131326,588.833190918
35.6112973497,-83.7846965327,588.194091797
35.6112832487,-83.7847798327,588.024841309
35.6112720487,-83.7848574327,588.226318359
35.6112526497,-83.7849333327,588.822631836
35.6112126497,-83.7850078328,589.082336426
35.6111593496,-83.7850735328,587.715881348
35.6111054506,-83.7851172328,586.434204102
35.6110491496,-83.7851580328,585.499389648
35.6109914486,-83.7852126328,584.906188965
35.6109369496,-83.7852704328,584.389770508
35.6108830506,-83.7853288328,583.871704102
35.6108249486,-83.7853872328,583.139770508
35.6107675496,-83.7854462329,582.764038086
35.6107165505,-83.7855107329,582.430969238
35.6106814485,-83.7855702329,582.332336426
35.6106508495,-83.7856321329,582.49041748
35.6106221495,-83.7856950329,582.803710938
35.6105835495,-83.7857747329,582.306640625
35.6105553495,-83.785858333,581.366271973
35.6105485485,-83.785924333,580.586853027
35.6105522505,-83.785990633,579.908569336
35.6105760495,-83.786065833,579.55065918
35.6106119495,-83.786136233,578.971679688
35.6106508495,-83.7861964331,578.496887207
35.6106961485,-83.7862521331,577.708618164
35.6107432495,-83.7863063331,576.919067383
35.6108113495,-83.7863745331,576.368103027
35.6108826495,-83.7864393332,575.798278809
35.6109457485,-83.7865120332,575.285766602
35.6109901486,-83.7865766332,575.145446777
35.6110237486,-83.7866471332,574.85546875
35.6110365486,-83.7867130332,574.818969727
35.6110386506,-83.7867801333,574.804321289
35.6110293496,-83.7868525333,574.482177734
35.6110083505,-83.7869225333,574.297973633
35.6109617485,-83.7869995333,574.977722168
35.6108972495,-83.7870625333,576.313110352
35.6108236485,-83.7871148333,577.749145508
35.6107578485,-83.7871409334,578.58026123
35.6106887505,-83.7871572334,579.06829834
35.6106237495,-83.7871851334,579.59777832
35.6105594494,-83.7872381334,580.664672852
35.6105386484,-83.7872976334,581.57598877
35.6105205494,-83.7873581334,582.327270508
35.6104595494,-83.7874253334,583.129455566
35.6103826484,-83.7874747334,585.090759277
35.6103352504,-83.7874918334,585.756164551
35.6102916494,-83.7875157334,585.911804199
35.6102670494,-83.7875789335,586.468200684
35.6102615484,-83.7876471335,586.489440918
35.6102800484,-83.7877144335,586.643310547
35.6103150494,-83.7877753335,586.928222656
35.6103472494,-83.7878377335,587.220397949
35.6103711484,-83.7879268336,587.495605469
35.6103864504,-83.7880178336,587.729431152
35.6104045494,-83.7881084336,588.074645996
35.6104380494,-83.7881941336,588.421020508
35.6104829504,-83.7882590337,588.699035645
35.6105343504,-83.7883188337,588.874633789
35.6105990484,-83.7883733337,589.025146484
35.6106578484,-83.7884335337,588.782653809
35.6106834494,-83.7885170337,587.588806152
35.6107080494,-83.7886008338,586.35723877
35.6107717494,-83.7886761338,585.543212891
35.6108490494,-83.7887381338,585.948181152
35.6109288485,-83.7887961338,586.302185059
35.6109706505,-83.7888396339,586.619995117
35.6110078495,-83.7888872339,586.912963867
35.6110513495,-83.7889550339,587.302246094
35.6110853505,-83.7890444339,587.94708252
35.6111054505,-83.789133634,588.60333252
35.6111262505,-83.789222534,589.256469727
35.6111469495,-83.789273234,589.607116699
35.6111689495,-83.789323334,589.990356445
35.6112001485,-83.789401134,590.466430664
35.6112284495,-83.7894799341,590.986206055
35.6112500495,-83.7895755341,591.557189941
35.6112781485,-83.7896692341,592.248352051
35.6113065485,-83.7897158341,592.748168945
35.6113391485,-83.7897596342,593.187561035
35.6113780505,-83.7898057342,592.887084961
35.6114181495,-83.7898507342,591.619995117
35.6114813485,-83.7899241342,589.33416748
35.6115439505,-83.7899981342,587.860046387
35.6116027505,-83.7900750343,586.424682617
35.6116544495,-83.7901569343,585.041870117
35.6116979506,-83.7902400343,585.910888672
35.6117359496,-83.7903257343,587.219055176
35.6117656496,-83.7904146344,588.104309082
35.6117899496,-83.7905022344,587.922302246
35.6117975496,-83.7905923344,587.485473633
35.6117642496,-83.7906584344,586.66986084
35.6117115495,-83.7907115345,586.038208008
35.6116583505,-83.7907641345,585.451171875
35.6115946495,-83.7908364345,584.338745117
35.6115294495,-83.7909072345,583.96673584
35.6114641485,-83.7909781345,583.353515625
35.6113998505,-83.7910413345,582.985717773
35.6113315494,-83.7911002345,583.165527344
35.6112631494,-83.7911590346,583.350952148
35.6111987494,-83.7912221346,583.835144043
35.6111435484,-83.7912933346,584.715209961
35.6111034494,-83.7913739346,585.529602051
35.6110831484,-83.7914504346,585.989196777
35.6110638494,-83.7915271347,586.105163574
35.6110326504,-83.7916047347,585.996459961
35.6109956484,-83.7916798347,585.826843262
35.6109594503,-83.7917552347,585.804199219
35.6109248493,-83.7918272347,585.84588623
35.6108890493,-83.7918987348,586.144165039
35.6108572483,-83.7919721348,586.89465332
35.6108354503,-83.7920489348,587.27545166
35.6108287503,-83.7921286348,586.689575195
35.6108337493,-83.7922086348,586.701416016
35.6108441483,-83.7922880349,587.132385254
35.6108552503,-83.7923674349,587.583557129
35.6108622503,-83.7924472349,587.940368652
35.6108679493,-83.7925355349,588.366577148
35.6108670503,-83.792623935,589.225830078
35.6108519493,-83.792690635,590.518127441
35.6108291483,-83.792755335,592.017944336
35.6108084493,-83.792820635,592.610229492
35.6107887503,-83.792911235,591.828491211
35.6107739493,-83.7930027351,590.875610352
35.6107633492,-83.7930948351,590.462585449
35.6107559482,-83.7931872351,590.338195801
35.6107513502,-83.7932798351,589.78717041
35.6107485482,-83.7933725352,589.136901855
35.6107470492,-83.7934652352,588.303466797
35.6107462502,-83.7935579352,587.664550781
35.6107478502,-83.7936352353,587.271728516
35.6107506492,-83.7937125353,586.852294922
35.6107498482,-83.7937898353,586.209838867
35.6107442492,-83.7938895353,584.667907715
35.6107272492,-83.7939877354,582.736877441
35.6106989502,-83.7940522354,581.264343262
35.6106616482,-83.7941121354,579.897338867
35.6106238502,-83.7941717354,578.842834473
35.6105720492,-83.7942561354,577.585327148
35.6105170491,-83.7943385354,576.55670166
35.6104605501,-83.7944197355,575.954711914
35.6104039491,-83.7945010355,575.757446289
35.6103488491,-83.7945833355,575.400939941
35.6102969501,-83.7946676355,574.945068359
35.6102498491,-83.7947547355,574.525268555
35.6102226491,-83.7948169356,574.371765137
35.6101968491,-83.7948797356,574.221374512
35.610164449,-83.7949393356,573.848510742
35.610110849,-83.7949998356,573.32824707
35.610053549,-83.7950569356,572.867370605
35.609997949,-83.7951212356,572.631652832
35.609984849,-83.7951709357,572.600158691
35.609985249,-83.7952223357,572.678894043
35.609986348,-83.7952310357,572.698364258
